num.trans.involved.in,sample,peak
88,Abisko,200.0559301
18,Abisko,200.075233
73,Abisko,200.092316
61,Abisko,200.1004088
61,Abisko,200.136786
1,Abisko,200.9486758
22,Abisko,200.9616281
143,Abisko,201.0399349
95,Abisko,201.0511681
98,Abisko,201.0551855
157,Abisko,201.0763156
112,Abisko,201.0875534
43,Abisko,201.0956604
118,Abisko,201.112702
76,Abisko,201.1239354
48,Abisko,201.1490985
2,Abisko,201.920122
132,Abisko,202.0351776
69,Abisko,202.0432884
7,Abisko,202.0523415
119,Abisko,202.0715523
46,Abisko,202.0796877
6,Abisko,202.0827651
104,Abisko,202.1079397
65,Abisko,202.1160465
39,Abisko,202.1272876
1,Abisko,202.93711
1,Abisko,202.940468
19,Abisko,202.9408571
24,Abisko,202.9772434
8,Abisko,202.99822
141,Abisko,203.0191952
74,Abisko,203.0304268
117,Abisko,203.0344388
32,Abisko,203.0363046
141,Abisko,203.0555698
112,Abisko,203.0668054
108,Abisko,203.0708216
29,Abisko,203.072709
11,Abisko,203.082044
115,Abisko,203.0919521
50,Abisko,203.1031807
107,Abisko,203.1283425
2,Abisko,203.9442158
1,Abisko,203.9450885
49,Abisko,204.0296823
10,Abisko,204.037772
97,Abisko,204.0508138
12,Abisko,204.0555951
1,Abisko,204.066007
21,Abisko,204.0679665
56,Abisko,204.0871939
71,Abisko,204.0953181
2,Abisko,204.9451094
8,Abisko,204.972905
9,Abisko,204.9928755
17,Abisko,204.998543
117,Abisko,205.0137039
157,Abisko,205.0348406
136,Abisko,205.050088
39,Abisko,205.0519574
163,Abisko,205.0712288
107,Abisko,205.082455
134,Abisko,205.0864755
26,Abisko,205.088344
116,Abisko,205.1076067
89,Abisko,205.1228637
57,Abisko,205.1592476
1,Abisko,206.03254
42,Abisko,206.038183
104,Abisko,206.0453452
7,Abisko,206.0471815
4,Abisko,206.048677
29,Abisko,206.0534796
122,Abisko,206.0664733
11,Abisko,206.071254
83,Abisko,206.0817228
14,Abisko,206.9906105
84,Abisko,206.9929846
7,Abisko,207.0116033
44,Abisko,207.014138
153,Abisko,207.0293631
3,Abisko,207.0466422
1,Abisko,207.0501235
110,Abisko,207.0504995
3,Abisko,207.050972
171,Abisko,207.0657438
31,Abisko,207.0676295
77,Abisko,207.0868622
124,Abisko,207.10213
82,Abisko,207.1385075
2,Abisko,208.014994
59,Abisko,208.0327283
36,Abisko,208.0538573
126,Abisko,208.0610074
2,Abisko,208.065776
77,Abisko,208.0973953
2,Abisko,208.93351
3,Abisko,208.9732043
4,Abisko,208.9827097
3,Abisko,209.006167
136,Abisko,209.0086257
84,Abisko,209.0297658
173,Abisko,209.0450099
6,Abisko,209.054751
10,Abisko,209.0621526
90,Abisko,209.0661535
4,Abisko,209.0789925
178,Abisko,209.0813952
8,Abisko,209.0942674
124,Abisko,209.1177821
34,Abisko,209.1290337
51,Abisko,209.1541771
46,Abisko,210.0119794
13,Abisko,210.0330667
86,Abisko,210.0402781
68,Abisko,210.048376
8,Abisko,210.065534
141,Abisko,210.0766541
50,Abisko,210.0878793
44,Abisko,210.1575234
2,Abisko,210.9224658
148,Abisko,211.0242822
36,Abisko,211.0276409
9,Abisko,211.041409
163,Abisko,211.0606661
109,Abisko,211.0718999
61,Abisko,211.0759185
66,Abisko,211.081778
144,Abisko,211.0970503
31,Abisko,211.108315
119,Abisko,211.1334292
71,Abisko,211.1698136
97,Abisko,212.0195344
39,Abisko,212.027663
106,Abisko,212.0559274
21,Abisko,212.0640628
22,Abisko,212.075236
135,Abisko,212.092302
61,Abisko,212.1367736
10,Abisko,212.9885775
17,Abisko,213.0011344
128,Abisko,213.0035404
17,Abisko,213.011625
6,Abisko,213.0165835
186,Abisko,213.0399219
86,Abisko,213.0551724
157,Abisko,213.0763166
119,Abisko,213.0875551
1,Abisko,213.112237
136,Abisko,213.1127004
90,Abisko,213.1239298
89,Abisko,213.1490723
53,Abisko,213.1854542
1,Abisko,213.542055
139,Abisko,214.0351749
63,Abisko,214.0432985
5,Abisko,214.0480639
179,Abisko,214.0715596
80,Abisko,214.0796575
138,Abisko,214.1079467
69,Abisko,214.1160421
48,Abisko,214.1443191
68,Abisko,214.1524316
26,Abisko,214.9772544
25,Abisko,215.0014244
7,Abisko,215.0136729
15,Abisko,215.0167723
128,Abisko,215.0191839
3,Abisko,215.0280213
7,Abisko,215.031799
8,Abisko,215.0322449
123,Abisko,215.0344404
193,Abisko,215.0555733
118,Abisko,215.0668165
55,Abisko,215.0708136
2,Abisko,215.091505
172,Abisko,215.0919628
113,Abisko,215.1031924
66,Abisko,215.1072197
27,Abisko,215.111291
1,Abisko,215.127867
