,NA,Lipid,Other,Protein,Carbohydrate,Lignin;Amino Sugar,Cond Hydrocarbon,Lipid;Protein,Amino Sugar,Unsat Hydrocarbon,Lignin,Tannin,Carbohydrate;Amino Sugar,Protein;Amino Sugar,Unsat Hydrocarbon;Cond Hydrocarbon,Protein;Lignin,Tannin;Cond Hydrocarbon,Lignin;Tannin
June_P_1_S_12_so_R1,1372,88,386,342,116,22,76,4,82,71,434,24,13,7,3,0,0,1
June_P_1_D_12_so_R2,2393,134,503,432,230,28,188,6,100,117,722,121,18,9,12,0,12,5
June_P_1_D_12_so_R1,1941,90,406,326,167,21,159,4,69,76,612,118,14,9,10,0,12,5
June_P_2_S_12_so_R1,2022,63,479,322,206,25,151,1,111,147,475,134,16,8,14,0,11,5
June_P_2_M_12_so_R1,2114,103,487,311,229,24,195,5,76,98,552,135,12,7,12,0,12,5
June_P_2_M_12_so_R2,1468,37,294,152,152,14,99,0,35,79,328,82,4,6,12,0,6,4
June_P_2_D_12_so_R2,2246,82,404,236,225,20,166,2,61,94,496,100,11,7,11,0,12,4
June_P_2_D_12_so_R1,2086,75,388,235,208,16,170,1,62,91,503,104,11,5,12,0,11,5
June_P_3_D_12_so_R1,2008,92,404,329,202,18,185,4,66,72,598,109,10,5,9,0,10,5
June_S_1_S_12_so_R1,2560,69,502,384,208,51,296,4,132,42,1030,209,18,12,8,0,11,9
June_S_1_M_12_so_R1,2161,43,421,256,190,35,277,3,109,23,878,201,14,8,6,0,12,8
June_S_1_D_12_so_R1,1829,45,395,244,179,26,236,3,79,34,692,155,11,4,10,0,12,5
June_S_2_S_12_so_R2,2406,75,491,383,224,45,296,5,123,71,959,169,20,13,13,0,12,8
June_S_2_S_12_so_R1,1803,35,366,250,168,24,237,3,85,37,708,134,11,9,9,0,11,5
June_S_2_M_12_so_R1,2371,78,405,325,207,32,186,3,101,45,720,91,20,8,8,0,5,6
June_S_2_D_12_so_R1,2425,96,410,309,209,38,200,1,96,63,730,116,20,10,10,0,9,5
June_S_3_S_12_so_R1,2343,69,392,334,195,32,155,2,115,68,665,123,21,15,12,0,8,6
June_S_3_M_12_so_R1,1157,161,286,244,47,9,65,4,16,41,519,35,2,1,3,2,1,2
June_S_3_D_12_so_R1,1608,25,300,136,189,23,103,0,72,57,391,66,13,6,12,0,5,5
June_E_1_S_12_so_R1,2243,40,420,323,260,27,136,2,120,57,743,87,25,9,11,0,6,6
June_E_1_D_12_so_R1,1813,20,347,279,180,34,114,0,96,54,588,50,18,6,9,0,1,5
June_E_2_S_12_so_R2,1974,23,323,236,203,18,111,0,59,32,553,69,19,8,9,0,6,5
June_E_2_S_12_so_R1,1975,20,332,229,210,21,126,0,70,32,575,73,18,7,7,0,7,5
June_E_2_M_12_so_R2,1954,30,270,200,207,20,71,0,70,37,415,46,15,5,7,0,3,5
June_E_2_M_12_so_R1,2045,40,295,201,217,21,89,0,84,46,444,57,18,6,10,0,6,6
June_E_2_D_12_so_R1,1476,23,251,175,136,16,83,0,40,24,444,39,12,5,5,0,2,4
June_E_3_S_12_so_R1,1681,22,242,190,148,13,91,0,45,21,428,38,10,7,3,0,2,5
June_E_3_M_12_so_R1,1875,49,272,240,130,13,85,3,49,19,453,31,10,5,5,0,1,4
June_E_3_D_12_so_R2,1657,51,365,275,171,27,126,6,74,42,592,49,13,6,8,0,1,4
June_E_3_D_12_so_R1,1581,49,372,276,180,23,130,3,74,44,597,54,16,6,8,0,1,5
July_P_1_S_12_so_R1,2410,101,533,397,250,31,168,4,131,136,596,142,24,11,13,0,12,5
July_P_1_M_12_so_R1,1644,54,263,125,122,10,94,1,29,39,396,77,5,4,7,0,8,5
July_P_1_D_12_so_R1,1697,78,209,144,127,6,66,2,11,39,362,25,6,2,3,0,4,2
July_P_2_S_12_so_R2,1655,31,385,202,192,19,159,0,85,81,523,142,7,8,10,0,10,5
July_P_2_S_12_so_R1,2220,61,513,322,243,31,227,2,121,102,619,180,19,9,12,0,11,5
July_P_2_M_12_so_R1,1468,52,240,131,120,8,93,3,17,39,350,61,4,3,6,0,6,2
July_P_2_D_12_so_R1,2008,76,311,227,141,14,163,2,39,45,548,100,7,3,2,0,11,4
July_P_3_S_12_so_R1,2108,91,476,346,211,27,160,6,108,125,556,117,14,9,12,0,12,5
July_P_3_M_12_so_R2,1644,47,345,211,195,21,178,2,72,68,587,129,12,8,11,0,12,5
July_P_3_M_12_so_R1,1901,56,442,277,231,28,233,1,96,85,687,173,17,9,14,0,14,5
July_S_1_S_12_so_R1,2170,50,426,353,197,36,197,4,105,68,710,112,19,11,9,0,6,7
July_S_1_M_12_so_R1,1929,35,353,290,173,32,165,4,97,40,657,108,9,8,3,0,6,5
July_S_1_D_12_so_R1,2795,110,459,347,183,32,164,1,85,78,712,112,16,8,8,0,9,6
July_S_2_S_12_so_R1,2422,110,511,477,232,48,220,7,143,76,917,165,24,12,11,0,7,8
July_S_2_M_12_so_R2,2301,66,382,256,184,33,158,2,103,59,600,109,17,8,9,0,7,5
July_S_2_M_12_so_R1,2197,58,346,216,159,26,144,0,86,47,540,91,12,10,5,0,5,5
July_S_2_D_12_so_R1,2171,75,317,211,140,17,118,2,56,56,496,83,7,2,7,0,6,5
July_S_3_S_12_so_R1,2159,47,341,304,167,23,125,1,83,69,536,79,10,11,6,1,4,5
July_S_3_M_12_so_R1,2165,56,368,277,148,31,174,3,88,26,681,129,13,7,2,0,8,5
July_E_1_S_12_so_R1,1995,64,324,298,151,15,110,1,53,26,556,52,10,7,8,0,6,4
July_E_1_M_12_so_R2,2023,97,284,285,116,14,113,4,41,21,562,30,10,5,2,1,1,3
July_E_1_D_12_so_R2,1705,47,281,187,124,12,61,1,23,29,411,41,6,6,7,0,2,2
July_E_1_D_12_so_R1,1687,90,373,288,154,18,109,3,47,28,586,65,8,6,8,0,5,4
July_E_2_S_12_so_R1,1862,59,358,325,187,22,108,1,78,43,592,75,14,7,8,0,6,5
July_E_2_D_12_so_R1,1287,48,215,181,94,12,65,1,19,10,391,24,3,4,1,0,0,3
July_E_3_S_12_so_R1,1654,16,232,133,146,11,90,0,46,27,335,41,8,7,4,0,5,5
July_E_3_M_12_so_R1,2047,46,313,283,182,18,94,0,62,39,490,48,14,6,6,0,2,5
July_E_3_D_12_so_R1,2276,126,347,344,140,20,124,5,49,46,647,48,7,5,5,0,1,5
Aug_P_1_S_12_so_R1,2461,167,539,522,185,32,113,7,123,120,538,78,19,9,6,0,7,5
Aug_P_1_M_12_so_R1,2231,117,427,337,201,18,150,5,72,78,557,82,14,6,11,0,7,4
Aug_P_1_D_12_so_R1,2355,146,426,402,177,20,142,5,67,63,610,84,5,2,8,0,7,5
Aug_P_2_S_12_so_R1,1843,72,343,210,153,14,81,2,61,62,451,55,10,8,6,0,4,5
Aug_P_2_M_12_so_R1,2252,159,412,376,178,18,111,7,60,79,613,84,11,3,9,0,6,5
Aug_P_2_D_12_so_R2,2187,129,437,411,183,22,223,6,72,57,776,104,12,6,9,0,10,5
Aug_P_2_D_12_so_R1,2051,103,374,317,165,19,187,3,63,41,614,101,10,5,6,0,10,5
Aug_P_3_S_12_so_R1,1730,66,361,221,165,15,95,0,66,100,345,65,9,7,12,0,6,4
Aug_P_3_M_12_so_R2,1418,39,266,153,135,12,107,1,32,40,465,82,6,4,8,0,8,5
Aug_P_3_M_12_so_R1,1903,84,418,280,205,24,182,3,74,71,624,115,11,9,11,0,10,5
Aug_S_1_S_12_so_R2,2582,61,397,393,237,27,107,2,132,92,485,64,23,13,9,1,0,5
Aug_S_1_S_12_so_R1,2343,59,377,355,218,25,99,2,106,81,449,44,22,10,8,0,2,2
Aug_S_1_M_12_so_R1,2893,116,498,382,211,41,200,3,109,87,840,133,20,11,8,0,9,7
Aug_S_1_D_12_so_R1,1800,48,251,179,126,11,67,0,47,53,367,53,6,6,4,0,3,5
Aug_S_2_M_12_so_R1,1102,58,198,123,68,12,58,2,22,14,344,28,3,4,0,0,3,0
Aug_S_2_D_12_so_R2,1213,89,303,197,96,22,113,2,55,22,527,59,8,6,0,0,7,5
Aug_S_2_D_12_so_R1,905,40,188,95,61,12,42,1,27,5,318,17,2,3,0,0,2,0
Aug_S_3_S_12_so_R1,1305,20,205,92,95,15,68,0,38,34,276,19,6,5,4,0,1,1
Aug_E_1_S_12_so_R1,2444,93,319,327,154,21,117,3,68,40,655,55,11,8,4,1,1,5
Aug_E_1_M_12_so_R1,2336,74,306,305,168,23,118,3,81,35,656,62,19,9,8,0,3,5
Aug_E_1_D_12_so_R1,2275,103,468,324,193,29,229,3,78,70,811,159,12,5,10,0,10,5
Aug_E_2_S_12_so_R1,2413,105,332,344,184,25,92,1,81,46,564,49,16,14,6,0,3,4
