,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,Gibbs.mean,Gibbs.median,Gibbs.sd
June_P_1_S_12_so_R1,0.146066309058,0,0.250799096611715,0.232193476031646,0.157894736842105,0.252371094515515,9.60724985020971,8,6.4998294700381,0.420311563810665,-2,9.44864642831608,422.726059081756,406.641169564023,126.291530674592,0.314716978749921,0.306566274129295,0.104755411191627,-0.474185918912759,-0.482758620689655,0.505704581715115,73.8142986890136,74.0586206896552,14.4125805788808
June_P_1_D_12_so_R2,0.145731920398102,0,0.248719574612388,0.248345714225482,0.181818181818182,0.259940367622064,9.95506257110353,9,6.72180293086455,0.547023132347364,-1,9.08862261991936,414.650558627908,399.760137225173,119.491834280564,0.323000020203223,0.304704961953263,0.115557249843079,-0.348837411443476,-0.363636363636363,0.562634691081721,70.2418662261391,70.6636363636364,16.035088695829
June_P_1_D_12_so_R1,0.148882984550969,0,0.254616110134216,0.263995639932268,0.212121212121212,0.26237166008645,10.1818398474738,9,6.66816428451048,0.718541468064824,-1,9.06512359420451,405.787658635842,393.609285548654,115.274232811887,0.320288875917894,0.302854765922405,0.112190546695459,-0.298031466757835,-0.32,0.567020012141608,68.7938968025983,69.42,16.1600703460358
June_P_2_S_12_so_R1,0.166910321673301,0,0.267858961293957,0.259371420048489,0.177978883861237,0.270606598746318,10.3911439114391,9,7.08419958027511,0.844557195571956,-2,10.3802889905317,417.078187903939,400.594431753076,124.727965328469,0.328972000595298,0.31085654964275,0.117799351881352,-0.299800188417744,-0.333333333333333,0.536032094889072,68.8443053699057,69.8,15.2769147043385
June_P_2_M_12_so_R1,0.16955717194097,0,0.274294155939376,0.27028323921618,0.2,0.278264971889184,10.4763588157313,9,7.21732201341858,0.988952717631463,-1,10.1182929083122,414.215817943351,396.63392393503,123.168315021078,0.333645159230257,0.310927712949479,0.125234977267947,-0.282397123959791,-0.294117647058823,0.578690892406517,68.3483180328541,68.6823529411765,16.4926904335857
June_P_2_M_12_so_R2,0.192601843021754,0,0.286280104955191,0.292291938907371,0.230769230769231,0.279641200600705,11.0713190184049,9,7.53698312362095,1.7361963190184,-1,11.1398440521202,403.19893299341,384.69480016981,123.8000338279,0.32054752607025,0.300089742537835,0.119694852606171,-0.233036218223392,-0.260869565217392,0.509322582674317,66.9415322193667,67.7347826086957,14.515693606218
June_P_2_D_12_so_R2,0.174585652122832,0,0.273407412043214,0.278958951690073,0.222222222222222,0.277358532014574,10.4249093733817,9,7.15172763863188,1.21206628689798,-1,10.0460315897542,400.967378588182,384.64725062341,116.377861683887,0.322781814020307,0.301017605319828,0.129159881816216,-0.263918946323365,-0.285714285714286,0.557666173057576,67.8216899702159,68.4428571428571,15.8934859321409
June_P_2_D_12_so_R1,0.177322512063255,0,0.276017237769657,0.283739084323346,0.230769230769231,0.278067969014075,10.603848181339,10,7.25563733646973,1.37348444913021,-1,10.0982942398577,400.215754155286,383.711908402393,116.401789059885,0.320022897186775,0.2992088843543,0.120738254520449,-0.258217565541551,-0.272727272727272,0.557799880370363,67.6592006179342,68.0727272727273,15.8972965905553
June_P_3_D_12_so_R1,0.154827455178008,0,0.260518617942006,0.265559683725799,0.2,0.267967762753303,10.2450424929178,9,6.81556829326911,0.685552407932011,-1,9.30450030801763,403.524681174183,390.64058213497,113.666190796095,0.316811797218203,0.29977231166589,0.110675464031059,-0.28399190770415,-0.285714285714286,0.559038081754536,68.3937693695683,68.4428571428571,15.9325853300043
June_S_1_S_12_so_R1,0.129967381065366,0,0.234773103463801,0.252155107736362,0.192307692307692,0.251856150935635,10.1172529313233,9,5.96417368846728,-0.117922948073702,-1.5,7.81307016412264,412.9627976008,399.744643594839,115.603370286854,0.338735311733876,0.323791461687392,0.117424007759379,-0.186332196634901,-0.111111111111111,0.548272332239462,65.6104676040947,63.4666666666667,15.6257614688247
