,June_P_1_S_12_so_R1,June_P_1_D_12_so_R2,June_P_1_D_12_so_R1,June_P_2_S_12_so_R1,June_P_2_M_12_so_R1,June_P_2_M_12_so_R2,June_P_2_D_12_so_R2,June_P_2_D_12_so_R1,June_P_3_D_12_so_R1,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,June_E_1_S_12_so_R1,June_E_1_D_12_so_R1,June_E_2_S_12_so_R2,June_E_2_S_12_so_R1,June_E_2_M_12_so_R2,June_E_2_M_12_so_R1,June_E_2_D_12_so_R1,June_E_3_S_12_so_R1,June_E_3_M_12_so_R1,June_E_3_D_12_so_R2,June_E_3_D_12_so_R1,July_P_1_S_12_so_R1,July_P_1_M_12_so_R1,July_P_1_D_12_so_R1,July_P_2_S_12_so_R2,July_P_2_S_12_so_R1,July_P_2_M_12_so_R1,July_P_2_D_12_so_R1,July_P_3_S_12_so_R1,July_P_3_M_12_so_R2,July_P_3_M_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,July_E_1_S_12_so_R1,July_E_1_M_12_so_R2,July_E_1_D_12_so_R2,July_E_1_D_12_so_R1,July_E_2_S_12_so_R1,July_E_2_D_12_so_R1,July_E_3_S_12_so_R1,July_E_3_M_12_so_R1,July_E_3_D_12_so_R1,Aug_P_1_S_12_so_R1,Aug_P_1_M_12_so_R1,Aug_P_1_D_12_so_R1,Aug_P_2_S_12_so_R1,Aug_P_2_M_12_so_R1,Aug_P_2_D_12_so_R2,Aug_P_2_D_12_so_R1,Aug_P_3_S_12_so_R1,Aug_P_3_M_12_so_R2,Aug_P_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1,Aug_E_1_S_12_so_R1,Aug_E_1_M_12_so_R1,Aug_E_1_D_12_so_R1,Aug_E_2_S_12_so_R1,Aug_E_2_M_12_so_R1,Aug_E_2_D_12_so_R1,Aug_E_3_S_12_so_R1,Aug_E_3_M_12_so_R2,Aug_E_3_M_12_so_R1
June_P_1_S_12_so_R1,0,0.41,-1,-1,-1,-1,0.15,-0.18,-0.96,1,1,1,1,1,0.98,1,1,-1,0.66,1,0.98,1,1,0.99,1,-0.97,-0.92,-1,0.72,0.93,-1,-1,-1,-1,-0.99,-1,1,-1,0.92,1,-0.63,0.67,1,1,1,0.99,0.98,-1,1,-1,0.82,-1,-0.98,-0.96,-1,-0.28,-0.99,0.97,-1,-1,-0.34,-1,-1,1,-0.14,-1,-1,-0.99,-0.79,-1,1,-1,-1,-1,-1,-1,1,1,1,1,0.93,-0.63,1,0.99,1
June_P_1_D_12_so_R2,0.41,0,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-0.99,-1,-1,-1,-1,0.76,-1,-1,-0.99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.91,-1,-1,-1,-1,-1,-1,0.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.88,-0.99,-1,-1,-1,-1,0.99,-0.27,-0.93,-1,-1,-1,-1,-1,-1,-1
June_P_1_D_12_so_R1,-1,-1,0,-1,-1,-1,-1,-1,-1,-0.82,-1,-1,-1,-1,-1,-1,-1,-0.94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.56,-0.98,-1,-1,-1,-1,-1,-0.95,-1,-1,-1,-1,-1,-1,-1,-1,-1
June_P_2_S_12_so_R1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1,-1,0.94,-1,-0.88,-0.99,-1,1,-1,-0.42,-0.78,-1,-1,-1,-1,-1,-1,-1,0.24,-0.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.61,0.96,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0.75,-1,-1,-1,-1,-1,0.23,-1,-1,-1,-1,-0.45,-1,1,-1,-1,-1,-1,-1,1,0.96,0.97,-0.78,-1,-0.18,-1,-1,-1
June_P_2_M_12_so_R1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0.98,-1,-0.99,-0.92,-1,-1,-1,-1,-1,-1,-1,-0.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.42,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-0.76,0.93,-1,-1,-1,-1,-0.76,1,0.99,-1,-0.99,-1,-1,-1,-1,-1
June_P_2_M_12_so_R2,-1,-1,-1,-1,-1,0,-1,-1,-1,0.11,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
June_P_2_D_12_so_R2,0.15,-1,-1,-1,-1,-1,0,-1,-1,1,-0.25,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.95,-1,-1,-1,-1,-1,-1,-0.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.36,-1,-1,-1,-1,-1,-1,-1,-0.98,-1,-1,-1,-1,-1,-1,-1,-1
June_P_2_D_12_so_R1,-0.18,-1,-1,-1,-1,-1,-1,0,-1,0.51,-1,-1,-1,-1,-1,-1,-1,0.92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
June_P_3_D_12_so_R1,-0.96,-1,-1,-1,-1,-1,-1,-1,0,-0.96,-1,-1,-1,-1,-1,-1,-1,-0.91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.76,-1,-1,-1,-1,-1,-1,-0.75,-1,-1,-1,-1,-1,-1,-1,-1,-1
June_S_1_S_12_so_R1,1,1,-0.82,1,1,0.11,1,0.51,-0.96,0,-1,-1,-1,-1,-1,-1,-1,1,-0.47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.53,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.99,-1,-1,-1,-1,-1,-1,1,1,0.33,-0.11,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,-0.9,-1,1,-1,-1,-1,-0.99,-0.95,-1,-0.76,-1,-1
