Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
200.0559301,0,0,0,0,0,0,0,0,,NA,201.0632601,0,NA,NA,NA,NA,NA,NA,NA,NA,199.832545861234,0.167454138766317,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.075233,9,15,2,1,0,1,0,0,CHNOS,NA,201.082563,0.799289451,NA,C9H15O2NS,0,0,3,1,-1,79.3,199.851827207443,0.148172792556892,-0.666666666666667,0.222222222222222,1.66666666666667,0.111111111111111,0,NA,Lipid,Lipid,Other
200.092316,0,0,0,0,0,0,0,0,,NA,201.099646,0,NA,NA,NA,NA,NA,NA,NA,NA,199.868891132413,0.131108867587301,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.1004088,0,0,0,0,0,0,0,0,,NA,201.1077388,0,NA,NA,NA,NA,NA,NA,NA,NA,199.87697489592,0.123025104080085,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.136786,0,0,0,0,0,0,0,0,,NA,201.144116,0,NA,NA,NA,NA,NA,NA,NA,NA,199.913311476813,0.0866885231865808,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.8347677,0,0,0,0,0,0,0,0,,NA,201.8420977,0,NA,NA,NA,NA,NA,NA,NA,NA,200.610513804212,0.389486195788294,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.9486758,0,0,0,0,0,0,0,0,,NA,201.9560058,0,NA,NA,NA,NA,NA,NA,NA,NA,200.72429471341,0.27570528659038,NA,NA,NA,NA,NA,NA,NA,NA,NA
200.9616281,0,0,0,0,0,0,0,0,,NA,201.9689581,0,NA,NA,NA,NA,NA,NA,NA,NA,200.737232550756,0.262767449244222,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.0399349,0,0,0,0,0,0,0,0,,NA,202.0472649,0,NA,NA,NA,NA,NA,NA,NA,NA,200.815451912683,0.184548087316699,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.0511681,0,0,0,0,0,0,0,0,,NA,202.0584981,0,NA,NA,NA,NA,NA,NA,NA,NA,200.826672569592,0.173327430408136,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.0551855,0,0,0,0,0,0,0,0,,NA,202.0625155,0,NA,NA,NA,NA,NA,NA,NA,NA,200.830685483727,0.169314516272891,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.0763156,0,0,0,0,0,0,0,0,,NA,202.0836456,0,NA,NA,NA,NA,NA,NA,NA,NA,200.851791989669,0.148208010331331,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.0875534,0,0,0,0,0,0,0,0,,NA,202.0948834,0,NA,NA,NA,NA,NA,NA,NA,NA,200.863017241441,0.136982758559213,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.0956604,10,18,2,0,0,1,0,0,CHOS,NA,202.1029904,0.925306559,NA,C10H18O2S,0,0,2,0,-1,94.5,200.871115189092,0.128884810907806,-1.2,0.2,1.8,0,0,NA,Lipid,Lipid,Other
201.112299,0,0,0,0,0,0,0,0,,NA,202.119629,0,NA,NA,NA,NA,NA,NA,NA,NA,200.887735210283,0.112264789717216,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.112702,0,0,0,0,0,0,0,0,,NA,202.120032,0,NA,NA,NA,NA,NA,NA,NA,NA,200.888137760289,0.111862239710604,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.123521,0,0,0,0,0,0,0,0,,NA,202.130851,0,NA,NA,NA,NA,NA,NA,NA,NA,200.898944679697,0.101055320302663,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.1239354,0,0,0,0,0,0,0,0,,NA,202.1312654,0,NA,NA,NA,NA,NA,NA,NA,NA,200.899358616975,0.100641383025419,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.1490985,0,0,0,0,0,0,0,0,,NA,202.1564285,0,NA,NA,NA,NA,NA,NA,NA,NA,200.924493619632,0.0755063803676705,NA,NA,NA,NA,NA,NA,NA,NA,NA
201.920122,0,0,0,0,0,0,0,0,,NA,202.927452,0,NA,NA,NA,NA,NA,NA,NA,NA,201.694656187904,0.305343812095771,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.0351776,0,0,0,0,0,0,0,0,,NA,203.0425076,0,NA,NA,NA,NA,NA,NA,NA,NA,201.809583315793,0.190416684206582,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.0432884,0,0,0,0,0,0,0,0,,NA,203.0506184,0,NA,NA,NA,NA,NA,NA,NA,NA,201.817685059202,0.182314940798335,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.0523415,0,0,0,0,0,0,0,0,,NA,203.0596715,0,NA,NA,NA,NA,NA,NA,NA,NA,201.826728050429,0.173271949570648,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.0715523,0,0,0,0,0,0,0,0,,NA,203.0788823,0,NA,NA,NA,NA,NA,NA,NA,NA,201.845917399478,0.154082600521576,NA,NA,NA,NA,NA,NA,NA,NA,NA
202.0796877,0,0,0,0,0,0,0,0,,NA,203.0870177,0,NA,NA,NA,NA,NA,NA,NA,NA,201.854043715418,0.145956284581899,NA,NA,NA,NA,NA,NA,NA,NA,NA
