SampleID_matching_MAGs,SampleID,Month,Habitat,Core,Depth,Year,Sampletype
201206_P1_01-04,June_P_1_S_12_so_R1,June,Palsa,1,S,2012,peat
201206_P1_14-17,June_P_1_D_12_so_R1,June,Palsa,1,D,2012,peat
201206_P2_01-04,June_P_2_S_12_so_R1,June,Palsa,2,S,2012,peat
201206_P2_07-10,June_P_2_M_12_so_R1,June,Palsa,2,M,2012,peat
201206_P2_15-18,June_P_2_D_12_so_R1,June,Palsa,2,D,2012,peat
201206_P3_17-20,June_P_3_D_12_so_R1,June,Palsa,3,D,2012,peat
201206_S1_01-04,June_S_1_S_12_so_R1,June,Bog,1,S,2012,peat
201206_S1_04-07,June_S_1_M_12_so_R1,June,Bog,1,M,2012,peat
201206_S1_14-17,June_S_1_D_12_so_R1,June,Bog,1,D,2012,peat
201206_S2_01-04,June_S_2_S_12_so_R1,June,Bog,2,S,2012,peat
201206_S2_10-13,June_S_2_M_12_so_R1,June,Bog,2,M,2012,peat
201206_S2_17-20,June_S_2_D_12_so_R1,June,Bog,2,D,2012,peat
201206_S3_01-04,June_S_3_S_12_so_R1,June,Bog,3,S,2012,peat
201206_S3_09-12,June_S_3_M_12_so_R1,June,Bog,3,M,2012,peat
201206_S3_16-19,June_S_3_D_12_so_R1,June,Bog,3,D,2012,peat
201206_E1_01-04,June_E_1_S_12_so_R1,June,Fen,1,S,2012,peat
201206_E1_11-14,June_E_1_D_12_so_R1,June,Fen,1,D,2012,peat
201206_E2_01-04,June_E_2_S_12_so_R1,June,Fen,2,S,2012,peat
201206_E2_05-08,June_E_2_M_12_so_R1,June,Fen,2,M,2012,peat
201206_E2_12-15,June_E_2_D_12_so_R1,June,Fen,2,D,2012,peat
201206_E3_01-04,June_E_3_S_12_so_R1,June,Fen,3,S,2012,peat
201206_E3_05-08,June_E_3_M_12_so_R1,June,Fen,3,M,2012,peat
201206_E3_11-14,June_E_3_D_12_so_R1,June,Fen,3,D,2012,peat
201207_P1_01-04,July_P_1_S_12_so_R1,July,Palsa,1,S,2012,peat
201207_P1_16-19,July_P_1_M_12_so_R1,July,Palsa,1,M,2012,peat
201207_P1_32-35,July_P_1_D_12_so_R1,July,Palsa,1,D,2012,peat
201207_P2_01-04,July_P_2_S_12_so_R1,July,Palsa,2,S,2012,peat
201207_P2_18-21,July_P_2_M_12_so_R1,July,Palsa,2,M,2012,peat
201207_P2_35-38,July_P_2_D_12_so_R1,July,Palsa,2,D,2012,peat
201207_P3_01-04,July_P_3_S_12_so_R1,July,Palsa,3,S,2012,peat
201207_P3_15-18,July_P_3_M_12_so_R1,July,Palsa,3,M,2012,peat
201207_S1_01-04,July_S_1_S_12_so_R1,July,Bog,1,S,2012,peat
201207_S1_05-08,July_S_1_M_12_so_R1,July,Bog,1,M,2012,peat
201207_S1_11-14,July_S_1_D_12_so_R1,July,Bog,1,D,2012,peat
201207_S2_01-04,July_S_2_S_12_so_R1,July,Bog,2,S,2012,peat
