"","SampleID__","Month__","Year__","Date__","FieldSampling__","Habitat__","Site__","Core__","GPS__","image_url__","DepthCode__","DepthMin__","DepthMax__","DepthAvg__","metaG_ACE__","metaG_JGI_HiSeq__","metaG_JGI_NovaSeq__","FTIR__","FTICRMS__","EEMS__","ALD.cm__","WTD.cm_neg.is.below.sfc__","T, air (C)","T, soil (C)","Weather Conditions on Day of Coring","Conductivity (uS)","Redox Potential (ORP) (uncalibrated; relative values only)","O2 (%)","pH (porewater)","pH (peat)","BulkDensity","percentWater_wt","CH4.mM__","CO2.mM__","CH4.percent","CO2.percent","d13C_CH4__","d13C_CO2__","dD_CH4__","dD_H2O","d18O_H2O","D14C_DIC","DOC.mM__","TN.mM__","Acetate.uM__","Propionate.uM__","Butyrate.uM__","Formate.uM__","Sulfate.uM__","Phosphate.uM__","Nitrate.uM__","Ammonia.uM__","Ca.uM","Mg.uM","C.percent__","N.percent__","d13C_peat__","d15N_peat__","D14C_peat__","pool.DOM","pool.dD_CH4","UpdateDate__.DepthInfo","UpdateDate__.Biogeochemistry","Notes__.DepthInfo","Notes__.Biogeochemistry"
"eb589057-f4fd-451a-80c6-27b3173ee470","201009_E1_01-04",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","1","N 68 21.203, E 19 02.799","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic2.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic3.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic3.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic4.JPG.jpg']","S",1,4,2.5,"20100900_E1S",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,90.21601017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.21206279,1.697859245,-26.44729131,1.865285479,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"4b1c6171-f693-4fef-bae2-fcfcabd5188c","201009_E1_05-08",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","1","N 68 21.203, E 19 02.799","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic2.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic3.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic3.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic4.JPG.jpg']","M",5,8,6.5,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,89.58333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.36972152,1.324004298,-25.83635621,1.253851739,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"f1daa6ad-24b2-4d69-92a2-826d85a71f8b","201009_E1_24-27",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","1","N 68 21.203, E 19 02.799","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic2.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic3.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic3.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-1_pic4.JPG.jpg']","D",24,27,25.5,"20100900_E1D",NA,NA,"X",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,93.23770492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.29345116,0.862474403,-24.92135264,-0.351283728,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"bb51dbab-1086-4a51-83ac-f61b9c5bee6d","201009_E2_01-04",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","2","N 68 21.202, E 19 02.808",NA,"S",1,4,2.5,"20100900_E2S",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,88.04713805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.91685621,1.488474615,-26.63383639,3.572814156,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"8135b7b1-02cf-48aa-893c-517200ef8c16","201009_E2_05-08",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","2","N 68 21.202, E 19 02.808",NA,"M",5,8,6.5,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,89.67391304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.93589774,1.936387023,-27.89674651,3.103755736,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"93bcd2d3-a84d-48e5-86b9-10f32235ac0b","201009_E2_24-27",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","2","N 68 21.202, E 19 02.808",NA,"D",24,27,25.5,"20100900_E2D",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.12751678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.25412412,1.48065374,-25.76360363,1.930622099,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"8db7b6e0-f5ff-4c62-9512-a1929d644dfa","201009_E3_01-04",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","3","N 68 21.196, E 19 02.808","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-3.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-3.JPG.jpg']","S",1,4,2.5,"20100900_E3S",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7284345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"0173a228-b3a0-4347-baac-78c62721f731","201009_E3_05-08",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","3","N 68 21.196, E 19 02.808","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-3.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-3.JPG.jpg']","M",5,8,6.5,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.65741858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"eb8d2d46-9cfd-4491-af51-51203f589d93","201009_E3_24-27",9,2010,"2010-09-01","2010-08","Fen","Eriophorum Autochamber Site","3","N 68 21.196, E 19 02.808","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-3.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/E-3.JPG.jpg']","D",24,27,25.5,"20100900_E3D",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5026178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200924,20200924,NA,"notes_Suzanne: d13C in incubations calculated as the d13C value on day 50 of the incubation."
"7b852c9f-f915-447f-ad63-94f7e759ab95","201009_P1_01-04",9,2010,"2010-09-01","2010-08","Palsa","Palsa Autochamber Site","1","N 68 21.207, E 19 02.827","['https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1-sectioned.JPG_copy.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1-sectioned.JPG.jpg, https://isogenie-db.asc.ohio-state.edu/images/raw/Virginia_Rich/2010/P-1.JPG.jpg']","S",1,4,2.5,NA,NA,NA,NA,NA,NA,"Not Detected","Not Detected",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.55102041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.81198999,1.251113617,-27.2708878,-1.626810575,NA,NA,NA,20200924,20200924,"Notes: Palsa core looks different from yesterday, more clayey towards bottom",NA
