"Site1"	"Site2"	"BetaNTI"	"RCBC"	"Assembly_Process.BetaNTI"	"Assembly_Process.RCBC"	"Assembly_Process"	"SampleID.Site1"	"Month.Site1"	"Habitat.Site1"	"Core.Site1"	"Depth.Site1"	"Year.Site1"	"Sampletype.Site1"	"hash.Site1"	"Month__.Site1"	"Year__.Site1"	"Date__.Site1"	"FieldSampling__.Site1"	"Habitat__.Site1"	"Site__.Site1"	"Core__.Site1"	"GPS__.Site1"	"image_url__.Site1"	"DepthCode__.Site1"	"DepthMin__.Site1"	"DepthMax__.Site1"	"DepthAvg__.Site1"	"metaG_ACE__.Site1"	"metaG_JGI_NovaSeq__.Site1"	"FTIR__.Site1"	"FTICRMS__.Site1"	"EEMS__.Site1"	"ALD.cm__.Site1"	"WTD.cm_neg.is.below.sfc__.Site1"	"T, air (C).Site1"	"T, soil (C).Site1"	"Weather Conditions on Day of Coring.Site1"	"Conductivity (uS).Site1"	"Redox Potential (ORP) (uncalibrated; relative values only).Site1"	"pH (porewater).Site1"	"CH4.mM__.Site1"	"CO2.mM__.Site1"	"CH4.percent.Site1"	"CO2.percent.Site1"	"d13C_CH4__.Site1"	"d13C_CO2__.Site1"	"dD_CH4__.Site1"	"dD_H2O.Site1"	"d18O_H2O.Site1"	"DOC.mM__.Site1"	"TN.mM__.Site1"	"Acetate.uM__.Site1"	"Sulfate.uM__.Site1"	"Phosphate.uM__.Site1"	"Nitrate.uM__.Site1"	"Ammonia.uM__.Site1"	"C.percent__.Site1"	"N.percent__.Site1"	"d13C_peat__.Site1"	"d15N_peat__.Site1"	"pool.DOM.Site1"	"pool.dD_CH4.Site1"	"UpdateDate__.DepthInfo.Site1"	"UpdateDate__.Biogeochemistry.Site1"	"Notes__.DepthInfo.Site1"	"Notes__.Biogeochemistry.Site1"	"sample.Site1"	"temporal_sample_id.Site1"	"DepthCodeMod.Site1"	"WTD.Site1"	"ALD.Site1"	"SampleID.Site2"	"Month.Site2"	"Habitat.Site2"	"Core.Site2"	"Depth.Site2"	"Year.Site2"	"Sampletype.Site2"	"hash.Site2"	"Month__.Site2"	"Year__.Site2"	"Date__.Site2"	"FieldSampling__.Site2"	"Habitat__.Site2"	"Site__.Site2"	"Core__.Site2"	"GPS__.Site2"	"image_url__.Site2"	"DepthCode__.Site2"	"DepthMin__.Site2"	"DepthMax__.Site2"	"DepthAvg__.Site2"	"metaG_ACE__.Site2"	"metaG_JGI_NovaSeq__.Site2"	"FTIR__.Site2"	"FTICRMS__.Site2"	"EEMS__.Site2"	"ALD.cm__.Site2"	"WTD.cm_neg.is.below.sfc__.Site2"	"T, air (C).Site2"	"T, soil (C).Site2"	"Weather Conditions on Day of Coring.Site2"	"Conductivity (uS).Site2"	"Redox Potential (ORP) (uncalibrated; relative values only).Site2"	"pH (porewater).Site2"	"CH4.mM__.Site2"	"CO2.mM__.Site2"	"CH4.percent.Site2"	"CO2.percent.Site2"	"d13C_CH4__.Site2"	"d13C_CO2__.Site2"	"dD_CH4__.Site2"	"dD_H2O.Site2"	"d18O_H2O.Site2"	"DOC.mM__.Site2"	"TN.mM__.Site2"	"Acetate.uM__.Site2"	"Sulfate.uM__.Site2"	"Phosphate.uM__.Site2"	"Nitrate.uM__.Site2"	"Ammonia.uM__.Site2"	"C.percent__.Site2"	"N.percent__.Site2"	"d13C_peat__.Site2"	"d15N_peat__.Site2"	"pool.DOM.Site2"	"pool.dD_CH4.Site2"	"UpdateDate__.DepthInfo.Site2"	"UpdateDate__.Biogeochemistry.Site2"	"Notes__.DepthInfo.Site2"	"Notes__.Biogeochemistry.Site2"	"sample.Site2"	"temporal_sample_id.Site2"	"DepthCodeMod.Site2"	"WTD.Site2"	"ALD.Site2"	"StochasticDeterministic"
"20120600_P1D"	"20120600_P1S"	-4.14221965747188	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_1_D_12_so_R1"	"June"	"Palsa"	1	"D"	2012	"peat"	"30e16629-6266-4b95-9e8a-3522913477e5"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"D"	14	17	15.5	"20120600_P1D"	NA	NA	NA	NA	"17.5"	NA	8.7	1.5	"Sunny both days"	NA	NA	NA	NA	NA	0	0.060190254	NA	-12.11666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.425	1.368	-27.00862	-0.6649275	NA	NA	20200924	20200924	NA	NA	"201206_P1_14-17"	NA	"X0"	NA	17.5	"June_P_1_S_12_so_R1"	"June"	"Palsa"	1	"S"	2012	"peat"	"d5dca80e-823a-42ff-832d-df3f36565ab6"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"S"	1	4	2.5	"20120600_P1S"	NA	NA	NA	NA	"17.5"	NA	8.7	4.6	"Sunny both days"	NA	NA	NA	NA	NA	0	0.043325693	NA	-9.874416667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.775	0.843	-27.61778	-2.4517975	NA	NA	20200924	20200924	"Notes: one of the middle pore gas samples may have some"	NA	"201206_P1_01-04"	NA	"S"	NA	17.5	"Deterministic"
"20120600_P2S"	"20120600_P1S"	-3.61686841514653	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_S_12_so_R1"	"June"	"Palsa"	2	"S"	2012	"peat"	"17b125b4-c1b9-4cec-8c9e-644e5ad7bca9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"S"	1	4	2.5	"20120600_P2S"	NA	NA	NA	NA	"14"	NA	9.9	9	"Sunny both days"	NA	NA	NA	NA	NA	0	0.039374164	NA	-8.765916667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.436	0.848	-26.44100833	-0.35115	NA	NA	20200924	20200924	"Notes: core went slightly into frozen layer (18 cm depth)"	"notes_Suzanne: There were 2 bags labeled \"P2-S,\" and no \"P3-S.\" One of the P2-S bags is probably P3-S."	"201206_P2_01-04"	NA	"S"	NA	14	"June_P_1_S_12_so_R1"	"June"	"Palsa"	1	"S"	2012	"peat"	"d5dca80e-823a-42ff-832d-df3f36565ab6"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"S"	1	4	2.5	"20120600_P1S"	NA	NA	NA	NA	"17.5"	NA	8.7	4.6	"Sunny both days"	NA	NA	NA	NA	NA	0	0.043325693	NA	-9.874416667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.775	0.843	-27.61778	-2.4517975	NA	NA	20200924	20200924	"Notes: one of the middle pore gas samples may have some"	NA	"201206_P1_01-04"	NA	"S"	NA	17.5	"Deterministic"
"20120600_P2S"	"20120600_P1D"	-3.09991848865146	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_S_12_so_R1"	"June"	"Palsa"	2	"S"	2012	"peat"	"17b125b4-c1b9-4cec-8c9e-644e5ad7bca9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"S"	1	4	2.5	"20120600_P2S"	NA	NA	NA	NA	"14"	NA	9.9	9	"Sunny both days"	NA	NA	NA	NA	NA	0	0.039374164	NA	-8.765916667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.436	0.848	-26.44100833	-0.35115	NA	NA	20200924	20200924	"Notes: core went slightly into frozen layer (18 cm depth)"	"notes_Suzanne: There were 2 bags labeled \"P2-S,\" and no \"P3-S.\" One of the P2-S bags is probably P3-S."	"201206_P2_01-04"	NA	"S"	NA	14	"June_P_1_D_12_so_R1"	"June"	"Palsa"	1	"D"	2012	"peat"	"30e16629-6266-4b95-9e8a-3522913477e5"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"D"	14	17	15.5	"20120600_P1D"	NA	NA	NA	NA	"17.5"	NA	8.7	1.5	"Sunny both days"	NA	NA	NA	NA	NA	0	0.060190254	NA	-12.11666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.425	1.368	-27.00862	-0.6649275	NA	NA	20200924	20200924	NA	NA	"201206_P1_14-17"	NA	"X0"	NA	17.5	"Deterministic"
"20120600_P2M"	"20120600_P1S"	-3.14988105222696	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_M_12_so_R1"	"June"	"Palsa"	2	"M"	2012	"peat"	"ead61e08-0837-42a9-bc50-baeadd1c9668"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"M"	7	10	8.5	"20120600_P2M"	NA	NA	NA	NA	"14"	NA	9.9	3.4	"Sunny both days"	NA	NA	NA	NA	NA	0	0.047982852	NA	-10.96616667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.125	0.944	-25.99012	-0.94286285	NA	NA	20200924	20200924	NA	"notes_Suzanne: There were 2 bags labeled \"P2-M,\" and no \"P3-M.\" One of the P2-M bags is probably P3-M."	"201206_P2_07-10"	NA	"M"	NA	14	"June_P_1_S_12_so_R1"	"June"	"Palsa"	1	"S"	2012	"peat"	"d5dca80e-823a-42ff-832d-df3f36565ab6"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"S"	1	4	2.5	"20120600_P1S"	NA	NA	NA	NA	"17.5"	NA	8.7	4.6	"Sunny both days"	NA	NA	NA	NA	NA	0	0.043325693	NA	-9.874416667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.775	0.843	-27.61778	-2.4517975	NA	NA	20200924	20200924	"Notes: one of the middle pore gas samples may have some"	NA	"201206_P1_01-04"	NA	"S"	NA	17.5	"Deterministic"
"20120600_P2M"	"20120600_P1D"	-2.80154488735603	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_M_12_so_R1"	"June"	"Palsa"	2	"M"	2012	"peat"	"ead61e08-0837-42a9-bc50-baeadd1c9668"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"M"	7	10	8.5	"20120600_P2M"	NA	NA	NA	NA	"14"	NA	9.9	3.4	"Sunny both days"	NA	NA	NA	NA	NA	0	0.047982852	NA	-10.96616667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.125	0.944	-25.99012	-0.94286285	NA	NA	20200924	20200924	NA	"notes_Suzanne: There were 2 bags labeled \"P2-M,\" and no \"P3-M.\" One of the P2-M bags is probably P3-M."	"201206_P2_07-10"	NA	"M"	NA	14	"June_P_1_D_12_so_R1"	"June"	"Palsa"	1	"D"	2012	"peat"	"30e16629-6266-4b95-9e8a-3522913477e5"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"D"	14	17	15.5	"20120600_P1D"	NA	NA	NA	NA	"17.5"	NA	8.7	1.5	"Sunny both days"	NA	NA	NA	NA	NA	0	0.060190254	NA	-12.11666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.425	1.368	-27.00862	-0.6649275	NA	NA	20200924	20200924	NA	NA	"201206_P1_14-17"	NA	"X0"	NA	17.5	"Deterministic"
"20120600_P2M"	"20120600_P2S"	-2.82713347106016	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_M_12_so_R1"	"June"	"Palsa"	2	"M"	2012	"peat"	"ead61e08-0837-42a9-bc50-baeadd1c9668"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"M"	7	10	8.5	"20120600_P2M"	NA	NA	NA	NA	"14"	NA	9.9	3.4	"Sunny both days"	NA	NA	NA	NA	NA	0	0.047982852	NA	-10.96616667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.125	0.944	-25.99012	-0.94286285	NA	NA	20200924	20200924	NA	"notes_Suzanne: There were 2 bags labeled \"P2-M,\" and no \"P3-M.\" One of the P2-M bags is probably P3-M."	"201206_P2_07-10"	NA	"M"	NA	14	"June_P_2_S_12_so_R1"	"June"	"Palsa"	2	"S"	2012	"peat"	"17b125b4-c1b9-4cec-8c9e-644e5ad7bca9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"S"	1	4	2.5	"20120600_P2S"	NA	NA	NA	NA	"14"	NA	9.9	9	"Sunny both days"	NA	NA	NA	NA	NA	0	0.039374164	NA	-8.765916667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.436	0.848	-26.44100833	-0.35115	NA	NA	20200924	20200924	"Notes: core went slightly into frozen layer (18 cm depth)"	"notes_Suzanne: There were 2 bags labeled \"P2-S,\" and no \"P3-S.\" One of the P2-S bags is probably P3-S."	"201206_P2_01-04"	NA	"S"	NA	14	"Deterministic"
"20120600_P2D"	"20120600_P1S"	-3.22787333502335	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_D_12_so_R1"	"June"	"Palsa"	2	"D"	2012	"peat"	"c8b96a11-ec92-415d-a88e-41b70e013cd9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"D"	15	18	16.5	"20120600_P2D"	NA	NA	NA	NA	"14"	NA	9.9	1.4	"Sunny both days"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.619	1.37	-25.60697	2.75029205	NA	NA	20200924	20200924	NA	NA	"201206_P2_15-18"	NA	"X0"	NA	14	"June_P_1_S_12_so_R1"	"June"	"Palsa"	1	"S"	2012	"peat"	"d5dca80e-823a-42ff-832d-df3f36565ab6"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"S"	1	4	2.5	"20120600_P1S"	NA	NA	NA	NA	"17.5"	NA	8.7	4.6	"Sunny both days"	NA	NA	NA	NA	NA	0	0.043325693	NA	-9.874416667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.775	0.843	-27.61778	-2.4517975	NA	NA	20200924	20200924	"Notes: one of the middle pore gas samples may have some"	NA	"201206_P1_01-04"	NA	"S"	NA	17.5	"Deterministic"
"20120600_P2D"	"20120600_P1D"	-2.65654597029822	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_D_12_so_R1"	"June"	"Palsa"	2	"D"	2012	"peat"	"c8b96a11-ec92-415d-a88e-41b70e013cd9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"D"	15	18	16.5	"20120600_P2D"	NA	NA	NA	NA	"14"	NA	9.9	1.4	"Sunny both days"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.619	1.37	-25.60697	2.75029205	NA	NA	20200924	20200924	NA	NA	"201206_P2_15-18"	NA	"X0"	NA	14	"June_P_1_D_12_so_R1"	"June"	"Palsa"	1	"D"	2012	"peat"	"30e16629-6266-4b95-9e8a-3522913477e5"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"1"	"N 68 21.2067, E 19 02.8426"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_1_June2012.png']"	"D"	14	17	15.5	"20120600_P1D"	NA	NA	NA	NA	"17.5"	NA	8.7	1.5	"Sunny both days"	NA	NA	NA	NA	NA	0	0.060190254	NA	-12.11666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.425	1.368	-27.00862	-0.6649275	NA	NA	20200924	20200924	NA	NA	"201206_P1_14-17"	NA	"X0"	NA	17.5	"Deterministic"
"20120600_P2D"	"20120600_P2S"	-2.81759208436402	NA	"Homogenous selection"	NA	"Homogenous selection"	"June_P_2_D_12_so_R1"	"June"	"Palsa"	2	"D"	2012	"peat"	"c8b96a11-ec92-415d-a88e-41b70e013cd9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"D"	15	18	16.5	"20120600_P2D"	NA	NA	NA	NA	"14"	NA	9.9	1.4	"Sunny both days"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.619	1.37	-25.60697	2.75029205	NA	NA	20200924	20200924	NA	NA	"201206_P2_15-18"	NA	"X0"	NA	14	"June_P_2_S_12_so_R1"	"June"	"Palsa"	2	"S"	2012	"peat"	"17b125b4-c1b9-4cec-8c9e-644e5ad7bca9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"S"	1	4	2.5	"20120600_P2S"	NA	NA	NA	NA	"14"	NA	9.9	9	"Sunny both days"	NA	NA	NA	NA	NA	0	0.039374164	NA	-8.765916667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.436	0.848	-26.44100833	-0.35115	NA	NA	20200924	20200924	"Notes: core went slightly into frozen layer (18 cm depth)"	"notes_Suzanne: There were 2 bags labeled \"P2-S,\" and no \"P3-S.\" One of the P2-S bags is probably P3-S."	"201206_P2_01-04"	NA	"S"	NA	14	"Deterministic"
"20120600_P2D"	"20120600_P2M"	-1.06951199961725	-1	NA	"Homogenizing dispersal"	"Homogenizing dispersal"	"June_P_2_D_12_so_R1"	"June"	"Palsa"	2	"D"	2012	"peat"	"c8b96a11-ec92-415d-a88e-41b70e013cd9"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"D"	15	18	16.5	"20120600_P2D"	NA	NA	NA	NA	"14"	NA	9.9	1.4	"Sunny both days"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.619	1.37	-25.60697	2.75029205	NA	NA	20200924	20200924	NA	NA	"201206_P2_15-18"	NA	"X0"	NA	14	"June_P_2_M_12_so_R1"	"June"	"Palsa"	2	"M"	2012	"peat"	"ead61e08-0837-42a9-bc50-baeadd1c9668"	6	2012	2012-06-03	"2012-06"	"Palsa"	"Palsa Autochamber Site"	"2"	"N 68 21.2100, E 19 02.8410"	"['https://isogenie-db.asc.ohio-state.edu/images/raw/Eun-Hae_Kim/June2012/Palsa_Core_2_June2012.png']"	"M"	7	10	8.5	"20120600_P2M"	NA	NA	NA	NA	"14"	NA	9.9	3.4	"Sunny both days"	NA	NA	NA	NA	NA	0	0.047982852	NA	-10.96616667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44.125	0.944	-25.99012	-0.94286285	NA	NA	20200924	20200924	NA	"notes_Suzanne: There were 2 bags labeled \"P2-M,\" and no \"P3-M.\" One of the P2-M bags is probably P3-M."	"201206_P2_07-10"	NA	"M"	NA	14	"Stochastic"
