,RCBC,site1,site2
1,-1,2,31
2,1,2,32
3,1,2,33
4,1,2,34
5,1,2,35
6,1,2,36
7,1,2,37
8,1,2,38
9,1,2,39
10,1,2,40
11,1,2,41
12,1,2,42
13,1,2,43
14,1,2,44
15,1,2,45
16,1,2,46
17,-1,2,47
18,-1,2,48
19,-0.81,2,49
20,-1,2,50
21,-1,2,51
22,-0.93,2,52
23,-1,2,53
24,1,2,54
25,1,2,55
26,1,2,56
27,1,2,57
28,1,2,58
29,0.01,2,59
30,1,2,60
31,1,2,61
32,1,2,62
33,1,2,63
34,1,2,64
35,1,2,65
36,1,2,66
37,1,2,67
38,-1,3,4
39,-1,3,5
40,-1,3,6
41,1,3,7
42,1,3,8
43,1,3,9
44,1,3,10
45,1,3,11
46,1,3,12
47,1,3,13
48,1,53,67
49,-1,54,55
50,-1,54,56
51,-1,54,57
52,-1,54,58
53,-1,54,59
54,1,54,60
55,1,54,61
56,-0.81,54,62
57,1,54,63
58,1,54,64
59,1,54,65
60,1,54,66
61,1,54,67
62,-1,55,56
63,-1,55,57
64,-1,55,58
65,-0.69,55,59
66,1,55,60
67,1,55,61
68,-1,55,62
69,1,55,63
70,0.88,55,64
71,1,55,65
72,1,55,66
73,1,55,67
74,-1,56,57
75,-1,56,58
76,0.95,56,59
77,1,56,60
78,0.95,56,61
79,-1,56,62
80,0.44,56,63
81,-0.8,56,64
82,1,56,65
83,1,56,66
84,1,56,67
85,-1,57,58
86,0.89,57,59
87,1,57,60
88,1,57,61
89,-1,57,62
90,1,57,63
91,0.86,57,64
92,1,57,65
93,1,57,66
94,1,3,60
95,1,3,61
96,1,3,62
97,1,3,63
98,1,3,64
99,1,3,65
100,1,3,66
101,1,3,67
102,-1,4,5
103,-1,4,6
104,-1,4,7
105,-1,4,8
106,0.99,4,9
107,-1,4,10
108,-1,4,11
109,0.97,4,12
110,-1,4,13
111,-0.99,4,14
112,-0.29,4,15
113,1,4,16
114,1,4,17
115,1,4,18
116,1,4,19
117,1,4,20
118,1,4,21
119,1,4,22
120,1,4,23
121,-1,4,24
122,-1,4,25
123,1,4,26
124,-1,4,27
125,-1,4,28
126,0.98,4,29
127,-1,4,30
128,-1,4,31
129,-1,4,32
130,-1,4,33
131,0.98,4,34
132,-1,4,35
133,-1,4,36
134,-0.65,4,37
135,-1,4,38
136,1,4,39
137,1,4,40
138,1,4,41
139,1,4,42
140,1,4,43
141,1,4,44
142,1,4,45
143,1,4,46
144,-1,4,47
145,-1,4,48
146,1,4,49
147,-1,4,50
148,-1,4,51
149,1,4,52
150,-1,4,53
151,-0.99,4,54
152,0.45,4,55
153,0.97,4,56
154,0.86,4,57
155,-0.98,4,58
156,-1,4,59
157,1,4,60
158,1,4,61
159,1,4,62
160,1,4,63
161,1,4,64
162,1,4,65
163,1,4,66
164,1,4,67
165,-1,5,6
166,1,5,7
167,1,5,8
168,1,5,9
169,1,5,10
170,1,5,11
171,1,5,12
172,1,5,13
173,1,5,14
174,1,5,15
175,1,5,16
176,1,5,17
177,1,5,18
178,1,5,19
179,1,5,20
180,1,5,21
181,1,5,22
182,1,5,23
183,-1,5,24
184,-1,5,25
185,0.87,5,26
186,-1,5,27
187,-1,5,28
188,-0.93,5,29
189,-1,5,30
190,-1,5,31
191,1,5,32
192,1,5,33
193,1,5,34
194,1,5,35
195,1,5,36
196,1,5,37
197,1,5,38
198,1,5,39
199,1,5,40
200,1,5,41
201,1,5,42
202,1,5,43
203,1,5,44
204,1,5,45
205,1,5,46
206,-1,5,47
207,-1,5,48
208,0.54,5,49
209,-1,5,50
210,-1,5,51
211,0.22,5,52
212,-1,5,53
213,1,5,54
214,1,5,55
215,1,5,56
216,1,5,57
217,1,5,58
218,0.42,5,59
