,20120600_P1S,20120600_P1D,20120600_P2S,20120600_P2M,20120600_P2D,20120600_P3D,20120600_S1S,20120600_S1M,20120600_S1D,20120600_S2S,20120600_S2M,20120600_S2D,20120600_S3S,20120600_S3M,20120600_S3D,20120600_E1S,20120600_E1D,20120600_E2S,20120600_E2M,20120600_E2D,20120600_E3S,20120600_E3M,20120600_E3D,20120700_P1S,20120700_P1M,20120700_P1D,20120700_P2S,20120700_P2M,20120700_P2D,20120700_P3S,20120700_P3M,20120700_S1S,20120700_S1M,20120700_S1D,20120700_S2S,20120700_S2M,20120700_S2D,20120700_S3S,20120700_E1S,20120700_E1M,20120700_E1D,20120700_E2S,20120700_E2D,20120700_E3S,20120700_E3M,20120700_E3D,20120800_P1S,20120800_P1M,20120800_P1D,20120800_P2S,20120800_P2M,20120800_P2D,20120800_P3M,20120800_S1S,20120800_S1M,20120800_S1D,20120800_S2M,20120800_S2D,20120800_S3S,20120800_E1S,20120800_E1M,20120800_E1D,20120800_E2S,20120800_E2M,20120800_E2D,20120800_E3S,20120800_E3M
20120600_P1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_P1D,-4.14221965747188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_P2S,-3.61686841514653,-3.09991848865146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_P2M,-3.14988105222696,-2.80154488735603,-2.82713347106016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_P2D,-3.22787333502335,-2.65654597029822,-2.81759208436402,-1.06951199961725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_P3D,-3.86612954908036,-2.88735546698902,-3.72531460106742,-3.73246891037062,-3.43245375131472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S1S,-0.553654010372102,-2.60541582451628,-0.778584755871273,0.0518941566750131,-2.22513637892131,-2.70163327291228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S1M,-0.702303062853729,-2.50517750264194,-1.14368717658433,-1.06171403384072,-2.26872707030564,-2.90643210753728,-1.71777217122734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S1D,-2.02521778829212,-3.35871484710209,-1.83282026926266,-2.88778415153315,-3.55433077540671,-2.97490846104662,-2.44713643425294,-2.53980963460198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S2S,-2.70571886306211,-4.56243848337818,-2.48553367916416,-2.73295215067056,-4.1257725090742,-3.93674918450662,-2.5959517247138,-2.30862235866329,-2.41145807890074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S2M,-1.31783244964147,-2.73675422937927,-1.86561081798082,-0.86982745036352,-2.2222380832116,-2.95252876114237,-1.27590408608292,-1.71359884928441,-2.75577940249435,-1.71488111907983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S2D,0.902633089263753,-0.880416895494961,0.325203160574346,-0.143533839813704,-1.11090945292104,-1.45714709392298,-0.946870604801019,-1.59633599056835,-1.15077262280113,-1.06386334734537,-1.12564900982391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S3S,-2.45066596747641,-4.66491626458908,-2.41171966795897,-3.66985785010496,-4.3977453965176,-3.89393101644234,-2.40034964271559,-3.14750171645651,-3.044079842566,-3.60365222030686,-2.65489423891708,-1.29112575358049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S3M,-0.71867677221652,-2.34951364748207,-1.17516279030923,-1.22382636951936,-2.48680596912653,-2.91077921296743,-1.70616383074753,-1.79290335978314,-1.76043286317285,-1.93943466291023,-1.29705873943544,-1.49576952960761,-2.44543730185161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_S3D,-0.808667759482484,-1.8575443147831,-1.17539138995662,-1.65072150609106,-1.9820137147096,-2.47694252222849,-2.67213139971792,-2.6500341075085,-1.69989122626555,-2.72981081978423,-1.52341157904576,-0.949876380807457,-2.58958308129004,0.930642555959147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E1S,10.0417967709933,10.350404436555,10.4648549003908,11.9883132823783,8.20841120221503,9.39417398782566,9.9953228610422,6.80043639022584,4.16857252175044,12.3596946063943,8.12612382000283,6.32934034692839,11.6748627888808,6.56883461036768,5.47574230919578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E1D,11.2143391244834,10.6293846009112,10.8602276625195,14.0013544853993,8.57824104957304,8.87424479872076,8.39519698007671,5.63092582090658,7.16208819914398,10.3136388027531,8.16732848473912,6.23847233296522,10.6275757459931,5.647890868162,5.094334268229,-2.56041483209702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E2S,10.4434143270639,11.0091290309282,10.6802278077505,12.1999663737433,8.69252920064129,9.91173785031377,10.3246079080415,7.82218415732705,6.80648198376753,12.160431950241,9.73816287609549,8.23291845904695,11.8076297089129,7.32780221961469,6.69312731992282,-1.03069564469159,-1.37702804761014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E2M,11.7686522670609,11.8117556157066,11.9627324201498,13.860742300025,9.197366022346,10.2104390601626,10.246408666941,7.63036828165395,8.25924050947693,11.87575051762,9.71255082672465,8.01326476644068,12.2596865002415,6.80932360890376,5.8957594430095,-0.366267406948515,-0.306302075794518,0.438909403654832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E2D,9.03510253322756,8.7536605092803,7.8755657300136,10.977350561597,6.51532789370212,7.31190293530416,8.74484978804796,5.89992622484952,6.69212521698853,9.96243090522477,8.82128491028197,8.47382232989356,10.441072956931,6.70671122704545,6.74991847027906,-1.29278574649809,1.49016271078015,-0.545984149222007,0.849493908234998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E3S,11.248862226391,11.9845012581068,10.9522575318098,13.0905922489797,9.30615049375938,10.6813227658328,11.6917248377036,8.52186248679674,7.2352838067436,14.4782097457662,11.1170305701912,8.64512152463661,13.6228118994888,8.39685743517681,6.96466890974381,0.980326213686164,0.0264509977005109,0.832366862776743,0.149429426502733,0.816253445028851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E3M,10.3681883270587,10.1077411468859,9.20829245855544,12.1108147497017,7.92497415041566,8.33066162108541,8.21219845908714,5.00939145458918,5.21820725893187,10.4207156651294,7.07394016452061,5.62913567150876,11.0238964648328,4.93469819863632,4.15993416782547,-0.388998399110092,-1.32488427075846,-0.161828354660663,1.23342694898009,-0.158535911282298,1.02207505008086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120600_E3D,11.0569473625159,11.9431218146924,9.99300907927741,13.0521707890002,8.91607908213623,9.7646516566696,10.2539934179001,6.51554777171078,6.33637131020313,12.4512195490358,10.2320046281824,10.1656816419964,12.6960008435279,6.66203007337982,5.16787862122758,0.232753171171891,2.1671949660095,1.85701317173828,2.90675560214734,3.17524915905067,1.71749024898664,-0.585523076363106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120700_P1S,-2.70853840355768,-3.96127217998902,-2.33838971824124,-1.98196314906228,-2.65784332981041,-3.84948503693075,-0.499574765839603,-0.689953048660065,-2.36439945663335,-2.5576850027009,-1.30879109870203,0.726600015501286,-2.90799736967325,-0.843922171367211,-0.848527417611607,11.1469193501017,11.8910259655554,11.5863575688426,12.9434422008267,9.03433056820275,12.3653987569074,10.6242469447288,11.161492566091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120700_P1M,-3.13875575061662,-2.68983446025903,-2.6243914170351,-2.78754990044415,-2.11631587444134,-2.87130452177147,-2.58649546998222,-2.56937198917006,-3.35575365003069,-3.45930177122872,-2.39808350188249,-1.37460118350322,-3.8831461912055,-2.51255232957828,-1.87104536685557,6.48238655132897,7.31147378259559,6.6379786630358,7.28936825967177,5.82722298440059,7.48195273115531,6.75885640474207,7.55734986860303,-2.96468767734928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
