,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
302.1472934,NA,NA,NA,NA,NA,NA,NA,NA,16.3575191044342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667.2190981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7803810075306,NA,NA,15.7803810075306,NA,NA,NA,NA,NA,15.7803810075306,15.7803810075306,NA,15.7803810075306,NA,NA,NA,NA
595.310199,NA,NA,NA,NA,NA,14.9453937799738,NA,NA,NA,NA,NA,NA,14.9453937799738,NA,NA,NA,NA,NA,NA,NA,NA,14.9453937799738,NA,NA,NA,NA,NA
749.2369849,NA,NA,NA,NA,NA,2.38740543284469,2.38740543284469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779.247554,NA,NA,NA,2.03305355293344,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03305355293344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
765.2319801,NA,3.74877778137598,3.74877778137598,3.74877778137598,NA,3.74877778137598,3.74877778137598,3.74877778137598,NA,3.74877778137598,NA,NA,3.74877778137598,3.74877778137598,3.74877778137598,3.74877778137598,3.74877778137598,NA,NA,NA,NA,3.74877778137598,NA,NA,NA,NA,NA
783.2425561,NA,4.26980047810682,4.26980047810682,4.26980047810682,4.26980047810682,4.26980047810682,4.26980047810682,4.26980047810682,NA,4.26980047810682,NA,NA,4.26980047810682,4.26980047810682,4.26980047810682,4.26980047810682,4.26980047810682,NA,NA,NA,NA,4.26980047810682,NA,NA,NA,NA,NA
763.2527908,NA,NA,NA,NA,NA,2.22100103765268,2.22100103765268,NA,NA,NA,NA,NA,2.22100103765268,NA,NA,NA,NA,NA,NA,NA,NA,2.22100103765268,NA,NA,NA,NA,NA
767.2476586,NA,NA,3.63411313381082,3.63411313381082,3.63411313381082,3.63411313381082,3.63411313381082,3.63411313381082,NA,3.63411313381082,NA,NA,3.63411313381082,3.63411313381082,NA,NA,3.63411313381082,NA,NA,3.63411313381082,3.63411313381082,3.63411313381082,NA,NA,NA,NA,NA
751.2162037,NA,NA,2.69417067199863,2.69417067199863,2.69417067199863,2.69417067199863,2.69417067199863,2.69417067199863,NA,2.69417067199863,2.69417067199863,NA,NA,2.69417067199863,NA,NA,NA,NA,NA,NA,NA,2.69417067199863,NA,NA,NA,NA,NA
741.2319149,2.42205870472106,NA,2.42205870472106,2.42205870472106,NA,NA,NA,2.42205870472106,NA,2.42205870472106,2.42205870472106,NA,2.42205870472106,2.42205870472106,NA,NA,2.42205870472106,2.42205870472106,NA,2.42205870472106,2.42205870472106,NA,NA,NA,NA,NA,NA
711.2212522,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,NA,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,NA,8.3364971584306,NA,NA
753.2318114,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,4.11118642987488,NA,NA,NA,NA,NA
735.2212041,NA,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,NA,3.8727237965827,3.8727237965827,NA,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,NA,NA,NA,NA,3.8727237965827,3.8727237965827,NA,NA,NA,NA
737.2368098,NA,NA,2.3711109846448,2.3711109846448,NA,2.3711109846448,2.3711109846448,NA,NA,2.3711109846448,NA,NA,2.3711109846448,2.3711109846448,2.3711109846448,NA,NA,NA,NA,NA,NA,2.3711109846448,NA,NA,2.3711109846448,NA,NA
777.268632,NA,NA,3.021220117548,3.021220117548,3.021220117548,3.021220117548,3.021220117548,3.021220117548,NA,3.021220117548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.021220117548,NA,NA,NA,NA,NA
785.2584383,NA,NA,NA,2.17519887098521,NA,NA,NA,NA,NA,2.17519887098521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799.237696,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.52013842384303,2.52013842384303,NA,NA,2.52013842384303,NA,NA,NA,NA,NA,2.52013842384303,2.52013842384303,NA,NA,NA,NA,NA,NA
797.2585438,NA,NA,2.42856289240979,2.42856289240979,NA,2.42856289240979,NA,NA,NA,2.42856289240979,2.42856289240979,NA,NA,2.42856289240979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
827.23271,NA,NA,2.5539346574166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
811.2742138,NA,NA,NA,NA,NA,2.37449144996503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.258368,5.49729933964546,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,5.49729933964546,NA,NA,NA,NA
