"","Member","Value","Direction","Mass","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","MolForm","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class"
"1","302.1472934",16.3575191044342,"Sig. High",302.1472934,15,28,2,0,0,1,1,0,"CHOSP",NA,303.1546234,-0.634372354,NA,"C15H28O2SP",0,0,2.5,0.5,-1.5,111.6,301.809913032931,0.190086967068964,-1.8,0.133333333333333,1.86666666666667,0,0.0666666666666667,0,"Lipid","Lipid","Lipid"
"2","667.2190981",15.7803810075306,"Sig. High",667.2190981,38,36,11,0,0,0,0,0,"CHO",NA,668.2264281,0.696558,NA,"C38H36O11",0.37037037037037,0.476923076923077,21,10,10,70.8,666.474075294403,0.525924705597049,-0.368421052631579,0.289473684210526,0.947368421052632,0,0,NA,"Lignin","Lignin","Other"
"3","595.310199",14.9453937799738,"Sig. High",595.310199,31,51,6,1,0,1,1,0,"CHNOSP",NA,596.317529,0.008523983,NA,"C31H51O6NSP",0,0.06,7.5,1.5,-1.5,96.1548387096774,594.645470313542,0.354529686457681,-1.25806451612903,0.193548387096774,1.64516129032258,0.032258064516129,0.032258064516129,1,"Lipid","Lipid","Lipid"
"4","749.2369849",2.38740543284469,"Sig. High",749.2369849,50,38,5,0,0,1,0,0,"CHOS",NA,750.2443149,0.355925224,NA,"C50H38O5S",0.590909090909091,0.612903225806452,32,27,26,75.12,748.400380189288,0.599619810711602,-0.52,0.1,0.76,0,0,NA,"Unsat Hydrocarbon","Cond Hydrocarbon","Other"
"5","779.247554",2.03305355293344,"Sig. High",779.247554,51,40,6,0,0,1,0,0,"CHOS",NA,780.254884,0.347886464,NA,"C51H40O6S",0.568181818181818,0.595744680851064,32,26,25,74.8294117647059,778.377439219729,0.622560780270646,-0.509803921568627,0.117647058823529,0.784313725490196,0,0,NA,"Unsat Hydrocarbon","Cond Hydrocarbon","Other"
"6","765.2319801",3.74877778137598,"Sig. High",765.2319801,50,38,6,0,0,1,0,0,"CHOS",NA,766.2393101,0.423261441,NA,"C50H38O6S",0.581395348837209,0.608695652173913,32,26,25,73.98,764.377515234755,0.622484765244621,-0.48,0.12,0.76,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Cond Hydrocarbon","Other"
"7","783.2425561",4.26980047810682,"Sig. High",783.2425561,50,40,7,0,0,1,0,0,"CHOS",NA,784.2498861,0.457642283,NA,"C50H40O7S",0.547619047619048,0.582417582417582,31,24,23,73.98,782.367980464695,0.632019535305176,-0.48,0.14,0.8,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Lignin","Other"
"8","763.2527908",2.22100103765268,"Sig. High",763.2527908,51,40,5,0,0,1,0,0,"CHOS",NA,764.2601208,0.553255996,NA,"C51H40O5S",0.577777777777778,0.6,32,27,26,75.9470588235294,762.400535915209,0.599464084791066,-0.549019607843137,0.0980392156862745,0.784313725490196,0,0,NA,"Unsat Hydrocarbon","Cond Hydrocarbon","Other"
"9","767.2476586",3.63411313381082,"Sig. High",767.2476586,50,40,6,0,0,1,0,0,"CHOS",NA,768.2549886,0.437142283,NA,"C50H40O6S",0.558139534883721,0.58695652173913,31,25,24,75.12,766.390943010135,0.609056989864939,-0.52,0.12,0.8,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Unsat Hydrocarbon","Other"
"10","751.2162037",2.69417067199863,"Sig. High",751.2162037,49,36,6,0,0,1,0,0,"CHOS",NA,752.2235337,0.294161759,NA,"C49H36O6S",0.595238095238095,0.622222222222222,32,26,25,73.0959183673469,750.377388975895,0.62261102410514,-0.448979591836735,0.122448979591837,0.73469387755102,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Cond Hydrocarbon","Other"
