"","Member","Value","Direction","Mass","C","H","O","N","C13","S","P","Na","El_comp","Class","NeutralMass","Error_ppm","Candidates","MolForm","AI","AI_Mod","DBE","DBE_O","DBE_AI","GFE","kmass.CH2","kdefect.CH2","NOSC","OtoC_ratio","HtoC_ratio","NtoC_ratio","PtoC_ratio","NtoP_ratio","bs1_class","bs2_class","bs3_class"
"1","456.3561717",15.7351988566538,"Sig. High",456.3561717,27,54,1,0,0,1,1,0,"CHOSP",NA,457.3635017,0.327565168,NA,"C27H54OSP",0,0,1.5,0.5,-1.5,118.355555555556,455.846600321783,0.153399678216886,-2.03703703703704,0.037037037037037,2,0,0.037037037037037,0,"Lipid","Lipid;Unsat Hydrocarbon","Lipid"
"2","595.310199",12.0966862545404,"Sig. High",595.310199,31,51,6,1,0,1,1,0,"CHNOSP",NA,596.317529,0.008523983,NA,"C31H51O6NSP",0,0.06,7.5,1.5,-1.5,96.1548387096774,594.645470313542,0.354529686457681,-1.25806451612903,0.193548387096774,1.64516129032258,0.032258064516129,0.032258064516129,1,"Lipid","Lipid","Lipid"
"3","599.341489",16.9266458699055,"Sig. High",599.341489,31,55,6,1,0,1,1,0,"CHNOSP",NA,600.348819,-0.008403448,NA,"C31H55O6NSP",0,0,5.5,-0.5,-3.5,99.8322580645161,598.672258939114,0.327741060885501,-1.38709677419355,0.193548387096774,1.7741935483871,0.032258064516129,0.032258064516129,1,"Lipid","Lipid","Lipid"
"4","700.3124748",10.4093449831323,"Sig. High",700.3124748,40,47,10,1,0,0,0,0,"CHNO",NA,701.3198048,-0.350092684,NA,"C40H47O10N",0.241379310344828,0.352941176470588,18,8,7,77.4,699.530499634337,0.469500365662725,-0.6,0.25,1.175,0.025,0,NA,"Other","Lignin","Other"
"5","712.349242",9.56613697169681,"Sig. High",712.349242,42,51,9,1,0,0,0,0,"CHNO",NA,713.356572,0.190952241,NA,"C42H51O9N",0.25,0.342465753424658,18,9,8,80.6571428571429,711.55382647255,0.446173527449673,-0.714285714285714,0.214285714285714,1.21428571428571,0.0238095238095238,0,NA,"Other","Lignin","Other"
"6","749.2369849",-0.206517363601185,"Insignificant",749.2369849,50,38,5,0,0,1,0,0,"CHOS",NA,750.2443149,0.355925224,NA,"C50H38O5S",0.590909090909091,0.612903225806452,32,27,26,75.12,748.400380189288,0.599619810711602,-0.52,0.1,0.76,0,0,NA,"Unsat Hydrocarbon","Cond Hydrocarbon","Other"
"7","779.247554",-0.294233264298748,"Insignificant",779.247554,51,40,6,0,0,1,0,0,"CHOS",NA,780.254884,0.347886464,NA,"C51H40O6S",0.568181818181818,0.595744680851064,32,26,25,74.8294117647059,778.377439219729,0.622560780270646,-0.509803921568627,0.117647058823529,0.784313725490196,0,0,NA,"Unsat Hydrocarbon","Cond Hydrocarbon","Other"
"8","765.2319801",0.746576540610437,"Insignificant",765.2319801,50,38,6,0,0,1,0,0,"CHOS",NA,766.2393101,0.423261441,NA,"C50H38O6S",0.581395348837209,0.608695652173913,32,26,25,73.98,764.377515234755,0.622484765244621,-0.48,0.12,0.76,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Cond Hydrocarbon","Other"
"9","783.2425561",-0.242659321522695,"Insignificant",783.2425561,50,40,7,0,0,1,0,0,"CHOS",NA,784.2498861,0.457642283,NA,"C50H40O7S",0.547619047619048,0.582417582417582,31,24,23,73.98,782.367980464695,0.632019535305176,-0.48,0.14,0.8,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Lignin","Other"
"10","767.2476586",0.441920891410529,"Insignificant",767.2476586,50,40,6,0,0,1,0,0,"CHOS",NA,768.2549886,0.437142283,NA,"C50H40O6S",0.558139534883721,0.58695652173913,31,25,24,75.12,766.390943010135,0.609056989864939,-0.52,0.12,0.8,0,0,NA,"Unsat Hydrocarbon;Cond Hydrocarbon","Unsat Hydrocarbon","Other"
