genome,20120600_P1S,20120600_P1D,20120600_P2S,20120600_P2M,20120600_P2D,20120600_P3D,20120600_S1S,20120600_S1M,20120600_S1D,20120600_S2S,20120600_S2M,20120600_S2D,20120600_S3S,20120600_S3M,20120600_S3D,20120600_E1S,20120600_E1D,20120600_E2S,20120600_E2M,20120600_E2D,20120600_E3S,20120600_E3M,20120600_E3D,20120700_P1S,20120700_P1M,20120700_P1D,20120700_P2S,20120700_P2M,20120700_P2D,20120700_P3S,20120700_P3M,20120700_S1S,20120700_S1M,20120700_S1D,20120700_S2S,20120700_S2M,20120700_S2D,20120700_S3S,20120700_E1S,20120700_E1M,20120700_E1D,20120700_E2S,20120700_E2D,20120700_E3S,20120700_E3M,20120700_E3D,20120800_P1S,20120800_P1M,20120800_P1D,20120800_P2S,20120800_P2M,20120800_P2D,20120800_P3M,20120800_S1S,20120800_S1M,20120800_S1D,20120800_S2M,20120800_S2D,20120800_S3S,20120800_E1S,20120800_E1M,20120800_E1D,20120800_E2S,20120800_E2M,20120800_E2D,20120800_E3S,20120800_E3M,GTDB_v2_r207
20100900_E1D_10,0,0,0,0,0,0,0,0,1.24E-04,0,1.91E-04,0.002391319,0,0,0,0,0.007261909,0.003845976,0.005685072,0.008856485,0.012155091,0.014336505,0.010861557,0,0,0,0,0,0,0,0,0,0,9.22E-04,0,0,0.00188654,0,0.005764767,0.005381056,0.004094463,0.005167964,0.004302932,0.005362885,0.002834796,0.004621736,0,0,0,0,0,0,0,0,0.0013159,0.001813215,0,0,0,0.002304603,0.002872974,0.003320145,0.006552559,0.005655956,0.002053619,0,0.011158273,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__Bog-209;s__Bog-209 sp003162255
20100900_E1D_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39E-04,0.002336741,0.003527198,0.001049973,0.001034125,0.002697053,0.001299766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001152875,0,0,0.01442129,0.013798841,0.005296977,5.58E-04,0.009194624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014579204,0.007067058,2.25E-04,0,0,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__Fen-549 sp003162235
20100900_E1D_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34E-04,0,0.001205287,4.36E-04,0.001727398,0.001536512,0.002321687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008799688,0.013942348,0.007505506,0.01804724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44E-04,0,5.55E-04,0,0.004106702,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__Fen-1342;g__Fen-1342;s__Fen-1342 sp003162245
20100900_E1D_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002964132,0.005047485,0,0,0.002673411,7.19E-04,0.005743198,0.012457503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006166267,0.020934292,0.003895805,0.003943293,0.015104804,0.006194625,5.07E-04,0.013279923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003692209,0.006505165,2.39E-04,0.009437451,0.001949771,7.34E-04,0,0,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1254;s__Fen-1254 sp003162695
20100900_E1D_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-05,0,0,1.23E-04,0,0,4.55E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005282869,0.004513788,2.93E-04,0.012101662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002151888,0,0,0,0,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Palsa-1439;f__Palsa-1439;g__CAIKBP01;s__
20100900_E2D_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001119272,0,6.13E-04,0.002028259,0.002240174,0.002566588,0.004037352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001318353,0.002681193,0.002427822,0,3.24E-04,9.82E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55E-04,0,8.70E-04,9.70E-04,0.002111763,8.89E-04,9.84E-04,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__FEN-1257;s__FEN-1257 sp003135995
20100900_E3D_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002782252,0.032871195,0.004804151,0.008857608,0.029618146,0.00521917,0.026870946,0.015229461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011131285,0.014049384,0.001537722,0.011399453,0.010154592,0.007335845,0.002079639,0.009456517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00384328,0.004618377,0,0.007359005,0.006229957,8.66E-04,2.67E-04,0.002086597,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__Fen-549 sp003162055
20100900_E3D_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003286902,0.001801483,0,6.03E-04,0.001390133,0,0.001900485,0.00393046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002782192,0.009046757,0,0,8.10E-04,0,1.54E-04,5.91E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010747105,0.009208536,0,7.16E-04,7.79E-04,0,0,0,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003161815
20100900_E3S_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007566139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04E-04,0,0,0,0,0,2.74E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067358259,0.013493101,0,0.007534223,6.74E-04,0,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__FEN-1191;s__FEN-1191 sp003162555
20110600_P1D_1,0,0.00120739,0,0,5.27E-04,0.004596712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18E-04,0,0,5.14E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006791359,0,0,0.003812733,0,6.29E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__
20110600_P1D_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Erabacter;s__
20110600_P1D_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__Palsa-739 sp003161615
20110600_P1D_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Elarobacter;s__
20110600_P1D_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__UBA4665;g__;s__
20110600_P1M_1,0,0.001086711,0,0,0,0.002888902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004833813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Palsa-187;s__
20110600_P1M_10,0,0,0,0,0,0.002479277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Elarobacter;s__Elarobacter pasteuri
20110600_P1M_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__UBA183;g__BOG-1369;s__
20110600_P1M_13,0,0,0,0,0,6.17E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Zemynaea;s__
