"","Member","Value","Direction","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","20111000_P2D_6",1.62493820448822,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__Bog-877","g__Bog-877","s__Bog-877 sp003132265"
"2","20120500_P24_7",2.73644870069822,"Sig. High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__Bog-877","g__Bog-877","s__Bog-877 sp003133485"
"3","20120700_P2D_10",2.14468657291712,"Sig. High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__Bog-877","g__Bog-877","s__Bog-877 sp003135035"
"4","20111000_P2D_14",2.02722379797752,"Sig. High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__Bog-877","g__","s__"
"5","20140700_E22_12",1.63418868649815,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003135255"
"6","20130700_C2X_13",1.57822343644557,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003142035"
"7","20110800_E2D_15",1.7394888435602,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003170875"
"8","PLNE01",1.67582712051635,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003141695"
"9","20120500_P26_8",1.71639372610571,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003153215"
"10","20120700_P3D_66",1.31541425567202,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__Palsa-851","s__"
"11","PLZA01",1.26984562651952,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__Palsa-851","s__Palsa-851 sp003153505"
"12","PMOL01",1.08895520220504,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__Palsa-851","s__Palsa-851 sp003162415"
"13","20120500_P23_1",2.8180425631233,"Sig. High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__Palsa-851","s__Palsa-851 sp003132525"
"14","20120500_P15_4",2.07433888073187,"Sig. High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__Palsa-851","s__Palsa-851 sp003132805"
"15","3300028776_13",5.42497780255971,"Sig. High","d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__UBA4665","g__UBA5150","s__"
"16","3300037134_11",4.38201011170283,"Sig. High","d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__UBA4665","g__BOG-1338","s__"
"17","PLXZ01",5.72806505118632,"Sig. High","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9983","f__UBA11359","g__PALSA-1337","s__PALSA-1337 sp003151615"
"18","20120700_P3D_39",-0.221933826126067,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"19","20120600_P2M_7",0.140748676632468,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"20","20140700_S33_2",-0.0500305490185098,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"21","3300037200_7",-0.067548762629384,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"22","20110600_P3S_11",-0.0839831356743944,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"23","20111000_S1D_3",-0.0182443636970044,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"24","20120700_P3D_84",-0.517785998081559,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__"
"25","20150700_P14_7",-0.504542817320427,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__"
"26","20120600_E2D_21",-0.634885355304453,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__Palsa-513 sp003157595"
"27","20150700_P15_3",-0.255670921725908,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__Palsa-513 sp003133565"
"28","20110800_S3D_3",-0.315850886731212,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__Palsa-513 sp003138355"
"29","20110600_P3S_5",-0.645943365977269,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__"
"30","20120500_P23_6",-0.667930237103192,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__Palsa-513 sp003132505"
"31","20170700_S33_37",0.384241160490175,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__"
"32","20110800_S3S_35",0.363884011241541,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__Palsa-465 sp003137075"
"33","20120700_P3D_38",0.238096254672794,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__"
"34","20110600_P3S_13",0.292893266706323,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__"
"35","20110600_P3S_9",0.327715964941111,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__"
"36","20120600_P3M_4",0.254123405590861,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__"
"37","20120500_P13_10",2.31090333351491,"Sig. High","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__Palsa-739","s__"
"38","20170700_S25_36",1.82645282463047,"High","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"39","20110800_S1S_3",1.58311730074941,"High","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"40","20120700_S1D_43",1.54175163271391,"High","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium sp003165155"
"41","PMSU01",-0.269577830975848,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__PALSA-505","s__PALSA-505 sp003168255"
"42","20110700_P1S_10",-0.561771131281952,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__UBA9676","s__"
"43","20160700_P15_16",-0.681992607595755,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__UBA9676","s__"
"44","3300037394_5",-0.800443289342218,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-506","s__"
"45","20110700_P1S_11",-0.735338635420064,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-506","s__Palsa-506 sp003168215"
"46","20111000_P1S_5",-0.314147776015604,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-506","s__"
"47","20130700_C2M_2",-0.239484234456407,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Bog-532","s__"
"48","20110800_P3S_8",-0.349423054553756,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__Palsa-504 sp003140115"
"49","20110700_P1M_3",-0.691281120867891,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__"
"50","20170700_S33_22",-0.762531135721651,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__"
"51","20130700_S3M_11",-0.776016547321986,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__"
"52","PMOU01",-0.691694559055016,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__Palsa-504 sp003161205"
"53","20120600_P2M_9",-0.539401266817403,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__"
"54","PMST01",-0.540708059111789,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__Palsa-504 sp003168295"
"55","20120700_P3D_23",0.550538195097588,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Acidothermales","f__Acidothermaceae","g__PALSA-607","s__"
"56","20110600_P1M_23",1.58534293517805,"High","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__IMCC26256","f__PALSA-555","g__PALSA-555","s__"
"57","PLJD01",1.40477956964589,"High","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__IMCC26256","f__PALSA-555","g__PALSA-555","s__PALSA-555 sp003140175"
"58","20120600_P3S_2",0.393613434658434,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__PALSA-693","s__PALSA-693 sp003156595"
"59","20160700_P15_13",0.0257614169371671,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__","s__"
"60","20110800_P2D_8",-0.486336706073713,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__","s__"
"61","PMOO01",-0.460172767233072,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__","s__"
"62","PMWT01",-0.183477582407687,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__Fen-671","s__Fen-671 sp003166025"
"63","20170700_P34_4",0.197620951565839,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__"
"64","20120600_E2D_28",-0.118187525250543,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__"
"65","20120700_P3D_97",-0.0448417864951476,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__"
"66","20150700_P24_5",0.228549546742626,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__"
"67","20140700_E14_11",-0.0320359088670128,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__Fen-455 sp003140595"
"68","20110800_E3D_9",-0.13861703300231,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__Fen-455 sp003170375"
