,June_E_1_S_12_so_R1,June_E_1_D_12_so_R1,June_E_2_S_12_so_R1,June_E_2_M_12_so_R1,June_E_2_D_12_so_R1,June_E_3_S_12_so_R1,June_E_3_M_12_so_R1,June_E_3_D_12_so_R1,July_E_1_S_12_so_R1,July_E_1_M_12_so_R2,July_E_1_D_12_so_R1,July_E_2_S_12_so_R1,July_E_2_D_12_so_R1,July_E_3_S_12_so_R1,July_E_3_M_12_so_R1,July_E_3_D_12_so_R1,Aug_E_1_S_12_so_R1,Aug_E_1_M_12_so_R1,Aug_E_1_D_12_so_R1,Aug_E_2_S_12_so_R1,Aug_E_2_M_12_so_R1,Aug_E_2_D_12_so_R1,Aug_E_3_S_12_so_R1,Aug_E_3_M_12_so_R1
PLND01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03816481246444,NA,NA,NA,NA,1.03816481246444,NA,1.03816481246444,NA,NA
20140700_E15_11,0.258825910630308,0.258825910630308,NA,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,NA,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,0.258825910630308,NA,NA
20120600_E1D_38,NA,-0.371994117049668,NA,NA,-0.371994117049668,-0.371994117049668,-0.371994117049668,-0.371994117049668,-0.371994117049668,-0.371994117049668,-0.371994117049668,NA,-0.371994117049668,NA,-0.371994117049668,-0.371994117049668,NA,-0.371994117049668,-0.371994117049668,-0.371994117049668,-0.371994117049668,NA,NA,NA
20170700_E15_8,NA,-0.568207793272352,NA,NA,-0.568207793272352,NA,NA,-0.568207793272352,NA,NA,-0.568207793272352,NA,-0.568207793272352,NA,-0.568207793272352,-0.568207793272352,NA,NA,-0.568207793272352,NA,NA,NA,NA,NA
20110800_E3D_30,NA,NA,NA,NA,-0.723360519375821,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.723360519375821,NA,NA,NA,NA,NA,NA,-0.723360519375821,NA,NA
20110800_E3D_17,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,NA,-0.391487657150873,NA,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873,-0.391487657150873
20130700_C2M_17,NA,-0.788678104844148,NA,NA,-0.788678104844148,NA,NA,-0.788678104844148,NA,-0.788678104844148,-0.788678104844148,NA,NA,NA,-0.788678104844148,NA,NA,-0.788678104844148,-0.788678104844148,NA,NA,NA,NA,NA
20120600_E3D_18,-0.240856398522627,-0.240856398522627,-0.240856398522628,-0.240856398522628,-0.240856398522628,-0.240856398522628,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,NA,-0.240856398522627,NA,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627,-0.240856398522627
3300037076_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.465533164048652,NA,NA,NA,NA,NA,NA,0.465533164048652,0.465533164048652,NA
20130700_C1D_18,NA,0.710203622369146,NA,NA,0.710203622369146,NA,0.710203622369146,0.710203622369146,0.710203622369146,0.710203622369146,0.710203622369146,0.710203622369146,0.710203622369147,NA,0.710203622369146,0.710203622369146,0.710203622369146,0.710203622369146,NA,0.710203622369146,0.710203622369146,0.710203622369147,0.710203622369147,NA
