,June_P_1_S_12_so_R1,June_P_1_D_12_so_R1,June_P_2_S_12_so_R1,June_P_2_M_12_so_R1,June_P_2_D_12_so_R1,June_P_3_D_12_so_R1,July_P_1_S_12_so_R1,July_P_1_M_12_so_R1,July_P_1_D_12_so_R1,July_P_2_S_12_so_R1,July_P_2_M_12_so_R1,July_P_2_D_12_so_R1,July_P_3_S_12_so_R1,July_P_3_M_12_so_R1,Aug_P_1_S_12_so_R1,Aug_P_1_M_12_so_R1,Aug_P_1_D_12_so_R1,Aug_P_2_S_12_so_R1,Aug_P_2_M_12_so_R1,Aug_P_2_D_12_so_R1,Aug_P_3_M_12_so_R1
20111000_P2D_6,NA,NA,NA,NA,NA,NA,NA,NA,1.62493820448822,NA,NA,1.62493820448822,NA,NA,NA,NA,1.62493820448822,NA,NA,NA,NA
20120500_P24_7,NA,NA,NA,NA,NA,NA,NA,2.73644870069822,2.73644870069822,NA,2.73644870069822,2.73644870069822,NA,2.73644870069822,NA,NA,NA,NA,2.73644870069822,2.73644870069822,2.73644870069822
20120700_P2D_10,NA,NA,NA,NA,NA,NA,NA,NA,2.14468657291712,NA,NA,2.14468657291712,NA,NA,NA,NA,NA,NA,NA,2.14468657291712,2.14468657291712
20111000_P2D_14,NA,NA,NA,NA,NA,NA,NA,NA,2.02722379797752,NA,NA,2.02722379797752,NA,NA,NA,NA,2.02722379797752,NA,NA,2.02722379797752,NA
20140700_E22_12,NA,NA,NA,NA,NA,NA,NA,NA,1.63418868649815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20130700_C2X_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57822343644557,NA,NA
20110800_E2D_15,NA,NA,NA,NA,NA,NA,NA,NA,1.7394888435602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLNE01,NA,NA,NA,NA,NA,NA,NA,NA,1.67582712051635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120500_P26_8,NA,NA,NA,NA,NA,NA,NA,NA,1.71639372610571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120700_P3D_66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31541425567202,NA,NA,NA,NA
PLZA01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26984562651952,NA,NA,NA,NA
PMOL01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08895520220504,1.08895520220504,NA,NA,NA,NA
20120500_P23_1,NA,2.8180425631233,NA,2.8180425631233,2.8180425631233,2.8180425631233,NA,2.8180425631233,NA,NA,2.8180425631233,NA,NA,2.8180425631233,NA,2.8180425631233,NA,NA,2.8180425631233,NA,2.8180425631233
20120500_P15_4,NA,2.07433888073187,NA,NA,2.07433888073187,2.07433888073187,NA,2.07433888073187,NA,NA,NA,NA,NA,2.07433888073187,NA,2.07433888073187,NA,NA,2.07433888073187,NA,NA
3300028776_13,NA,NA,5.42497780255971,NA,NA,NA,5.42497780255971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3300037134_11,NA,NA,NA,4.38201011170283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLXZ01,NA,NA,NA,NA,NA,NA,NA,NA,5.72806505118632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20120700_P3D_39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.221933826126067,NA,NA,NA,NA
20120600_P2M_7,NA,0.140748676632468,NA,0.140748676632468,0.140748676632468,NA,NA,0.140748676632468,NA,0.140748676632468,NA,NA,0.140748676632468,NA,NA,NA,NA,0.140748676632468,0.140748676632468,NA,NA
20140700_S33_2,-0.0500305490185099,NA,-0.0500305490185098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0500305490185097,NA,NA,NA,NA,NA,NA,NA
