"","Member","Value","Direction","Domain","Phylum","Class","Order","Family","Genus","Species"
"1","PMCB01",3.49575692152954,"Sig. High","d__Bacteria","p__Chloroflexota","c__Dehalococcoidia","o__Dehalococcoidales","f__UBA3254","g__Fen-1064","s__Fen-1064 sp003153955"
"2","20110800_E2S_1",2.80524377823477,"Sig. High","d__Bacteria","p__Chloroflexota","c__Ellin6529","o__CSP1-4","f__CSP1-4","g__","s__"
"3","20170700_S25_25",1.59362574747574,"High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__Bog-877","g__Bog-877","s__Bog-877 sp003164475"
"4","20140700_E22_12",0.0807169959822243,"Insignificant","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003135255"
"5","20150700_S23_3",2.76639584050224,"Sig. High","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003134115"
"6","20130700_C2X_13",0.225590737869628,"Insignificant","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003142035"
"7","20110800_E2D_15",-0.316836979479419,"Insignificant","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003170875"
"8","PLNE01",-0.240188619145701,"Insignificant","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003141695"
"9","20120500_P26_8",-0.257787393947322,"Insignificant","d__Bacteria","p__Dormibacterota","c__Dormibacteria","o__UBA8260","f__UBA8260","g__UBA8260","s__UBA8260 sp003153215"
"10","20170700_E11_1",2.48621466834899,"Sig. High","d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__SZUA-47","g__","s__"
"11","3300037134_11",2.88095795579753,"Sig. High","d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__UBA4665","g__BOG-1338","s__"
"12","PLTT01",1.55361368831026,"High","d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__UBA4665","g__BOG-1338","s__BOG-1338 sp003164595"
"13","PLSR01",4.95821906953049,"Sig. High","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9983","f__UBA2163","g__UBA10103","s__UBA10103 sp003164215"
"14","20120700_S3D_8",4.63532789533621,"Sig. High","d__Bacteria","p__Patescibacteria","c__Paceibacteria","o__UBA9983","f__GWA1-40-21","g__Bog-1340","s__Bog-1340 sp003142075"
"15","20170700_S33_33",1.77123288740687,"High","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__RBG-16-64-13","f__RBG-16-64-13","g__","s__"
"16","20110800_E2D_31",0.991727876136203,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__UBA2241","f__UBA2241","g__Bog-752","s__Bog-752 sp003132645"
"17","PLTW01",2.02192892373484,"Sig. High","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__UBA2241","f__UBA2241","g__Bog-752","s__Bog-752 sp003164655"
"18","20140700_S33_2",-0.00581413834201769,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"19","20111000_S1D_3",1.06589974626504,"High","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-744","s__"
"20","20150700_P14_7",0.61775434217571,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__"
"21","20120600_E2D_21",0.437812700456429,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__Palsa-513 sp003157595"
"22","20110800_S3D_3",0.491255280821426,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__Palsa-513 sp003138355"
"23","20140700_S31_9",0.418844827214005,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__"
"24","20110600_P3S_5",0.537612405236194,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__"
"25","20120500_P23_6",0.316180360081337,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-513","s__Palsa-513 sp003132505"
"26","20170700_S33_37",0.745187945731249,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__"
"27","20110800_S3S_35",0.400113194438183,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__Palsa-465 sp003137075"
"28","20110600_P3S_13",0.471257894816965,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__Palsa-465","s__"
"29","20170700_S25_36",-0.542322628383477,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"30","20111000_S1D_14",-0.599251497217056,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"31","20110800_S1S_3",-0.69793971293331,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"32","20120700_S1D_43",-0.730604649656443,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Mycobacteriales","f__Mycobacteriaceae","g__Mycobacterium","s__Mycobacterium sp003165155"
"33","20160700_S34_5",0.137996087516273,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-506","s__"
"34","20130700_C2M_2",0.209462765792358,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Bog-532","s__"
"35","20110700_S3M_18",-0.169834524638245,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Bog-532","s__Bog-532 sp003164955"
"36","20110800_P3S_8",-0.199880803568384,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__Palsa-504 sp003140115"
"37","20170700_S33_22",-0.0309791856127521,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__"
"38","20130700_S3M_11",-0.0784114380835064,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__"
"39","20120600_P2M_9",-0.25106232375447,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__"
"40","PMST01",-0.265124707781445,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Streptosporangiales","f__Streptosporangiaceae","g__Palsa-504","s__Palsa-504 sp003168295"
"41","20120600_P3S_2",0.268160358577491,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__PALSA-693","s__PALSA-693 sp003156595"
"42","20160700_P15_13",-0.317037833440156,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__","s__"
"43","20120600_E1D_41",-0.66135200423613,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__Fen-671","s__Fen-671 sp003158835"
"44","20120700_S1D_115",-0.743447573062926,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__Fen-671","s__"
"45","PMWT01",-11.6327655374087,"Sig. Low","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Palsa-688","g__Fen-671","s__Fen-671 sp003166025"
"46","20120700_S3X_18",0.401095023327479,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Bog-793","s__Bog-793 sp003159795"
"47","20120600_E2D_28",-0.547784419419102,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__"
"48","20150700_P24_5",-0.58907823596593,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__"
"49","20160700_S13_16",-0.518703699136046,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__"
"50","20120700_S1X_2",-0.621335190771648,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__Fen-455 sp003139355"
"51","20110800_S1D_5",-0.716715001524287,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__Fen-455 sp003166375"
"52","20140700_E14_11",-11.5298135933898,"Sig. Low","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__Fen-455 sp003140595"
"53","20110800_E3D_9",-0.750677438570776,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Fen-455","s__Fen-455 sp003170375"
"54","20160700_S23_14",0.200823675586096,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__Bog-793","g__Palsa-601","s__"
"55","20110800_S1M_17",-0.513169585773764,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__Bog-756","s__Bog-756 sp003138855"
"56","20170700_S34_26",-0.508426702794843,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__Bog-756","s__"
"57","20120700_S1D_66",-0.491561309505428,"Insignificant","d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__RAAP-2","g__Bog-756","s__Bog-756 sp003164275"
