genome,ch4_rho,ch4_pval,pval_adj,Domain,Phylum,Class,Order,Family,Genus,Species,Value,Direction
20110700_S3M_11,0.5357142857142857,0.039566972229549524,0.039566972229549524,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003139795,-0.634960220005783,Insignificant
20110800_S1S_1,-0.6853146853146853,0.01390596881436279,0.01390596881436279,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__,-0.494915211124395,Insignificant
20110800_S1S_6,-0.825,1.5323557090551887e-4,1.5323557090551887e-4,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003133075,-0.122738434034542,Insignificant
20110800_S2M_3,0.712280701754386,6.226087633378619e-4,6.226087633378619e-4,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003138365,-11.6113411547946,Sig. Low
20110800_S2M_9,0.6813186813186813,0.010340409451492949,0.010340409451492949,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__Bog-1198 sp003164785,-0.639262070145019,Insignificant
20111000_S3M_6,-0.5558823529411765,0.025362176320607777,0.025362176320607777,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__,-0.408115137179426,Insignificant
20120600_S1D_7,0.7009803921568627,0.0017194111989726757,0.0017194111989726757,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003159355,-0.658852562507685,Insignificant
20120600_S1S_4,-0.6263157894736842,0.004116972306622113,0.004116972306622113,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003160115,-11.7470734825931,Sig. Low
20120700_S1D_96,-0.5607142857142857,0.029676496094474647,0.029676496094474647,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__,-0.440809581709301,Insignificant
20120700_S1S_1,-0.7212121212121212,0.018573155089460114,0.018573155089460114,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__Hesperobacter,s__,0.235486139255231,Insignificant
20120700_S1S_3,-0.709766833766141,0.006573299970583424,0.006573299970583424,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003136495,-0.343122839516422,Insignificant
20120800_E1D_14,0.6333333333333333,0.0036026359031935407,0.0036026359031935407,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003142015,-11.6306630478747,Sig. Low
20130700_S2M_1,0.6200980392156863,0.007919520570762728,0.007919520570762728,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__,-0.515774592223223,Insignificant
20130700_S2S_8,-0.6892857142857143,0.004473734450906264,0.004473734450906264,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003138895,-0.00317250116739113,Insignificant
