genome,co2_rho,co2_pval,pval_adj,Domain,Phylum,Class,Order,Family,Genus,Species,Value,Direction
20110600_S1D_15,0.611764705882353,0.01178840505311518,0.01178840505311518,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165005,-0.427820459061766,Insignificant
20110700_S3M_11,0.5857142857142857,0.021776517619042757,0.021776517619042757,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003139795,-0.634960220005783,Insignificant
20110800_S1D_14,0.7181818181818181,0.012799598068858442,0.012799598068858442,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__Bog-159 sp003166475,-0.617373145185769,Insignificant
20110800_S1S_1,-0.7832167832167832,0.0025862148333626322,0.0025862148333626322,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__,-0.494915211124395,Insignificant
20110800_S1S_6,-0.8357142857142857,1.0444687327715307e-4,1.0444687327715307e-4,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003133075,-0.122738434034542,Insignificant
20110800_S2M_3,0.7280701754385965,4.091009120770206e-4,4.091009120770206e-4,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003138365,-11.6113411547946,Sig. Low
20111000_S3M_6,-0.5529411764705883,0.026314499870666364,0.026314499870666364,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__,-0.408115137179426,Insignificant
20120600_S1D_7,0.8946078431372549,1.2627159184930292e-6,1.2627159184930292e-6,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003159355,-0.658852562507685,Insignificant
20120600_S1S_4,-0.5807017543859649,0.00913295007056858,0.00913295007056858,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003160115,-11.7470734825931,Sig. Low
20120700_S1D_114,0.5049019607843137,0.0387210488787062,0.0387210488787062,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165075,-0.465222712636473,Insignificant
20120700_S1D_25,0.5428571428571428,0.03652182255483716,0.03652182255483716,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Holophaga,s__Holophaga sp003165415,2.83177070765205,Sig. High
20120700_S1D_96,-0.6035714285714285,0.01720013806879539,0.01720013806879539,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__,-0.440809581709301,Insignificant
20120700_S1S_1,-0.696969696969697,0.02509667588225173,0.02509667588225173,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__Hesperobacter,s__,0.235486139255231,Insignificant
20120700_S1S_3,-0.7482813131177921,0.0032600147817845038,0.0032600147817845038,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003136495,-0.343122839516422,Insignificant
