Microbe,cluster,rho,pvalue,p_adj
PMGM01,Cluster1,-0.24544376949254207,0.2835385202788605,0.3887688353747879
PMGM01,Cluster2,-0.6089979837337309,0.0026287015063215513,0.008673952712760695
PMGM01,Cluster3,-0.512585897003862,0.014718860114426136,0.035102718635168076
PMGM01,Cluster4,0.2848040389698008,0.19890547254268087,0.2940301645242135
PLTK01,Cluster1,-0.3706774071534673,0.09809038968031092,0.16638394356867903
PLTK01,Cluster2,-0.3313186972967374,0.1320086347766931,0.2115810028879018
PLTK01,Cluster3,-0.6131599696319072,0.0024103227731775423,0.00810615412697729
PLTK01,Cluster4,0.31900700857535347,0.14787982820968604,0.2318773172449319
20140700_E22_12,Cluster1,-0.3183951120917143,0.15953158575402515,0.2464683668684851
20140700_E22_12,Cluster2,-0.5410059085526792,0.009323908077628618,0.024137013257182566
20140700_E22_12,Cluster3,-0.3545970931328087,0.10539473812646705,0.17668563328346276
20140700_E22_12,Cluster4,0.18187691194991384,0.4178986425194038,0.5286281780194236
20150700_S23_3,Cluster1,-0.5078742287414407,0.01875055253059288,0.042963743319904955
20150700_S23_3,Cluster2,-0.3277674137966425,0.1364557465632159,0.21724050048962923
20150700_S23_3,Cluster3,-0.407459750654726,0.05980595428811286,0.11142189893157829
20150700_S23_3,Cluster4,0.2965264167948137,0.1802394676062864,0.27202823620414357
Bog.None.R3.T0.JGI.BFC.metaspades_bin.148_73.61_7.22,Cluster1,-0.43046593607251893,0.051422671747661575,0.09846329129951881
Bog.None.R3.T0.JGI.BFC.metaspades_bin.148_73.61_7.22,Cluster2,-0.22178425384135433,0.3212149968372331,0.4300593423492697
Bog.None.R3.T0.JGI.BFC.metaspades_bin.148_73.61_7.22,Cluster3,-0.13238817885685633,0.5569995668207577,0.655614065035246
Bog.None.R3.T0.JGI.BFC.metaspades_bin.148_73.61_7.22,Cluster4,0.13402435358707307,0.552091841396648,0.6517023655371962
20130700_C2X_13,Cluster1,-0.6369129873196336,0.001903548326521065,0.006710650230096722
20130700_C2X_13,Cluster2,-0.46927988630198625,0.027570080579632394,0.058843937871048226
20130700_C2X_13,Cluster3,-0.6154585463067672,0.002296417131576023,0.00781714130836274
20130700_C2X_13,Cluster4,0.26452065084720494,0.23419385911045643,0.33554657518559955
3300037134_11,Cluster1,0.15953845017015233,0.48970734031001717,0.5965620223193585
3300037134_11,Cluster2,0.12015840872513459,0.594288918053663,0.6881535654537655
3300037134_11,Cluster3,0.2235249002916385,0.31733349814446576,0.42579297220074824
3300037134_11,Cluster4,0.09064604936410496,0.6882895166034191,0.7661501040392028
20111000_S1D_3,Cluster1,-0.07248774252039183,0.7548497276561885,0.8196790274208124
20111000_S1D_3,Cluster2,0.030734385239932112,0.8920000625998252,0.9244976252213788
20111000_S1D_3,Cluster3,0.2414804300172234,0.27896277133450265,0.38414347913648217
20111000_S1D_3,Cluster4,0.11754874365900758,0.6023799461064898,0.6948083836409605
20170700_S25_36,Cluster1,-0.25861068928664405,0.2576661305030936,0.36169522645561586
20170700_S25_36,Cluster2,-0.6027615867930622,0.0029869659959191885,0.009613203087068404
20170700_S25_36,Cluster3,-0.26506167706469724,0.23320276970630105,0.3346683473733071
20170700_S25_36,Cluster4,-0.02737518711565748,0.9037479458928557,0.9332128938306381
