cluster,env_variable,rho,pvalue,pval_adj
Cluster1,DepthAvg__,-0.5500689104420171,0.009780140156347983,0.03912056062539193
Cluster2,DepthAvg__,-0.4668797999082056,0.028483413278264758,0.08545023983479427
Cluster3,DepthAvg__,-0.4121407195092419,0.056652453066942776,0.11330490613388555
Cluster4,DepthAvg__,0.1594295324147147,0.47851449368682153,0.47851449368682153
Cluster1,"T, soil (C)",0.549490029776002,0.009873380557430256,0.03949352222972102
Cluster2,"T, soil (C)",0.3237046575867737,0.14167295157320625,0.42501885471961875
Cluster3,"T, soil (C)",0.16595985961564616,0.46043853596340156,0.7033860925816331
Cluster4,"T, soil (C)",-0.20853355896015377,0.35169304629081655,0.7033860925816331
Cluster1,ALD.cm,0.3148699199360922,0.1644610676413647,0.6578442705654588
Cluster2,ALD.cm,0.025078664218016897,0.911790763439666,1
Cluster3,ALD.cm,-0.30270918315417106,0.17089453584976022,0.6578442705654588
Cluster4,ALD.cm,-0.0870081692162222,0.7002269418940457,1
Cluster1,CtoN_wt,0.3338900669818009,0.1390810227028909,0.41724306810867273
Cluster2,CtoN_wt,0.3050375670873718,0.16746372002291565,0.41724306810867273
Cluster3,CtoN_wt,0.43615826169975047,0.042431797510597224,0.1697271900423889
Cluster4,CtoN_wt,-0.08300395256916997,0.7134458318122272,0.7134458318122272
Cluster1,C.percent__,-0.13813883163364704,0.5504115706139228,1
Cluster2,C.percent__,-0.15789514140515165,0.48281291722976016,1
Cluster3,C.percent__,-0.03220339497005929,0.886869322755208,1
Cluster4,C.percent__,-0.04799548277809147,0.8320291403130908,1
Cluster1,N.percent__,-0.3214510252707142,0.15534215507799387,0.4383871702575939
Cluster2,N.percent__,-0.32031774206206387,0.1461290567525313,0.4383871702575939
Cluster3,N.percent__,-0.4610170227292699,0.030815644494501804,0.12326257797800722
Cluster4,N.percent__,0.08074534161490683,0.7209375060406074,0.7209375060406074
Cluster1,Precipitation_3day_accumulation_mm,0.11717292276163349,0.6129811331599941,0.8716252590729803
Cluster2,Precipitation_3day_accumulation_mm,0.3651116512545384,0.09475778091607623,0.2842733427482287
Cluster3,Precipitation_3day_accumulation_mm,0.39910513242373163,0.06576583591918395,0.2630633436767358
Cluster4,Precipitation_3day_accumulation_mm,-0.17507390116251528,0.43581262953649014,0.8716252590729803
