Microbe,cluster,rho,pvalue,p_adj,Domain,Phylum,Class,Order,Family,Genus,Species
PMGM01,Cluster2,-0.6089979837337309,0.0026287015063215513,0.008673952712760695,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_B,s__Methanobacterium_B sp003158115
PMGM01,Cluster3,-0.512585897003862,0.014718860114426136,0.035102718635168076,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_B,s__Methanobacterium_B sp003158115
PLTK01,Cluster3,-0.6131599696319072,0.0024103227731775423,0.00810615412697729,d__Archaea,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__Methanobacterium_B,s__Methanobacterium_B sp003164415
20140700_E22_12,Cluster2,-0.5410059085526792,0.009323908077628618,0.024137013257182566,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003135255
20150700_S23_3,Cluster1,-0.5078742287414407,0.01875055253059288,0.042963743319904955,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003134115
20130700_C2X_13,Cluster1,-0.6369129873196336,0.001903548326521065,0.006710650230096722,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003142035
20130700_C2X_13,Cluster3,-0.6154585463067672,0.002296417131576023,0.00781714130836274,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003142035
20170700_S25_36,Cluster2,-0.6027615867930622,0.0029869659959191885,0.009613203087068404,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__
20140700_E14_11,Cluster2,-0.5183940843265911,0.01344874419369635,0.0326392139418453,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003140595
20140700_E14_11,Cluster3,-0.5451978271246881,0.00868797193589943,0.02289952297114115,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003140595
20110800_S1S_1,Cluster2,0.5664714313816868,0.00598554822844255,0.016919050537139504,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__
20110800_S1S_1,Cluster3,0.5546016378100159,0.007390513717784319,0.02010901349923518,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__
Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.5_81.58_0.43,Cluster3,0.5269848412685638,0.011735034863580296,0.029170048433717847,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__,s__
20130700_S2S_8,Cluster1,0.6909373764646254,5.243598592872267e-4,0.002409453971244537,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003138895
20120700_S1S_3,Cluster1,0.5805609196405929,0.005790583967354879,0.016458482280808307,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003136495
20120700_S1S_3,Cluster2,0.4895830242657732,0.02074033865807401,0.04660286814693611,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003136495
20120700_S1S_3,Cluster3,0.5415361281687786,0.00924141796947664,0.02396240717313352,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003136495
