Microbe,cluster,rho,pvalue,p_adj
20140700_E15_11,Cluster1,-0.0851528384279476,0.6923911088817871,0.8373928928191307
20140700_E15_11,Cluster2,0.21785636843009273,0.3064739123315401,0.5382320887358057
20140700_E15_11,Cluster3,0.19869328200814926,0.35197896921067806,0.5810436921403463
20120600_E1D_38,Cluster1,0.2555583763655963,0.22809494890244597,0.4533252093381328
20120600_E1D_38,Cluster2,0.2519228747286124,0.23500941230208938,0.4615556168773283
20120600_E1D_38,Cluster3,-0.40639581547459525,0.04876520445238541,0.17997725810700685
20110800_E3D_17,Cluster1,-0.01568972291763615,0.941993463723027,0.9746481430151169
20110800_E3D_17,Cluster2,-0.12897623075846987,0.548080615429154,0.7406514265252314
20110800_E3D_17,Cluster3,-0.09436834317452904,0.6609442020168244,0.8177511384348123
20120600_E3D_18,Cluster1,0.18086763918941673,0.39767931754759944,0.6231744869839223
20120600_E3D_18,Cluster2,-0.04139439838531972,0.847705801027383,0.927766904457747
20120600_E3D_18,Cluster3,-0.11002392084403616,0.6087985657807606,0.783773346956746
20130700_C1D_18,Cluster1,0.17601258783609147,0.4106772896392479,0.6346281298510076
20130700_C1D_18,Cluster2,0.19714399465090796,0.3558231794897806,0.5840437258314661
20130700_C1D_18,Cluster3,-0.3186861737122479,0.12906869550969358,0.3239536263381116
20130700_E2M_4,Cluster1,-0.019172158790260015,0.9291471967537019,0.9693575341314592
20130700_E2M_4,Cluster2,0.3641915078975434,0.08019077009936115,0.2422843545026567
20130700_E2M_4,Cluster3,0.05391304347826087,0.8024319710844887,0.9032501635825727
20120700_E2D_6,Cluster1,0.05995637986404444,0.7807857829832534,0.8915217841421038
20120700_E2D_6,Cluster2,0.28615265530783207,0.17523691711144695,0.3889107992725138
20120700_E2D_6,Cluster3,-0.12227190816814205,0.5692387185549546,0.7564822261698199
20130700_C1D_6,Cluster1,-0.11600533260354569,0.5893366822026742,0.7703943981933375
