Microbe,cluster,rho,pvalue,p_adj
20120600_E3D_18,Cluster1,-0.2978041752268844,0.17828010697108154,0.9320146155282508
20120600_E3D_18,Cluster2,0.1859169386971501,0.40745286880409237,0.9320146155282508
20120600_E3D_18,Cluster3,-0.16718346377260584,0.4570912988705311,0.9320146155282508
20130700_C1D_18,Cluster1,-0.031574523026320876,0.904247083664973,0.9727576070938009
20130700_C1D_18,Cluster2,-0.22061449781511816,0.3948313775631829,0.9320146155282508
20130700_C1D_18,Cluster3,0.031497039417435604,0.9044810502420635,0.9727576070938009
20120700_E2D_6,Cluster1,0,1,1
20120700_E2D_6,Cluster2,0.1155714768296681,0.637534706649983,0.9320146155282508
20120700_E2D_6,Cluster3,0.17320508075688773,0.47825236729759313,0.9320146155282508
20111000_E3D_3,Cluster1,0.324183775908033,0.12223308937309474,0.9320146155282508
20111000_E3D_3,Cluster2,-0.11805729502420365,0.5827222483928862,0.9320146155282508
20111000_E3D_3,Cluster3,-0.028695652173913042,0.8941129145750657,0.9704619327494216
PMCB01,Cluster1,0.09666273901197826,0.6608383164862421,0.9320146155282508
PMCB01,Cluster2,-0.3543420842280618,0.097130180755316875,0.9320146155282508
PMCB01,Cluster3,0.16070608663330627,0.46385070899495284,0.9320146155282508
20130700_C1M_6,Cluster1,-0.24226637016783112,0.2540395558121842,0.9320146155282508
20130700_C1M_6,Cluster2,-0.13461145447409198,0.5305812216265382,0.9320146155282508
20130700_C1M_6,Cluster3,-0.13217391304347825,0.5381181783911482,0.9320146155282508
20110800_E2S_4,Cluster1,0.026842327268286455,0.9080526533977058,0.9727576070938009
20110800_E2S_4,Cluster2,0.026816118317592515,0.9081420655597923,0.9727576070938009
20110800_E2S_4,Cluster3,-0.10715994395536398,0.6438417459377257,0.9320146155282508
20110800_E3D_16,Cluster1,-0.050974177196946656,0.862607024949396,0.9518558886425247
20110800_E3D_16,Cluster2,-0.15191090506255,0.6041580389460628,0.9320146155282508
20110800_E3D_16,Cluster3,0.45573271518765,0.10148628239647439,0.9320146155282508
PLLE01,Cluster1,0.1849539642771856,0.4099295721588945,0.9320146155282508
PLLE01,Cluster2,-0.3234861072877072,0.14195755250496322,0.9320146155282508
PLLE01,Cluster3,-0.09998521038223074,0.6579757862522106,0.9320146155282508
20120600_E3D_45,Cluster1,0.2324134349433049,0.35337955561134926,0.9320146155282508
20120600_E3D_45,Cluster2,-0.10313450563236011,0.6838328644793199,0.9320146155282508
20120600_E3D_45,Cluster3,-0.2833270459189125,0.2545788788488912,0.9320146155282508
20130700_E2M_2,Cluster1,0.4501917433612547,0.10624450600627289,0.9320146155282508
20130700_E2M_2,Cluster2,0.44770585056972534,0.10842825168961978,0.9320146155282508
20130700_E2M_2,Cluster3,-0.03440104580768907,0.9070587112630835,0.9727576070938009
20110800_E1D_6,Cluster1,0.17559658559858965,0.4228856382647892,0.9320146155282508
20110800_E1D_6,Cluster2,-0.37061190543472644,0.08170370503812707,0.9320146155282508
20110800_E1D_6,Cluster3,0,1,1
PMJT01,Cluster1,0.4491729286275781,0.05370174907521852,0.9320146155282508
PMJT01,Cluster2,-0.09235469781310587,0.7068868660933405,0.9320146155282508
PMJT01,Cluster3,0.13176156917368245,0.5907854718759737,0.9320146155282508
20120600_E2D_41,Cluster1,-0.07027283689263066,0.7684538289702756,0.9363138741824687
20120600_E2D_41,Cluster2,-0.4108224682288037,0.07196164062053034,0.9320146155282508
20120600_E2D_41,Cluster3,0.19023794624226836,0.42176311368485675,0.9320146155282508
20130700_C1D_19,Cluster1,-0.04380315290513333,0.846524710833735,0.9467234495499761
20130700_C1D_19,Cluster2,-0.4014151379500688,0.06407465262432854,0.9320146155282508
20130700_C1D_19,Cluster3,0.22586858177712,0.3121523204553083,0.9320146155282508
PMDX01,Cluster1,0.48769357598467833,0.09091319154836608,0.9320146155282508
PMDX01,Cluster2,-0.057058719496440716,0.8531132104548378,0.9471089683622427
PMDX01,Cluster3,-0.5128225940683708,0.07312051909506656,0.9320146155282508
20130700_C1D_14,Cluster1,0.29524232455337057,0.2197669316885642,0.9320146155282508
20130700_C1D_14,Cluster2,-0.09841410818445685,0.68854545702863,0.9320146155282508
20130700_C1D_14,Cluster3,0.4146139914483855,0.07756247544000261,0.9320146155282508
20110800_E2D_31,Cluster1,0.29301072852540605,0.19738487473652988,0.9320146155282508
20110800_E2D_31,Cluster2,-0.05629309075914336,0.8084989583447961,0.9375843742205416
20110800_E2D_31,Cluster3,0.11236664374387367,0.6277198733957421,0.9320146155282508
20120600_E2D_38,Cluster1,-0.2755102827840715,0.23971037915798465,0.9320146155282508
20120600_E2D_38,Cluster2,-0.499622213773035,0.024896078673325883,0.8826667224393822
20120600_E2D_38,Cluster3,-0.0022624537329014554,0.9924469681460037,1
20120600_E3D_20,Cluster1,0.2508439235101235,0.26016354716530343,0.9320146155282508
20120600_E3D_20,Cluster2,0.5702422690045093,0.005588686245730834,0.5339344859382843
20120600_E3D_20,Cluster3,0.09103552498170937,0.6870156596167918,0.9320146155282508
20120600_E3D_25,Cluster1,-0.21923401906228102,0.35305405867893924,0.9320146155282508
20120600_E3D_25,Cluster2,0.2193167957384654,0.35286774149455735,0.9320146155282508
20120600_E3D_25,Cluster3,0.29839300500728466,0.20129127736465824,0.9320146155282508
20120600_E1D_41,Cluster1,-0.24512913535922665,0.3785536168219612,0.9320146155282508
20120600_E1D_41,Cluster2,-0.43655442852883897,0.10375040584210415,0.9320146155282508
20120600_E1D_41,Cluster3,-0.06978631577988531,0.8048048844037381,0.937357457191844
20120700_S1X_2,Cluster1,0.014701312748014252,0.9569053075596727,0.9836593768434878
20120700_S1X_2,Cluster2,0.1025290283902278,0.7055445041072972,0.9320146155282508
20120700_S1X_2,Cluster3,0.1316290363428835,0.6270168980751016,0.9320146155282508
20140700_E14_11,Cluster1,-0.1403264046282957,0.6179113351854277,0.9320146155282508
20140700_E14_11,Cluster2,0.01747781724920696,0.9507039518210139,0.9815247781892762
20140700_E14_11,Cluster3,0.1744657894497133,0.5340193533774662,0.9320146155282508
20110800_E3D_9,Cluster1,-0.13233038525276591,0.6126537114093218,0.9320146155282508
20110800_E3D_9,Cluster2,0.07915400347017366,0.7626708222460648,0.9363138741824687
20110800_E3D_9,Cluster3,0.07905694150420949,0.7629540145723359,0.9363138741824687
20120800_E3X_3,Cluster1,-0.034630134104711906,0.9064422473054159,0.9727576070938009
20120800_E3X_3,Cluster2,0.03440104580768907,0.9070587112630835,0.9727576070938009
20120800_E3X_3,Cluster3,0.2408073206538235,0.40692210333453627,0.9320146155282508
20120800_E1D_15,Cluster1,-0.09047690692143873,0.7210643021008782,0.9355438873011992
20120800_E1D_15,Cluster2,-0.12891813204045013,0.61017548718590775,0.9320146155282508
20120800_E1D_15,Cluster3,-0.10302801669778637,0.6841433542597981,0.9320146155282508
20130700_C2X_6,Cluster1,-0.08005800385084882,0.7232223128549966,0.9363138741824687
20130700_C2X_6,Cluster2,-0.19642368235152052,0.38097026999319117,0.9320146155282508
20130700_C2X_6,Cluster3,-0.08897248153652278,0.6937725047505934,0.9320146155282508
20120600_E1D_13,Cluster1,-0.04726499774418475,0.847630012801589,0.9467234495499761
20120600_E1D_13,Cluster2,0.011811042892750437,0.9617247261041073,0.9859365330757749
20120600_E1D_13,Cluster3,-0.2592724864350674,0.2837723639833414,0.9320146155282508
3300036929_5,Cluster1,0.12984780271585192,0.5453568373995641,0.9320146155282508
