cluster,env_variable,rho,pvalue,pval_adj
Cluster1,DepthAvg__,0.2642960156512012,0.21203219468161816,0.6360965840448545
Cluster2,DepthAvg__,-0.12665216410565572,0.5553740286832132,0.9283117143972746
Cluster3,DepthAvg__,-0.15686842665440073,0.4641558571986373,0.9283117143972746
Cluster1,"T, soil (C)",-0.14696916198268759,0.4931555257028917,1
Cluster2,"T, soil (C)",0.14868114348594116,0.4880767288640069,1
Cluster3,"T, soil (C)",0.0844212678301576,0.694909600383774,1
Cluster1,ALD.cm,-0.3057252861729417,0.14626840367508165,0.43880521102524495
Cluster2,ALD.cm,-0.06761953102483706,0.7535651334603009,1
Cluster3,ALD.cm,0.0866388475030604,0.687285150833983,1
Cluster1,CtoN_wt,0.18418531352090295,0.4241554338262741,0.8483108676525482
Cluster2,CtoN_wt,0.4493669574123209,0.04098844375680155,0.12296533127040465
Cluster3,CtoN_wt,-0.17142857142857143,0.45747702762159426,0.8483108676525482
Cluster1,C.percent__,0.2352657040987808,0.2798605747812568,0.5597211495625136
Cluster2,C.percent__,0.45357874427978767,0.02971844031637816,0.08915532094913448
Cluster3,C.percent__,0.14525691699604742,0.5084195727681446,0.5597211495625136
Cluster1,N.percent__,0.05141568822668316,0.824831909592048,0.824831909592048
Cluster2,N.percent__,-0.3073930491284282,0.17526267745977964,0.5257880323793389
Cluster3,N.percent__,0.2025974025974026,0.37845167579960437,0.7569033515992087
Cluster1,Precipitation_3day_accumulation_mm,0.4174319754744138,0.0424020954032287,0.0848041908064574
Cluster2,Precipitation_3day_accumulation_mm,0.5687654238582822,0.003729336012924467,0.0111880080387734
Cluster3,Precipitation_3day_accumulation_mm,-0.02211629342323457,0.9182999081309029,0.9182999081309029
