Microbe,cluster,rho,pvalue,p_adj
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_83.28_6.50,Cluster1,0.07096389498980075,0.759855898228758,0.8486357892869217
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_83.28_6.50,Cluster2,-0.01526388798018103,0.9476419303663826,0.9745951771442978
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.45_83.28_6.50,Cluster3,-0.07011784408671734,0.7626393682787098,0.8503634267933925
20150700_P14_7,Cluster1,0.06896474815101811,0.7664375414858382,0.853551747380572
20150700_P14_7,Cluster2,0.30551915188001155,0.17804422271921982,0.29773329359052414
20150700_P14_7,Cluster3,-0.09750161467231053,0.674154331552099,0.7843327718466198
20150700_P15_3,Cluster1,-0.12315271025694789,0.5948430420139987,0.7199875323832405
20150700_P15_3,Cluster2,0.11466616370613213,0.6206507885524888,0.7406194323324093
20150700_P15_3,Cluster3,-0.04532319114449643,0.8453313784234613,0.9093057716440552
20120500_P23_6,Cluster1,0.0073651672782640695,0.9747232659467726,0.989117731936399
20120500_P23_6,Cluster2,0.41874883755484044,0.05884686272673334,0.12197739153002599
20120500_P23_6,Cluster3,0.06945320497205681,0.7648279826664743,0.8523865677662567
20110700_P1S_10,Cluster1,-0.029181414762161056,0.9000772591126394,0.9455809846607551
20110700_P1S_10,Cluster2,0.46521675974377835,0.033577422293458614,0.07734010918553966
20110700_P1S_10,Cluster3,-0.08863953875113326,0.7024033782118884,0.80244478212973
3300037394_5,Cluster1,0.03548671506799961,0.8786267620410051,0.9305029121010738
3300037394_5,Cluster2,0.33131408027338977,0.14234521748039652,0.24828668102629653
3300037394_5,Cluster3,-0.08881996405080343,0.7018243170762481,0.80244478212973
20110700_P1S_11,Cluster1,0.06783277623778414,0.7701711566759213,0.8554119429096776
20110700_P1S_11,Cluster2,-0.027678039515273273,0.9052021772994627,0.9489418131100673
20110700_P1S_11,Cluster3,-0.1438518675455756,0.53387902512365,0.6660259633587688
20110800_P3S_8,Cluster1,-0.3736120979854481,0.0952532731516178,0.18037153469608092
20110800_P3S_8,Cluster2,-0.04183006535947712,0.8571291265240695,0.9151390503405379
20110800_P3S_8,Cluster3,0.06123810989120483,0.7920175004168164,0.8732893833250279
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88,Cluster1,-0.20481546999952296,0.37314128508918976,0.5221227564085837
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88,Cluster2,-0.008567012230917917,0.970600213821311,0.9876728296331283
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.68_75.40_6.88,Cluster3,0.0965581028730576,0.677142690840427,0.7862033892632481
20120600_P2M_9,Cluster1,-0.16266694884206487,0.4811198871994995,0.6183906841222488
20120600_P2M_9,Cluster2,-0.17002224273667868,0.4612310383669642,0.6021113497993952
20120600_P2M_9,Cluster3,0.10706782835583939,0.6441283876502002,0.759878025410231
PMST01,Cluster1,-0.19757119292558487,0.39064208969231684,0.5373687683086339
PMST01,Cluster2,-0.08303411854581981,0.7204711695104595,0.8165339921118541
PMST01,Cluster3,0.0019705735280215837,0.9932361657498778,0.9967480958454855
20160700_P15_13,Cluster1,0.2671457134196648,0.24172685015900308,0.3751047443203059
20160700_P15_13,Cluster2,0.5254901960784314,0.01442864993973969,0.03835293414553911
20160700_P15_13,Cluster3,-0.004560284779132275,0.9843479413960807,0.9935066949491679
Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45,Cluster1,-0.1112984386814128,0.6310144564304054,0.7491755025122039
Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45,Cluster2,-0.10082714394849548,0.6636593274875522,0.7760862156142936
Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.5_93.42_1.45,Cluster3,0.029558602920323754,0.8987920392122764,0.9448307638788951
PKYA01,Cluster1,-0.06644350297256388,0.7747601247676172,0.8592034762510531
PKYA01,Cluster2,0.43352182928958516,0.04961027872487178,0.10671597255454005
PKYA01,Cluster3,0.02299187472291441,0.9211994431956902,0.9556809542881822
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28,Cluster1,-0.0842970423149162,0.7163874993147608,0.8127145037046938
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28,Cluster2,-0.37035852875199,0.09840235682281961,0.18540989978691735
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.239_79.17_2.28,Cluster3,0.1425381518602279,0.5376601908778376,0.6685534469539923
20170700_S34_32,Cluster1,-0.15104217882770085,0.5134051003216122,0.6472256881752256
20170700_S34_32,Cluster2,-0.3986991835469932,0.07340974421045621,0.14583684542363734
20170700_S34_32,Cluster3,0.21948051948051947,0.33911059151113254,0.48523487905927126
20110800_P3M_18,Cluster1,-0.0935633001042226,0.6866588319299212,0.7924056834530702
20110800_P3M_18,Cluster2,0.1560407210275502,0.4993971662723,0.6359009193785911
20110800_P3M_18,Cluster3,0.2664352541420082,0.2430287387761143,0.3768682552293999
20120500_P31_6,Cluster1,0.1725455084883441,0.4545067769864217,0.5953803553623166
20120500_P31_6,Cluster2,0.18056625779011612,0.43347352929031047,0.5770328662567242
20120500_P31_6,Cluster3,0.07356807837947246,0.7513062981194709,0.8422616865729108
20150700_P21_8,Cluster1,-0.082650615707203,0.7217126847050643,0.817534309178586
20150700_P21_8,Cluster2,-0.2945734205554084,0.19489456162084862,0.31963269357256524
20150700_P21_8,Cluster3,0,1,1
20150700_P15_9,Cluster1,-0.025684255080326034,0.912004437249184,0.951376516719894
20150700_P15_9,Cluster2,0.4046265776756616,0.06884933197737908,0.138037444900426
20150700_P15_9,Cluster3,0.1918024900607675,0.40489945741294253,0.5523119544830438
20110800_P3S_5,Cluster1,-0.13898896029975097,0.5479368643768427,0.6780011825369081
20110800_P3S_5,Cluster2,0.17639385855288284,0.44434982744724993,0.5861198071365578
20110800_P3S_5,Cluster3,0.24479584263808873,0.2848518961380404,0.42578255866302894
20111000_P2M_7,Cluster1,-0.19661852920452574,0.39297707115639224,0.53927817355076
20111000_P2M_7,Cluster2,0.3690702271260318,0.09967014437774058,0.18748851271056402
20111000_P2M_7,Cluster3,0.1095495207385922,0.6364230567717566,0.7527371356833134
20110800_P1S_5,Cluster1,0.012052091909886658,0.9586487337328466,0.9814839619970447
20110800_P1S_5,Cluster2,0.5661484283741443,0.007463767713643321,0.022138623504790997
20110800_P1S_5,Cluster3,-0.03138750609314106,0.8925638006408048,0.9400186490336354
20150700_P13_7,Cluster1,0.22865496595701634,0.3187857097768161,0.4620227731690919
20150700_P13_7,Cluster2,0.22846936576992094,0.31918946402464976,0.462246407532201
20150700_P13_7,Cluster3,0.0567646386790849,0.8069238307996374,0.8841618501979672
20150700_P15_4,Cluster1,-0.11672565904864422,0.6143467569028467,0.7363076574164028
20150700_P15_4,Cluster2,0.3099232907280235,0.1715543308699765,0.28862685799247156
20150700_P15_4,Cluster3,0.14949653550564265,0.5177742904102853,0.6505735430527468
20150700_P15_5,Cluster1,-0.3709994259715638,0.09777608682045891,0.18453514977382385
20150700_P15_5,Cluster2,0.00849673202614379,0.9708412983729773,0.9876728296331283
20150700_P15_5,Cluster3,0.40456240683444894,0.06889753066364546,0.138037444900426
20150700_P15_11,Cluster1,-0.04881563483698571,0.83356769956229,0.9012184241114839
20150700_P15_11,Cluster2,0.37042710296105397,0.09833520755850267,0.18540989978691735
20150700_P15_11,Cluster3,0.02704926437989931,0.9073467225251417,0.9498786001435077
20120600_P3M_9,Cluster1,-0.22273028918363252,0.33182562488637757,0.4763067255772956
20120600_P3M_9,Cluster2,-0.28366013071895424,0.2127325126016173,0.34127088993414384
20120600_P3M_9,Cluster3,0.04690578629964626,0.8399966088597708,0.9045465449596802
20120600_P3M_2,Cluster1,-0.2769432334717308,0.22423288302847988,0.3540317836407663
20120600_P3M_2,Cluster2,0.20261437908496732,0.37841086999897433,0.5262637129778165
20120600_P3M_2,Cluster3,0.3087964264726712,0.17319915353416682,0.291046933265171
20120700_P3D_40,Cluster1,-0.15645384874943713,0.4982478233547969,0.6351474771137254
20120700_P3D_40,Cluster2,0.42857224921139914,0.05257103854125633,0.11223695013775249
20120700_P3D_40,Cluster3,0.11573481827079161,0.6173764493845142,0.7378717480052064
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29,Cluster1,-0.4108812887201917,0.0642722675326941,0.13084202452142732
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29,Cluster2,0.0019672236884115844,0.9932476635510326,0.9967480958454855
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29,Cluster3,0.11634235429956047,0.6155180740150132,0.7370077403696642
20150700_P31_13,Cluster1,-0.29221581409362274,0.19865982271135763,0.32417412330692885
20150700_P31_13,Cluster2,0.1675741656252387,0.4678033809542501,0.6079042223695275
20150700_P31_13,Cluster3,0.2150416518201995,0.3492119851881146,0.4953330649181351
20110700_P1S_2,Cluster1,-0.1670553850842623,0.469202239723431,0.6093744025598493
20110700_P1S_2,Cluster2,-0.4612937194504122,0.03530522321288343,0.08050580428323167
20110700_P1S_2,Cluster3,0.2898335669026217,0.20251372549633406,0.3292057844167681
20110700_P3S_5,Cluster1,-0.3677335859542085,0.10099810095716633,0.18920532399705994
20110700_P3S_5,Cluster2,-0.14444444444444443,0.5321775053297488,0.6650029386402457
20110700_P3S_5,Cluster3,0.09381157259929251,0.6858681731766707,0.792295993152361
20120600_P2M_5,Cluster1,-0.45199225840197566,0.0396802618478409,0.08888066518129949
20120600_P2M_5,Cluster2,0.07124183006535947,0.7589421253473283,0.8483385465713342
20120600_P2M_5,Cluster3,0.12247621978240966,0.5968836617341648,0.7206764898696744
20160700_P15_19,Cluster1,-0.10983517838321784,0.6355384223236102,0.7520813122354204
