Microbe,cluster,rho,pvalue,p_adj
20110700_P1S_10,Cluster1,0.31029212404034223,0.28027683216111887,0.8972423466415718
20110700_P1S_10,Cluster2,0.27704107283769525,0.3376099487193809,0.8972423466415718
20110700_P1S_10,Cluster3,-0.2408073206538235,0.40692210333453627,0.8972423466415718
20160700_P15_13,Cluster1,-0.05034008326636408,0.8478452193025754,0.9139891725814997
20160700_P15_13,Cluster2,-0.17481373850749943,0.5021751469719269,0.8972423466415718
20160700_P15_13,Cluster3,0.4020098527045771,0.10968305390617861,0.8972423466415718
20120500_P31_6,Cluster1,0.01749349945716156,0.9506597698709702,0.9601347841886211
20120500_P31_6,Cluster2,0.545243111966282,0.03554476732081513,0.8972423466415718
20120500_P31_6,Cluster3,-0.24425210522959862,0.38031602770071915,0.8972423466415718
20150700_P15_9,Cluster1,0.11378535386072709,0.6863797325607419,0.8972423466415718
20150700_P15_9,Cluster2,-0.3660902317694538,0.1795926707942357,0.8972423466415718
20150700_P15_9,Cluster3,-0.2723523897009611,0.3260804332468774,0.8972423466415718
20110800_P3S_5,Cluster1,-0.3056992027188027,0.3338931364506603,0.8972423466415718
20110800_P3S_5,Cluster2,0.13217440905703415,0.6821856223045106,0.8972423466415718
20110800_P3S_5,Cluster3,-0.21835657337057335,0.4953667595162976,0.8972423466415718
20110700_P3S_8,Cluster1,0.11189084777289188,0.7291885887914478,0.8972423466415718
20110700_P3S_8,Cluster2,-0.39370290456895796,0.20542531862130176,0.8972423466415718
20110700_P3S_8,Cluster3,0.36237153766973934,0.24703375192959398,0.8972423466415718
20120600_P3M_5,Cluster1,-0.03135736227945324,0.9082214378750897,0.9392524379626856
20120600_P3M_5,Cluster2,0.28305245867509754,0.288105299626368,0.8972423466415718
20120600_P3M_5,Cluster3,0.03131121455425748,0.9083559761875972,0.9392524379626856
20120600_P3M_10,Cluster1,0.306235047481865,0.33300313911565116,0.8972423466415718
20120600_P3M_10,Cluster2,0.39442335418981683,0.2045226185161042,0.8972423466415718
20120600_P3M_10,Cluster3,-0.48038446141526137,0.11393741215192055,0.8972423466415718
20150700_P21_1,Cluster1,-0.07668765422128322,0.7698754908307124,0.8972423466415718
20150700_P21_1,Cluster2,0,1,1
20150700_P21_1,Cluster3,-0.10206207261596575,0.6966992440807771,0.8972423466415718
20120700_P2M_1,Cluster1,-0.02284272199713592,0.9382177796989954,0.953907040229079
20120700_P2M_1,Cluster2,-0.16997890604505717,0.5612670483330167,0.8972423466415718
20120700_P2M_1,Cluster3,0.15937104245349618,0.5862938940091658,0.8972423466415718
20120700_P3D_87,Cluster1,0.27569491457977524,0.3400593369830176,0.8972423466415718
20120700_P3D_87,Cluster2,-0.05140074678605979,0.8614673367180377,0.9221340505714205
20120700_P3D_87,Cluster3,-0.14389838163146937,0.6235768611928809,0.8972423466415718
20120700_P3S_1,Cluster1,0.4337880162138561,0.10621077351772712,0.8972423466415718
20120700_P3S_1,Cluster2,-0.18657909485918683,0.5055306983883119,0.8972423466415718
20120700_P3S_1,Cluster3,-0.43301270189221935,0.10690753957629573,0.8972423466415718
20110800_P1S_2,Cluster1,-0.26978130937338496,0.3964370135066315,0.8972423466415718
