cluster,env_variable,rho,pvalue,pval_adj
Cluster1,DepthAvg__,0.1993002231989694,0.3864240691425336,1
Cluster2,DepthAvg__,0.22070302274716572,0.336359145406004,1
Cluster3,DepthAvg__,-0.13715950150571707,0.5532686274875718,1
Cluster1,"T, soil (C)",0.037495942293854875,0.8718078673746499,1
Cluster2,"T, soil (C)",-0.20163158966243064,0.38077726218938523,1
Cluster3,"T, soil (C)",0.10666680767648647,0.6453768342143062,1
Cluster1,ALD.cm,-0.04064824363782462,0.8611274071619475,1
Cluster2,ALD.cm,-0.5147696308902969,0.016949698010443992,0.050849094031331976
Cluster3,ALD.cm,0.04253642104678724,0.8547410195374101,1
Cluster1,CtoN_wt,-0.0794273526593944,0.7321737211196497,1
Cluster2,CtoN_wt,-0.29055528735614206,0.2013409146195686,0.6040227438587058
Cluster3,CtoN_wt,0.08701298701298701,0.7076308010268806,1
Cluster1,C.percent__,-0.059896036431674474,0.7964824252645759,1
Cluster2,C.percent__,-0.11661299649495388,0.6146909418023825,1
Cluster3,C.percent__,0.17662337662337663,0.4437478469481735,1
Cluster1,N.percent__,0.11783894124057695,0.6109498749589823,1
Cluster2,N.percent__,0.2918582258644656,0.19923515019877902,0.5977054505963371
Cluster3,N.percent__,-0.09090909090909091,0.6951310760397715,1
Cluster1,Precipitation_3day_accumulation_mm,0.38725079558834385,0.08285484375512242,0.16570968751024484
Cluster2,Precipitation_3day_accumulation_mm,0.42729215648119695,0.05335838564976059,0.16007515694928176
Cluster3,Precipitation_3day_accumulation_mm,-0.1289777868177786,0.5773944457448139,0.5773944457448139
