featureid,cluster,sil_width,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
683.2260042,1,0.5868866116329796,4.824951262,Sig. High,683.2260042,46,36,4,0,0,1,0,0,CHOS,NA,684.2333342,-0.2178161,NA,C46H36O4S,0.585365854,0.604651163,29,25,24,76.40869565,682.4631079,0.53689206,-0.565217391,0.086956522,0.782608696,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
675.1998749,1,0.5868119525889328,4.787631177,Sig. High,675.1998749,47,32,3,0,0,1,0,0,CHOS,NA,676.2072049,-0.122238549,NA,C47H32O3S,0.651162791,0.662921348,32,29,28,74.85319149,674.4459407,0.554059312,-0.510638298,0.063829787,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
305.9759119,1,0.5847795832787874,4.641541978,Sig. High,305.9759119,13,8,5,0,0,1,1,0,CHOSP,NA,306.9832419,0.596067367,NA,C13H8O5SP,0.583333333,0.705882353,10.5,5.5,3.5,62.49230769,305.6342565,0.365743537,-0.076923077,0.384615385,0.615384615,0,0.076923077,0,Cond Hydrocarbon,Cond Hydrocarbon,Phytochemical
697.2054029,1,0.5821348309154932,5.404817294,Sig. High,697.2054029,46,34,5,0,0,1,0,0,CHOS,NA,698.2127329,-0.021298668,NA,C46H34O5S,0.6,0.623529412,30,25,24,73.93043478,696.4268971,0.573102881,-0.47826087,0.108695652,0.739130435,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
571.1188654,1,0.5813595712273572,4.515274775,Sig. High,571.1188654,38,20,6,0,0,0,0,0,CHO,NA,572.1261954,0.26827639,NA,C38H20O6,0.71875,0.742857143,29,23,23,66.3,570.481149,0.518851027,-0.210526316,0.157894737,0.526315789,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
809.258368,1,0.5805796617850953,5.49729934,Sig. High,809.258368,52,42,7,0,0,1,0,0,CHOS,NA,810.265698,0.642676823,NA,C52H42O7S,0.545454545,0.578947368,32,25,24,74.55,808.3547429,0.645257123,-0.5,0.134615385,0.807692308,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Lignin,Other
705.2104365,1,0.5798195343718282,4.477304755,Sig. High,705.2104365,48,34,4,0,0,1,0,0,CHOS,NA,706.2177665,-0.094318943,NA,C48H34O4S,0.627906977,0.644444444,32,28,27,74.55,704.4229922,0.577007773,-0.5,0.083333333,0.708333333,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
679.194763,1,0.5768187120010753,4.421792533,Sig. High,679.194763,20,43,22,1,0,0,1,0,CHNOP,NA,680.202093,0.889976763,NA,C20H43O22NP,0,0,0.5,-21.5,-23.5,61.725,678.4363681,0.56363194,-0.05,1.1,2.15,0.05,0.05,1,Other,Carbohydrate,Other
439.0760716,1,0.5762509504494954,4.413380766,Sig. High,439.0760716,25,16,4,2,0,1,0,0,CHNOS,NA,440.0834016,0.615938754,NA,C25H16O4N2S,0.666666667,0.7,19,15,12,60.3,438.5857953,0.414204664,0,0.16,0.64,0.08,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
423.9942955,1,0.5734637699230237,5.784346984,Sig. High,423.9942955,19,7,11,1,0,0,0,0,CHNO,NA,425.0016255,-0.795526969,NA,C19H7O11N,0.714285714,0.84,17,6,5,33.3,423.5208597,0.479140318,0.947368421,0.578947368,0.368421053,0.052631579,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
293.008954,1,0.5699083362942634,5.895681976,Sig. High,293.008954,16,6,6,0,0,0,0,0,CHO,NA,294.016284,-0.705528975,NA,C16H6O6,0.8,0.846153846,14,8,8,49.6125,292.6817776,0.318222416,0.375,0.375,0.375,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
677.2154775,1,0.5665404819955875,5.980647068,Sig. High,677.2154775,47,34,3,0,0,1,0,0,CHOS,NA,678.2228075,-0.163728141,NA,C47H34O3S,0.627906977,0.640449438,31,28,27,76.06595745,676.4592926,0.540707352,-0.553191489,0.063829787,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
695.2261402,1,0.5531244273125784,4.14528018,Sig. High,695.2261402,47,36,4,0,0,1,0,0,CHOS,NA,696.2334702,-0.050917255,NA,C47H36O4S,0.595238095,0.613636364,30,26,25,76.06595745,694.4498445,0.550155519,-0.553191489,0.085106383,0.765957447,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
753.2318114,1,0.5494653327561098,4.11118643,Sig. High,753.2318114,49,38,6,0,0,1,0,0,CHOS,NA,754.2391414,0.237149839,NA,C49H38O6S,0.571428571,0.6,31,25,24,74.25918367,752.390746,0.60925397,-0.489795918,0.12244898,0.775510204,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
659.2048427,1,0.5364753792204963,4.007842255,Sig. High,659.2048427,47,32,2,0,0,1,0,0,CHOS,NA,660.2121727,-0.274396981,NA,C47H32O2S,0.659090909,0.666666667,32,30,29,76.06595745,658.4687687,0.531231316,-0.553191489,0.042553191,0.680851064,0,0,NA,Other,Cond Hydrocarbon,Other
601.1389993,1,0.5296746004981734,3.961118285,Sig. High,601.1389993,29,30,12,0,0,1,0,0,CHOS,NA,602.1463293,0.796081475,NA,C29H30O12S,0.125,0.363636364,15,3,2,64.23103448,600.4677621,0.532237877,-0.137931034,0.413793103,1.034482759,0,0,NA,Lignin,Lignin,Other
217.0293116,1,0.5264106075685807,6.973815916,Sig. High,217.0293116,15,6,2,0,0,0,0,0,CHO,NA,218.0366416,-0.877760167,NA,C15H6O2,0.846153846,0.857142857,13,11,11,64.1,216.7869747,0.213025268,-0.133333333,0.133333333,0.4,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
735.2212041,1,0.5149840133578256,3.872723797,Sig. High,735.2212041,49,36,5,0,0,1,0,0,CHOS,NA,736.2285341,0.185150828,NA,C49H36O5S,0.604651163,0.626373626,32,27,26,74.25918367,734.4002495,0.599750465,-0.489795918,0.102040816,0.734693878,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
693.2103594,1,0.5117936654192532,7.34588719,Sig. High,693.2103594,47,34,4,0,0,1,0,0,CHOS,NA,694.2176894,-0.206998895,NA,C47H34O4S,0.619047619,0.636363636,31,27,26,74.85319149,692.4363145,0.56368548,-0.510638298,0.085106383,0.723404255,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
681.2103842,1,0.5110688761896549,7.36233005,Sig. High,681.2103842,46,34,4,0,0,1,0,0,CHOS,NA,682.2177142,-0.174267968,NA,C46H34O4S,0.609756098,0.627906977,30,26,25,75.16956522,680.4497386,0.550261401,-0.52173913,0.086956522,0.739130435,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
601.1295352,1,0.5028219738873182,7.527912798,Sig. High,601.1295352,39,22,7,0,0,0,0,0,CHO,NA,602.1368652,0.429510355,NA,C39H22O7,0.6875,0.718309859,29,22,22,66.14615385,600.4583086,0.541691409,-0.205128205,0.179487179,0.564102564,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
711.2212522,1,0.46264435437355056,8.336497158,Sig. High,711.2212522,47,36,5,0,0,1,0,0,CHOS,NA,712.2285822,0.258957763,NA,C47H36O5S,0.585365854,0.609195402,30,25,24,74.85319149,710.4270962,0.572903804,-0.510638298,0.106382979,0.765957447,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
525.1191353,1,0.45680980947362515,3.586368902,Sig. High,525.1191353,30,22,9,0,0,0,0,0,CHO,NA,526.1264653,0.055916662,NA,C30H22O9,0.523809524,0.607843137,20,11,11,64.1,524.5327826,0.467217418,-0.133333333,0.3,0.733333333,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
703.1949281,1,0.4337872487878579,3.492962222,Sig. High,703.1949281,48,32,4,0,0,1,0,0,CHOS,NA,704.2022581,0.106510921,NA,C48H32O4S,0.651162791,0.666666667,33,29,28,73.3625,702.4097344,0.590265639,-0.458333333,0.083333333,0.666666667,0,0,NA,Other,Cond Hydrocarbon,Other
381.1398705,1,0.4180699366283578,3.436110636,Sig. High,381.1398705,15,26,11,0,0,0,0,0,CHO,NA,382.1472005,-0.954401085,NA,C15H26O11,0,0,3,-8,-8,67.9,380.7142863,0.285713684,-0.266666667,0.733333333,1.733333333,0,0,NA,Carbohydrate,Carbohydrate,Other
235.9868463,1,0.4151421027774549,3.426349034,Sig. High,235.9868463,6,7,7,1,0,1,0,0,CHNOS,NA,236.9941763,-0.839029747,NA,C6H7O7NS,0,0,4,-3,-5,3.3,235.7233413,0.276658721,2,1.166666667,1.166666667,0.166666667,0,NA,Other,Other,Other
666.2187441,1,0.4132297842031619,3.4203464,Sig. High,666.2187441,34,37,13,1,0,0,0,0,CHNO,NA,667.2260741,-0.703968934,NA,C34H37O13N,0.15,0.358490566,17,4,3,67.00588235,665.4748383,0.525161701,-0.235294118,0.382352941,1.088235294,0.029411765,0,NA,Lignin,Lignin,Other
430.2021956,1,0.41056623138966897,3.41244671,Sig. High,430.2021956,27,29,4,1,0,0,0,0,CHNO,NA,431.2095256,-0.432283679,NA,C27H29O4N,0.409090909,0.458333333,14,10,9,79.3,429.721828,0.278172015,-0.666666667,0.148148148,1.074074074,0.037037037,0,NA,Unsat Hydrocarbon,Lignin,Other
507.0184146,1,0.4071537604068661,9.613090374,Sig. High,507.0184146,28,12,8,0,0,1,0,0,CHOS,NA,508.0257446,0.794573496,NA,C28H12O8S,0.736842105,0.782608696,23,15,14,54.19285714,506.4522733,0.547726691,0.214285714,0.285714286,0.428571429,0,0,NA,Cond Hydrocarbon,Cond Hydrocarbon,Other
517.1409968,2,0.6145075963687316,0.772991814,Insignificant,517.1409968,18,30,17,0,0,0,0,0,CHO,NA,518.1483268,-0.050727036,NA,C18H30O17,0,0,4,-13,-13,53.96666667,516.5635525,0.436447457,0.222222222,0.944444444,1.666666667,0,0,NA,Carbohydrate,Carbohydrate,Carbohydrate
