featureid,cluster,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R2,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R2,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,July_S_3_M_12_so_R1,Aug_S_1_S_12_so_R2,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R2,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
711.2212522,1,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,NA,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,8.3364971584306,NA,8.3364971584306,NA,NA
753.2318114,1,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,NA,4.11118642987488,4.11118642987488,4.11118642987488,NA,NA,NA,NA,NA
735.2212041,1,NA,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,NA,3.8727237965827,3.8727237965827,NA,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,3.8727237965827,NA,NA,NA,NA,3.8727237965827,3.8727237965827,NA,NA,NA,NA
809.258368,1,5.49729933964546,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,NA,5.49729933964546,5.49729933964546,5.49729933964546,5.49729933964546,NA,NA,NA,NA
703.1949281,1,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,NA,NA,NA,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,3.49296222212871,NA,3.49296222212871,NA,NA,3.49296222212871,NA,NA,NA,NA,NA
695.2261402,1,4.14528018013601,NA,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,NA,NA,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,NA,4.14528018013601,4.14528018013601,NA,4.14528018013601,4.14528018013601,4.14528018013601,4.14528018013601,NA,NA,NA,4.14528018013601
697.2054029,1,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,NA,5.40481729446499,5.40481729446499,NA,NA,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,5.40481729446499,NA,NA,NA,5.40481729446499
675.1998749,1,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,NA,4.78763117703956,4.78763117703956,4.78763117703956,NA,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,4.78763117703956,NA,4.78763117703956,NA,NA,4.78763117703956,4.78763117703956,NA,NA,NA,NA
705.2104365,1,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,NA,4.47730475469434,4.47730475469434,4.47730475469434,NA,4.47730475469434,4.47730475469434,NA,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,4.47730475469434,NA,NA,NA,4.47730475469434,4.47730475469434,NA,NA,NA,NA
683.2260042,1,4.82495126248061,NA,NA,4.82495126248061,NA,4.82495126248061,NA,4.82495126248061,NA,NA,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,NA,4.82495126248061,4.82495126248061,4.82495126248061,4.82495126248061,NA,4.82495126248061,NA,4.82495126248061
