featureid,cluster,sil_width,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
376.1842469,1,0.9080919049433147,-0.408252836,Insignificant,376.1842469,18,34,4,0,0,1,1,0,CHOSP,NA,377.1915769,-0.048256443,NA,C18H34O4SP,0,0,2.5,-1.5,-3.5,106.2166667,375.7641962,0.235803791,-1.611111111,0.222222222,1.888888889,0,0.055555556,0,Lipid,Lipid,Lipid
424.2054884,1,0.9080916898464345,-0.407997983,Insignificant,424.2054884,19,38,6,0,0,1,1,0,CHOSP,NA,425.2128184,0.220910632,NA,C19H38O6SP,0,0,1.5,-4.5,-6.5,103.8,423.7318168,0.268183238,-1.526315789,0.315789474,2,0,0.052631579,0,Protein,Protein,Lipid
258.0807294,1,0.9080915190683949,-0.409598695,Insignificant,258.0807294,11,17,4,1,0,1,0,0,CHNOS,NA,259.0880594,0.686215178,NA,C11H17O4NS,0,0,4,0,-2,70.66363636,257.7925542,0.207445848,-0.363636364,0.363636364,1.545454545,0.090909091,0,NA,Protein,Protein,Other
519.2080372,1,0.9080911112661831,-0.4077051,Insignificant,519.2080372,36,28,2,2,0,0,0,0,CHNO,NA,520.2153672,0.452655989,NA,C36H28O2N2,0.625,0.636363636,24,22,20,74.55,518.6282849,0.371715133,-0.5,0.055555556,0.777777778,0.055555556,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
537.1249249,1,0.9080905549208256,-0.410279664,Insignificant,537.1249249,24,26,14,0,0,0,0,0,CHO,NA,538.1322549,-0.100615299,NA,C24H26O14,0,0.294117647,12,-2,-2,57.925,536.5251664,0.47483359,0.083333333,0.583333333,1.083333333,0,0,NA,Lignin,Lignin,Other
483.0779376,1,0.90809033090054,-0.410367701,Insignificant,483.0779376,20,20,14,0,0,0,0,0,CHO,NA,484.0852676,-0.188512229,NA,C20H20O14,0,0.307692308,11,-3,-3,48.9,482.5385285,0.461471541,0.4,0.7,1,0,0,NA,Tannin,Tannin,Other
380.1428046,1,0.908088998901905,-0.407025495,Insignificant,380.1428046,16,30,6,0,0,1,1,0,CHOSP,NA,381.1501346,0.027249153,NA,C16H30O6SP,0,0,2.5,-3.5,-5.5,97.70625,379.7183337,0.281666252,-1.3125,0.375,1.875,0,0.0625,0,Protein,Protein,Lipid
507.2809801,1,0.9080888704326902,-0.410765318,Insignificant,507.2809801,24,44,11,0,0,0,0,0,CHO,NA,508.2883101,-0.207920783,NA,C24H44O11,0,0,3,-8,-8,86.425,506.7145456,0.285454374,-0.916666667,0.458333333,1.833333333,0,0,NA,Protein,Protein,Other
513.0885065,1,0.908086933577319,-0.406538656,Insignificant,513.0885065,21,22,15,0,0,0,0,0,CHO,NA,514.0958365,-0.169364326,NA,C21H22O15,0,0.259259259,11,-4,-4,49.44285714,512.5155873,0.48441271,0.380952381,0.714285714,1.047619048,0,0,NA,Tannin,Tannin,Other
352.1478059,1,0.9080860361848663,-0.406371731,Insignificant,352.1478059,15,30,5,0,0,1,1,0,CHOSP,NA,353.1551359,-0.208741112,NA,C15H30O5SP,0,0,1.5,-3.5,-5.5,104,351.7545945,0.245405486,-1.533333333,0.333333333,2,0,0.066666667,0,Protein,Protein,Lipid
