pathway,SampleID__,genome,subpathway,tpm
galactose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_10,galactose_degradation-all,0.1933226199449493
lactose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_10,lactose_degradation-all,0.18251041383006764
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20100900_E1D_10,propionate_fermentation-succinate_pathway,0.5555367593786894
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_10,sucrose_degradation-all,0.34349804194785377
sulfur_redox,MainAutochamber.201206_E_1_11to14,20100900_E1D_10,sulfur_redox-assimilatory_sulfate_reduction,0.02819330402968773
xylose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_10,xylose_degradation-isomerase_pathway,0.12288056784265602
galactose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_8,galactose_degradation-all,0.3642330548720517
lactose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_8,lactose_degradation-all,1.115272200929635
sucrose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_8,sucrose_degradation-all,1.0471401005082102
xylose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E1D_8,xylose_degradation-isomerase_pathway,0.7938794098719558
acetogenesis,MainAutochamber.201206_E_1_11to14,20100900_E2D_7,acetogenesis-simple,1.4756036245575617
lactose_degradation,MainAutochamber.201206_E_1_11to14,20100900_E2D_7,lactose_degradation-all,1.4061982754668148
propionate_fermentation,MainAutochamber.201206_E_1_11to14,20100900_E2D_7,propionate_fermentation-succinate_pathway,0.922772253439855
sulfur_redox,MainAutochamber.201206_E_1_11to14,20100900_E2D_7,sulfur_redox-dissimilatory_sulfur_oxidation,0.3196157978780209
Wood_Ljungdahl,MainAutochamber.201206_E_1_11to14,20100900_E3D_5,Wood_Ljungdahl-methanogen,5.691871369223545
hydrogenotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20100900_E3D_5,hydrogenotrophic_methanogenesis-all,6.379042977288296
methylotrophic_methanogenesis,MainAutochamber.201206_E_1_11to14,20100900_E3D_5,methylotrophic_methanogenesis-h2_indep,9.41390605487025
acetogenesis,MainAutochamber.201206_E_1_11to14,20110600_S1D_11,acetogenesis-simple,0.30412577243958905
galactose_degradation,MainAutochamber.201206_E_1_11to14,20110600_S1D_11,galactose_degradation-all,0.1435720198857086
lactose_degradation,MainAutochamber.201206_E_1_11to14,20110600_S1D_11,lactose_degradation-all,0.12172465239246807
