Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
456.3561717,16.01161453,Sig. High,456.3561717,27,54,1,0,0,1,1,0,CHOSP,NA,457.3635017,0.327565168,NA,C27H54OSP,0,0,1.5,0.5,-1.5,118.3555556,455.8466003,0.153399678,-2.037037037,0.037037037,2,0,0.037037037,0,Lipid,Lipid;Unsat Hydrocarbon,Lipid
667.2190981,15.53900872,Sig. High,667.2190981,38,36,11,0,0,0,0,0,CHO,NA,668.2264281,0.696558,NA,C38H36O11,0.37037037,0.476923077,21,10,10,70.8,666.4740753,0.525924706,-0.368421053,0.289473684,0.947368421,0,0,NA,Lignin,Lignin,Other
652.415524,12.90466518,Sig. High,652.415524,46,55,2,1,0,0,0,0,CHNO,NA,653.422854,-0.733914776,NA,C46H55O2N,0.395348837,0.409090909,20,18,17,90.03913043,651.687031,0.312969003,-1.043478261,0.043478261,1.195652174,0.02173913,0,NA,Other,Unsat Hydrocarbon,Other
672.368957,12.1845338,Sig. High,672.368957,44,51,5,1,0,0,0,0,CHNO,NA,673.376287,-0.72811397,NA,C44H51O5N,0.368421053,0.407407407,20,15,14,84.91363636,671.6181838,0.381816184,-0.863636364,0.113636364,1.159090909,0.022727273,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
682.3896953,11.89310468,Sig. High,682.3896953,46,53,4,1,0,0,0,0,CHNO,NA,683.3970253,-0.713328669,NA,C46H53O4N,0.390243902,0.418604651,21,17,16,86.32173913,681.6277329,0.37226713,-0.913043478,0.086956522,1.152173913,0.02173913,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
686.3846625,10.87661671,Sig. High,686.3846625,45,53,5,1,0,0,0,0,CHNO,NA,687.3919925,-0.632621217,NA,C45H53O5N,0.358974359,0.397590361,20,15,14,85.63333333,685.6182393,0.381760746,-0.888888889,0.111111111,1.177777778,0.022222222,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
698.3848995,8.968398077,Sig. High,698.3848995,46,53,5,1,0,0,0,0,CHNO,NA,699.3922295,-0.282901283,NA,C46H53O5N,0.375,0.411764706,21,16,15,85.0826087,697.6050767,0.394923318,-0.869565217,0.108695652,1.152173913,0.02173913,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
712.4003295,12.36232895,Sig. High,712.4003295,47,55,5,1,0,0,0,0,CHNO,NA,713.4076595,-0.585812026,NA,C47H55O5N,0.365853659,0.402298851,21,16,15,85.76808511,711.6048569,0.395143072,-0.893617021,0.106382979,1.170212766,0.021276596,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
714.416184,8.158686899,Sig. High,714.416184,47,57,5,1,0,0,0,0,CHNO,NA,715.423514,-0.298406396,NA,C47H57O5N,0.341463415,0.379310345,20,15,14,86.98085106,713.6184605,0.381539493,-0.936170213,0.106382979,1.212765957,0.021276596,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
586.295877,10.67425026,Sig. High,586.295877,39,41,4,1,0,0,0,0,CHNO,NA,587.303207,-0.690193332,NA,C39H41O4N,0.441176471,0.472222222,20,16,15,82.22307692,585.6412138,0.358786214,-0.769230769,0.102564103,1.051282051,0.025641026,0,NA,Unsat Hydrocarbon,Unsat Hydrocarbon,Other
749.2369849,-0.282059459,Insignificant,749.2369849,50,38,5,0,0,1,0,0,CHOS,NA,750.2443149,0.355925224,NA,C50H38O5S,0.590909091,0.612903226,32,27,26,75.12,748.4003802,0.599619811,-0.52,0.1,0.76,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
779.247554,0.049479802,Insignificant,779.247554,51,40,6,0,0,1,0,0,CHOS,NA,780.254884,0.347886464,NA,C51H40O6S,0.568181818,0.595744681,32,26,25,74.82941176,778.3774392,0.62256078,-0.509803922,0.117647059,0.784313725,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
765.2319801,0.044444449,Insignificant,765.2319801,50,38,6,0,0,1,0,0,CHOS,NA,766.2393101,0.423261441,NA,C50H38O6S,0.581395349,0.608695652,32,26,25,73.98,764.3775152,0.622484765,-0.48,0.12,0.76,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
783.2425561,0.287610266,Insignificant,783.2425561,50,40,7,0,0,1,0,0,CHOS,NA,784.2498861,0.457642283,NA,C50H40O7S,0.547619048,0.582417582,31,24,23,73.98,782.3679805,0.632019535,-0.48,0.14,0.8,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Lignin,Other
763.2527908,0.276681775,Insignificant,763.2527908,51,40,5,0,0,1,0,0,CHOS,NA,764.2601208,0.553255996,NA,C51H40O5S,0.577777778,0.6,32,27,26,75.94705882,762.4005359,0.599464085,-0.549019608,0.098039216,0.784313725,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
767.2476586,0.898697248,Insignificant,767.2476586,50,40,6,0,0,1,0,0,CHOS,NA,768.2549886,0.437142283,NA,C50H40O6S,0.558139535,0.586956522,31,25,24,75.12,766.390943,0.60905699,-0.52,0.12,0.8,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Unsat Hydrocarbon,Other
733.205157,0.503337499,Insignificant,733.205157,49,34,5,0,0,1,0,0,CHOS,NA,734.212487,-0.355136873,NA,C49H34O5S,0.627906977,0.648351648,33,28,27,73.09591837,732.3864536,0.613546428,-0.448979592,0.102040816,0.693877551,0,0,NA,Other,Cond Hydrocarbon,Other
