,June_S_1_S_12_so_R1,June_S_1_M_12_so_R1,June_S_1_D_12_so_R1,June_S_2_S_12_so_R1,June_S_2_M_12_so_R1,June_S_2_D_12_so_R1,June_S_3_S_12_so_R1,June_S_3_M_12_so_R1,June_S_3_D_12_so_R1,July_S_1_S_12_so_R1,July_S_1_M_12_so_R1,July_S_1_D_12_so_R1,July_S_2_S_12_so_R1,July_S_2_M_12_so_R1,July_S_2_D_12_so_R1,July_S_3_S_12_so_R1,Aug_S_1_S_12_so_R1,Aug_S_1_M_12_so_R1,Aug_S_1_D_12_so_R1,Aug_S_2_M_12_so_R1,Aug_S_2_D_12_so_R1,Aug_S_3_S_12_so_R1
PMCB01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.49575692152954,NA,NA,NA,NA,NA,NA,3.49575692152954,NA,NA,NA
20110800_E2S_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80524377823477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20170700_S25_25,NA,NA,1.59362574747574,NA,1.59362574747574,1.59362574747574,NA,NA,NA,NA,NA,1.59362574747574,NA,NA,1.59362574747574,NA,1.59362574747574,1.59362574747574,1.59362574747574,NA,NA,NA
20140700_E22_12,NA,NA,0.0807169959822244,0.0807169959822243,0.0807169959822244,0.0807169959822243,NA,0.0807169959822245,0.0807169959822244,0.0807169959822243,NA,0.0807169959822241,NA,NA,0.0807169959822245,NA,0.0807169959822242,0.0807169959822243,0.0807169959822243,0.0807169959822243,NA,NA
20150700_S23_3,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,NA,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,2.76639584050224,NA
20130700_C2X_13,NA,0.225590737869628,0.225590737869628,NA,0.225590737869628,0.225590737869628,0.225590737869628,0.225590737869628,0.225590737869628,NA,NA,0.225590737869628,NA,0.225590737869628,0.225590737869628,NA,0.225590737869628,0.225590737869628,0.225590737869628,0.225590737869628,0.225590737869628,NA
20110800_E2D_15,NA,NA,-0.316836979479419,NA,NA,-0.316836979479419,NA,NA,NA,NA,NA,-0.316836979479419,NA,NA,-0.316836979479419,NA,NA,NA,-0.316836979479419,NA,NA,NA
PLNE01,NA,NA,-0.240188619145701,NA,NA,-0.240188619145701,NA,NA,NA,NA,NA,-0.240188619145701,NA,NA,-0.240188619145701,NA,NA,NA,-0.240188619145701,NA,NA,NA
20120500_P26_8,NA,NA,-0.257787393947322,NA,NA,-0.257787393947322,NA,NA,NA,NA,NA,-0.257787393947322,NA,NA,-0.257787393947322,NA,NA,NA,-0.257787393947322,NA,NA,NA
20170700_E11_1,NA,NA,NA,2.48621466834899,2.48621466834899,NA,NA,NA,NA,2.48621466834899,2.48621466834899,2.48621466834899,NA,NA,NA,NA,2.48621466834899,NA,NA,NA,NA,NA
3300037134_11,2.88095795579753,2.88095795579753,NA,2.88095795579753,2.88095795579753,NA,NA,2.88095795579753,NA,2.88095795579753,2.88095795579753,2.88095795579753,2.88095795579753,2.88095795579753,NA,NA,2.88095795579753,NA,NA,2.88095795579753,2.88095795579753,NA
PLTT01,NA,NA,NA,NA,1.55361368831026,1.55361368831025,NA,NA,NA,1.55361368831026,NA,1.55361368831026,NA,NA,NA,NA,1.55361368831026,1.55361368831025,1.55361368831026,NA,1.55361368831026,NA
PLSR01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95821906953049,NA,NA,NA,NA,NA,4.95821906953049,4.95821906953049,NA,4.95821906953049,NA
20120700_S3D_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63532789533621,NA,NA,NA,NA,NA,NA,4.63532789533621,NA,NA,NA
20170700_S33_33,NA,NA,NA,NA,NA,1.77123288740687,NA,NA,NA,NA,NA,1.77123288740687,NA,NA,NA,NA,1.77123288740687,1.77123288740687,1.77123288740687,NA,NA,NA
20110800_E2D_31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991727876136203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLTW01,NA,NA,2.02192892373484,NA,2.02192892373484,2.02192892373484,NA,2.02192892373484,2.02192892373484,NA,NA,2.02192892373484,NA,NA,2.02192892373484,NA,2.02192892373484,2.02192892373484,2.02192892373484,NA,NA,NA
20140700_S33_2,NA,NA,NA,NA,NA,NA,NA,-0.00581413834201773,-0.00581413834201771,NA,NA,NA,NA,NA,-0.00581413834201762,NA,NA,NA,NA,NA,NA,NA
20111000_S1D_3,1.06589974626504,1.06589974626504,NA,1.06589974626504,1.06589974626504,1.06589974626504,NA,1.06589974626504,1.06589974626504,1.06589974626504,1.06589974626504,1.06589974626504,1.06589974626504,1.06589974626504,1.06589974626504,NA,1.06589974626504,1.06589974626504,1.06589974626504,NA,1.06589974626504,NA
20150700_P14_7,NA,NA,NA,0.61775434217571,NA,NA,0.61775434217571,NA,NA,NA,NA,NA,NA,NA,NA,0.61775434217571,NA,NA,NA,NA,NA,0.61775434217571
20120600_E2D_21,NA,NA,NA,0.437812700456429,NA,NA,0.437812700456429,NA,NA,NA,NA,NA,NA,NA,NA,0.437812700456429,NA,NA,NA,NA,NA,NA
20110800_S3D_3,NA,NA,0.491255280821426,NA,NA,NA,NA,0.491255280821426,0.491255280821426,NA,NA,NA,NA,NA,0.491255280821426,NA,NA,NA,NA,NA,NA,NA
20140700_S31_9,NA,NA,NA,NA,NA,NA,0.418844827214005,NA,NA,NA,NA,NA,NA,NA,NA,0.418844827214005,NA,NA,NA,NA,NA,0.418844827214005
