,June_P_1_S_12_so_R1,June_P_1_D_12_so_R2,June_P_1_D_12_so_R1,June_P_2_S_12_so_R1,June_P_2_M_12_so_R1,June_P_2_M_12_so_R2,June_P_2_D_12_so_R2,June_P_2_D_12_so_R1,June_P_3_D_12_so_R1,July_P_1_S_12_so_R1,July_P_1_M_12_so_R1,July_P_1_D_12_so_R1,July_P_2_S_12_so_R2,July_P_2_S_12_so_R1,July_P_2_M_12_so_R1,July_P_2_D_12_so_R1,July_P_3_S_12_so_R1,July_P_3_M_12_so_R2,July_P_3_M_12_so_R1,Aug_P_1_S_12_so_R1,Aug_P_1_M_12_so_R1,Aug_P_1_D_12_so_R1,Aug_P_2_S_12_so_R1,Aug_P_2_M_12_so_R1,Aug_P_2_D_12_so_R2,Aug_P_2_D_12_so_R1,Aug_P_3_S_12_so_R1,Aug_P_3_M_12_so_R2,Aug_P_3_M_12_so_R1
456.3561717,16.0116145251372,NA,NA,NA,16.0116145251372,NA,NA,NA,NA,16.0116145251372,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0116145251372,NA,NA,NA,NA,NA,NA,16.0116145251372,NA,NA
667.2190981,15.5390087167873,NA,NA,NA,NA,15.5390087167873,NA,15.5390087167873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
652.415524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9046651783411,NA,NA,NA,NA,NA,NA,NA,NA,NA
672.368957,12.1845338000158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1845338000158,NA,NA,NA,NA,NA,NA,NA,NA,NA
682.3896953,11.8931046800268,NA,NA,11.8931046800268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8931046800268,NA,NA,NA,NA,11.8931046800268,NA,NA,NA,NA
686.3846625,10.8766167082206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8766167082206,NA,NA,NA,NA,NA,NA,NA,NA,NA
698.3848995,8.96839807735788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96839807735788,NA,NA,NA,NA,NA,NA,NA,NA,NA
712.4003295,NA,NA,NA,12.3623289497446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3623289497446,NA,NA,NA,NA,NA,NA,NA,NA,NA
714.416184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.15868689929291,NA,NA,NA,NA,NA,NA,NA,NA,NA
586.295877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6742502592943,NA,NA,NA,NA,NA,NA,NA,NA,NA
749.2369849,NA,-0.28205945887048,NA,NA,-0.28205945887048,NA,NA,NA,NA,-0.28205945887048,NA,NA,NA,-0.28205945887048,NA,NA,-0.28205945887048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779.247554,NA,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,NA,0.0494798023189514,0.0494798023189514,0.0494798023189514,NA,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,0.0494798023189514,NA,NA,0.0494798023189514,NA,NA,0.0494798023189514,NA,0.0494798023189514
765.2319801,NA,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,NA,0.0444444493692944,0.0444444493692944,0.0444444493692944,NA,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,0.0444444493692944,NA,0.0444444493692944,0.0444444493692944,NA,0.0444444493692944,NA,0.0444444493692944
783.2425561,NA,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,NA,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,NA,0.287610265831919,0.287610265831919,NA,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919,0.287610265831919
763.2527908,NA,0.276681774873281,0.276681774873281,0.276681774873281,0.276681774873281,NA,NA,0.276681774873281,NA,0.276681774873281,NA,NA,0.276681774873281,0.276681774873281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
767.2476586,NA,0.898697247753046,NA,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,NA,0.898697247753046,0.898697247753046,0.898697247753046,NA,0.898697247753046,0.898697247753046,NA,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046,0.898697247753046
733.205157,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.503337499394158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
751.2162037,NA,0.732149786275744,0.732149786275744,0.732149786275744,0.732149786275744,0.732149786275744,0.732149786275744,0.732149786275744,0.732149786275744,0.732149786275744,NA,NA,NA,NA,NA,NA,0.732149786275744,0.732149786275744,0.732149786275744,NA,0.732149786275744,NA,NA,0.732149786275744,0.732149786275744,NA,0.732149786275744,NA,0.732149786275744
741.2319149,NA,0.364529946639863,NA,NA,0.364529946639863,0.364529946639863,NA,0.364529946639863,NA,0.364529946639863,NA,NA,0.364529946639863,0.364529946639863,NA,NA,0.364529946639863,NA,0.364529946639863,NA,0.364529946639863,NA,NA,0.364529946639863,NA,NA,NA,NA,NA
711.2212522,-13.7887714262327,-13.5688730558635,-13.0712239873533,-13.622104963446,-13.2180757173703,-13.406911440166,-13.452709506516,-13.2152070984705,-13.7540467241301,-13.1376199651311,-13.5167956521967,-13.7896058777028,-13.0883994623914,-12.987614732381,-13.6917533668369,-13.9664610755549,-13.0621556075793,-13.2823462450312,-12.7913182609917,-13.0466808238966,-13.1330268506225,-13.6946239025028,-12.8448934057307,-13.0798327355798,-13.9379661468055,-13.3452073550766,-12.6427999831947,-13.3062523080626,-13.2277180029807
753.2318114,NA,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,NA,-0.414936167136326,-0.414936167136326,NA,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326,-0.414936167136326
735.2212041,NA,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,NA,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854,0.444703854610854
737.2368098,NA,0.0208899121676328,NA,0.0208899121676328,0.0208899121676328,0.0208899121676328,0.0208899121676328,0.0208899121676328,NA,0.0208899121676328,NA,NA,NA,NA,NA,NA,0.0208899121676328,0.0208899121676328,0.0208899121676328,NA,0.0208899121676328,NA,NA,NA,NA,NA,0.0208899121676328,NA,0.0208899121676328
777.268632,0.859688880403782,0.859688880403782,0.859688880403782,0.859688880403782,0.859688880403782,NA,0.859688880403782,0.859688880403782,NA,0.859688880403782,NA,NA,0.859688880403782,0.859688880403782,NA,NA,0.859688880403782,0.859688880403782,0.859688880403782,0.859688880403782,0.859688880403782,NA,0.859688880403782,NA,0.859688880403782,NA,NA,NA,NA
785.2584383,NA,0.55729849220704,NA,0.55729849220704,0.55729849220704,0.55729849220704,0.55729849220704,0.55729849220704,NA,0.55729849220704,NA,NA,NA,NA,NA,NA,NA,0.55729849220704,0.55729849220704,NA,NA,NA,0.55729849220704,NA,NA,NA,NA,0.55729849220704,0.55729849220704
799.237696,NA,NA,NA,0.389103679135302,0.389103679135302,0.389103679135302,NA,0.389103679135302,NA,0.389103679135302,NA,NA,NA,NA,NA,NA,NA,NA,0.389103679135302,NA,NA,NA,NA,NA,NA,NA,0.389103679135302,NA,NA
797.2585438,NA,1.13706683510184,NA,1.13706683510184,1.13706683510184,1.13706683510184,1.13706683510184,1.13706683510184,NA,1.13706683510184,NA,NA,NA,1.13706683510184,1.13706683510184,NA,NA,1.13706683510184,1.13706683510184,NA,1.13706683510184,1.13706683510184,NA,NA,NA,1.13706683510184,1.13706683510184,1.13706683510184,1.13706683510184
811.2742138,NA,NA,NA,NA,0.593584834565193,0.593584834565193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593584834565193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
809.258368,NA,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,NA,1.04129619884775,1.04129619884775,1.04129619884775,NA,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775,1.04129619884775
795.2428323,NA,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,NA,NA,0.685670745302808,0.685670745302808,NA,NA,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,0.685670745302808,NA,NA,0.685670745302808,0.685670745302808
813.2535427,NA,0.586187428845148,0.586187428845148,0.586187428845148,0.586187428845148,0.586187428845148,0.586187428845148,0.586187428845148,0.586187428845148,0.586187428845148,0.586187428845148,NA,0.586187428845148,0.586187428845148,NA,NA,0.586187428845148,0.586187428845148,0.586187428845148,NA,0.586187428845148,0.586187428845148,NA,NA,0.586187428845148,NA,0.586187428845148,NA,0.586187428845148
675.2724953,NA,1.93724041895476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645.26181,NA,NA,NA,NA,1.74089923653709,NA,NA,1.74089923653709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74089923653709
659.277769,1.97493164820663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703.1949281,NA,NA,NA,1.2280141894126,NA,1.2280141894126,1.2280141894126,NA,NA,1.2280141894126,NA,NA,1.2280141894126,1.2280141894126,NA,NA,NA,NA,NA,NA,NA,1.2280141894126,NA,NA,NA,NA,NA,NA,NA
