Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
302.1472934,16.3575191,Sig. High,302.1472934,15,28,2,0,0,1,1,0,CHOSP,NA,303.1546234,-0.634372354,NA,C15H28O2SP,0,0,2.5,0.5,-1.5,111.6,301.809913,0.190086967,-1.8,0.133333333,1.866666667,0,0.066666667,0,Lipid,Lipid,Lipid
667.2190981,15.78038101,Sig. High,667.2190981,38,36,11,0,0,0,0,0,CHO,NA,668.2264281,0.696558,NA,C38H36O11,0.37037037,0.476923077,21,10,10,70.8,666.4740753,0.525924706,-0.368421053,0.289473684,0.947368421,0,0,NA,Lignin,Lignin,Other
595.310199,14.94539378,Sig. High,595.310199,31,51,6,1,0,1,1,0,CHNOSP,NA,596.317529,0.008523983,NA,C31H51O6NSP,0,0.06,7.5,1.5,-1.5,96.15483871,594.6454703,0.354529686,-1.258064516,0.193548387,1.64516129,0.032258065,0.032258065,1,Lipid,Lipid,Lipid
749.2369849,2.387405433,Sig. High,749.2369849,50,38,5,0,0,1,0,0,CHOS,NA,750.2443149,0.355925224,NA,C50H38O5S,0.590909091,0.612903226,32,27,26,75.12,748.4003802,0.599619811,-0.52,0.1,0.76,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
779.247554,2.033053553,Sig. High,779.247554,51,40,6,0,0,1,0,0,CHOS,NA,780.254884,0.347886464,NA,C51H40O6S,0.568181818,0.595744681,32,26,25,74.82941176,778.3774392,0.62256078,-0.509803922,0.117647059,0.784313725,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
765.2319801,3.748777781,Sig. High,765.2319801,50,38,6,0,0,1,0,0,CHOS,NA,766.2393101,0.423261441,NA,C50H38O6S,0.581395349,0.608695652,32,26,25,73.98,764.3775152,0.622484765,-0.48,0.12,0.76,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
783.2425561,4.269800478,Sig. High,783.2425561,50,40,7,0,0,1,0,0,CHOS,NA,784.2498861,0.457642283,NA,C50H40O7S,0.547619048,0.582417582,31,24,23,73.98,782.3679805,0.632019535,-0.48,0.14,0.8,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Lignin,Other
763.2527908,2.221001038,Sig. High,763.2527908,51,40,5,0,0,1,0,0,CHOS,NA,764.2601208,0.553255996,NA,C51H40O5S,0.577777778,0.6,32,27,26,75.94705882,762.4005359,0.599464085,-0.549019608,0.098039216,0.784313725,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
767.2476586,3.634113134,Sig. High,767.2476586,50,40,6,0,0,1,0,0,CHOS,NA,768.2549886,0.437142283,NA,C50H40O6S,0.558139535,0.586956522,31,25,24,75.12,766.390943,0.60905699,-0.52,0.12,0.8,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Unsat Hydrocarbon,Other
751.2162037,2.694170672,Sig. High,751.2162037,49,36,6,0,0,1,0,0,CHOS,NA,752.2235337,0.294161759,NA,C49H36O6S,0.595238095,0.622222222,32,26,25,73.09591837,750.377389,0.622611024,-0.448979592,0.12244898,0.734693878,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
