Member,Value,Direction,Domain,Phylum,Class,Order,Family,Genus,Species
20100900_E1D_10,-0.673287342,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__Bog-209 sp003162255
20110600_P1M_18,-0.547935064,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20110600_P3S_13,0.471257895,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Palsa-465,s__
20110600_P3S_4,1.422122717,High,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7541,f__UBA7541,g__UBA7541,s__UBA7541 sp003161195
20110600_P3S_5,0.537612405,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Palsa-513,s__
20110600_S1D_11,-0.49565518,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003134375
20110600_S1D_15,-0.427820459,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165005
20110600_S1D_17,-0.371522943,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003162875
20110600_S1M_11,-0.679053633,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20110600_S1S_4,0.841332511,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-105,s__Bog-105 sp003169195
20110600_S3M_2,-0.339558077,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
20110700_P1D_2,-0.579855962,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20110700_P1S_2,-0.55298827,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20110700_P2D_11,-0.737682283,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003167305
20110700_P2D_26,-0.40962244,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-473,s__
20110700_P2D_9,-0.462153141,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__PALSA-129,s__PALSA-129 sp003167255
20110700_P2S_4,0.652920683,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7541,f__UBA7541,g__Palsa-295,s__Palsa-295 sp003131985
20110700_S2D_14,-0.140943534,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__,s__
20110700_S2D_6,0.850988736,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Palsa-1439,f__Palsa-1439,g__Palsa-1439,s__Palsa-1439 sp003164675
20110700_S3M_11,-0.63496022,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003139795
20110700_S3M_12,-0.110332414,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
20110700_S3M_15,-0.183723819,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Sulfotelmatobacter,s__Sulfotelmatobacter sp003165855
20110700_S3M_18,-0.169834525,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Bog-532,s__Bog-532 sp003164955
20110800_E2D_15,-0.316836979,Insignificant,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003170875
20110800_E2D_31,0.991727876,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__UBA2241,f__UBA2241,g__Bog-752,s__Bog-752 sp003132645
20110800_E2S_1,2.805243778,Sig. High,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20110800_E3D_18,-0.424038918,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__PALSA-129,s__
20110800_E3D_19,0.451371303,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7540,f__UBA7540,g__,s__
20110800_E3D_9,-0.750677439,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003170375
20110800_E3M_2,2.979808532,Sig. High,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__RBG-16-71-46,f__RBG-16-71-46,g__WS-2,s__
20110800_E3M_6,-0.370694707,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__FEN-335,s__FEN-335 sp003154055
20110800_P2D_9,0.306438627,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,s__
20110800_P3S_8,-0.199880804,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-504,s__Palsa-504 sp003140115
20110800_S1D_14,-0.617373145,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__Bog-159 sp003166475
20110800_S1D_5,-0.716715002,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003166375
20110800_S1M_17,-0.513169586,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__Bog-756 sp003138855
