EMERGE_sampleID,SampleID_old__,SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,Repetition,DepthMin,DepthMax,DepthAvg,T_soil,C_percent,N_percent,d13C_peat,d15N_peat,pH_porewater,CH4.mM__,CO2.mM__
MainAutochamber.201206_S_1_1to4,201206_S1_01-04,June_S_1_S_12_so_R1,June,Bog,1,S,2012,solid,1,1,4,2.5,9.5,43.428,0.532,-25.53228,-0.083315,NA,NA,NA
MainAutochamber.201206_S_1_4to7,201206_S1_04-07,June_S_1_M_12_so_R1,June,Bog,1,M,2012,solid,1,4,7,5.5,4.4,44.336,0.651,-24.63115,0.4337825,4.1,0.029361973,0.932065368
MainAutochamber.201206_S_1_14to17,201206_S1_14-17,June_S_1_D_12_so_R1,June,Bog,1,D,2012,solid,1,14,17,15.5,0.9,43.328,0.501,-24.89596,-0.07819985,4.2,0.191721306,2.390255061
NA,NA,June_S_2_S_12_so_R2,June,Bog,2,S,2012,solid,2,1,4,2.5,9.6,45.28,0.479,-24.84358,-0.75141145,NA,NA,NA
MainAutochamber.201206_S_2_1to4,201206_S2_01-04,June_S_2_S_12_so_R1,June,Bog,2,S,2012,solid,1,1,4,2.5,9.6,45.28,0.479,-24.84358,-0.75141145,4.1,0.0320661,0.512559484
MainAutochamber.201206_S_2_10to13,201206_S2_10-13,June_S_2_M_12_so_R1,June,Bog,2,M,2012,solid,1,10,13,11.5,4.3,40.301,0.875,-23.70383,-0.33990875,3.9,0.142792367,1.716521822
MainAutochamber.201206_S_2_17to20,201206_S2_17-20,June_S_2_D_12_so_R1,June,Bog,2,D,2012,solid,1,17,20,18.5,1.5,51.142,1.233,-23.7491452,0.74756,4,0.427309102,2.712577179
MainAutochamber.201206_S_3_1to4,201206_S3_01-04,June_S_3_S_12_so_R1,June,Bog,3,S,2012,solid,1,1,4,2.5,7,41.053,0.901,-27.49265,-0.4068675,4,0.003939841,0.568403411
MainAutochamber.201206_S_3_9to12,201206_S3_09-12,June_S_3_M_12_so_R1,June,Bog,3,M,2012,solid,1,9,12,10.5,3.5,43.96,0.799,-26.03959,-0.4440125,4,0.009312904,0.984570405
MainAutochamber.201206_S_3_16to19,201206_S3_16-19,June_S_3_D_12_so_R1,June,Bog,3,D,2012,solid,1,16,19,17.5,0.9,44.697,0.761,-26.40043,0.2676075,4,0.250941734,2.016720598
MainAutochamber.201207_S_1_1to4,201207_S1_01-04,July_S_1_S_12_so_R1,July,Bog,1,S,2012,solid,1,1,4,2.5,10.7,44.424,0.454,-25.21315,-0.4878281,4,0.030259624,0.663058746
MainAutochamber.201207_S_1_5to8,201207_S1_05-08,July_S_1_M_12_so_R1,July,Bog,1,M,2012,solid,1,5,8,6.5,9.5,41.864,0.549,-25.06086,-1.04708175,4.2,0.095219231,1.785909135
MainAutochamber.201207_S_1_11to14,201207_S1_11-14,July_S_1_D_12_so_R1,July,Bog,1,D,2012,solid,1,11,14,12.5,9.3,42.116,0.884,-24.37313,-0.09634005,4.3,0.144318506,2.276787021
MainAutochamber.201207_S_2_1to4,201207_S2_01-04,July_S_2_S_12_so_R1,July,Bog,2,S,2012,solid,1,1,4,2.5,11.1,42.067,0.439,-25.81649,-1.5740041,4,0.007077184,0.605225927
NA,NA,July_S_2_M_12_so_R2,July,Bog,2,M,2012,solid,2,5,8,6.5,9.8,43.941,0.827,-25.04049,-0.617792,NA,NA,NA
MainAutochamber.201207_S_2_5to8,201207_S2_05-08,July_S_2_M_12_so_R1,July,Bog,2,M,2012,solid,1,5,8,6.5,9.8,43.941,0.827,-25.04049,-0.617792,4.1,0.0506603,1.998615589
MainAutochamber.201207_S_2_11to14,201207_S2_11-14,July_S_2_D_12_so_R1,July,Bog,2,D,2012,solid,1,11,14,12.5,8.1,41.795,0.941,-24.27516,-0.3191965,4.1,0.108595351,2.539136521
MainAutochamber.201207_S_3_1to4,201207_S3_01-04,July_S_3_S_12_so_R1,July,Bog,3,S,2012,solid,1,1,4,2.5,11.8,42.586,0.566,-25.95714,-1.1785866,4,0,0.318783152
NA,NA,July_S_3_M_12_so_R1,July,Bog,3,M,2012,solid,1,5,8,6.5,10.2,44.128,0.549,-25.78492653,-0.57418996,NA,NA,NA
NA,NA,Aug_S_1_S_12_so_R2,August,Bog,1,S,2012,solid,2,1,4,2.5,10.9,44.95,0.539,-25.3469932,-1.1511143,NA,NA,NA
MainAutochamber.201208_S_1_1to4,201208_S1_01-04,Aug_S_1_S_12_so_R1,August,Bog,1,S,2012,solid,1,1,4,2.5,10.9,44.95,0.539,-25.3469932,-1.1511143,NA,NA,NA
MainAutochamber.201208_S_1_11to14,201208_S1_11-14,Aug_S_1_M_12_so_R1,August,Bog,1,M,2012,solid,1,11,14,12.5,9.1,47.652,1.168,-24.5261939,0.498839,4.2,0.037442,1.135941523
MainAutochamber.201208_S_1_16to19,201208_S1_16-19,Aug_S_1_D_12_so_R1,August,Bog,1,D,2012,solid,1,16,19,17.5,9.2,42.017,0.789,-23.0605488,-0.3647178,3.8,0.13715186,2.520231988
MainAutochamber.201208_S_2_10to13,201208_S2_10-13,Aug_S_2_M_12_so_R1,August,Bog,2,M,2012,solid,1,10,13,11.5,9.2,43.651,0.666,-23.8528151,-0.2037915,4.4,0.110012042,2.905816769
NA,NA,Aug_S_2_D_12_so_R2,August,Bog,2,D,2012,solid,2,15,18,16.5,9,44.239,0.641,-25.0968539,-0.7236398,NA,NA,NA
MainAutochamber.201208_S_2_15to18,201208_S2_15-18,Aug_S_2_D_12_so_R1,August,Bog,2,D,2012,solid,1,15,18,16.5,9,44.239,0.641,-25.0968539,-0.7236398,4.4,0.13956899,3.430953752
MainAutochamber.201208_S_3_1to4,201208_S3_01-04,Aug_S_3_S_12_so_R1,August,Bog,3,S,2012,solid,1,1,4,2.5,13.5,45.2,0.285,-26.2362717,-1.42479625,NA,NA,NA
