Member,Value,Direction,Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
456.3561717,15.73519886,Sig. High,456.3561717,27,54,1,0,0,1,1,0,CHOSP,NA,457.3635017,0.327565168,NA,C27H54OSP,0,0,1.5,0.5,-1.5,118.3555556,455.8466003,0.153399678,-2.037037037,0.037037037,2,0,0.037037037,0,Lipid,Lipid;Unsat Hydrocarbon,Lipid
595.310199,12.09668625,Sig. High,595.310199,31,51,6,1,0,1,1,0,CHNOSP,NA,596.317529,0.008523983,NA,C31H51O6NSP,0,0.06,7.5,1.5,-1.5,96.15483871,594.6454703,0.354529686,-1.258064516,0.193548387,1.64516129,0.032258065,0.032258065,1,Lipid,Lipid,Lipid
599.341489,16.92664587,Sig. High,599.341489,31,55,6,1,0,1,1,0,CHNOSP,NA,600.348819,-0.008403448,NA,C31H55O6NSP,0,0,5.5,-0.5,-3.5,99.83225806,598.6722589,0.327741061,-1.387096774,0.193548387,1.774193548,0.032258065,0.032258065,1,Lipid,Lipid,Lipid
700.3124748,10.40934498,Sig. High,700.3124748,40,47,10,1,0,0,0,0,CHNO,NA,701.3198048,-0.350092684,NA,C40H47O10N,0.24137931,0.352941176,18,8,7,77.4,699.5304996,0.469500366,-0.6,0.25,1.175,0.025,0,NA,Other,Lignin,Other
712.349242,9.566136972,Sig. High,712.349242,42,51,9,1,0,0,0,0,CHNO,NA,713.356572,0.190952241,NA,C42H51O9N,0.25,0.342465753,18,9,8,80.65714286,711.5538265,0.446173527,-0.714285714,0.214285714,1.214285714,0.023809524,0,NA,Other,Lignin,Other
749.2369849,-0.206517364,Insignificant,749.2369849,50,38,5,0,0,1,0,0,CHOS,NA,750.2443149,0.355925224,NA,C50H38O5S,0.590909091,0.612903226,32,27,26,75.12,748.4003802,0.599619811,-0.52,0.1,0.76,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
779.247554,-0.294233264,Insignificant,779.247554,51,40,6,0,0,1,0,0,CHOS,NA,780.254884,0.347886464,NA,C51H40O6S,0.568181818,0.595744681,32,26,25,74.82941176,778.3774392,0.62256078,-0.509803922,0.117647059,0.784313725,0,0,NA,Unsat Hydrocarbon,Cond Hydrocarbon,Other
765.2319801,0.746576541,Insignificant,765.2319801,50,38,6,0,0,1,0,0,CHOS,NA,766.2393101,0.423261441,NA,C50H38O6S,0.581395349,0.608695652,32,26,25,73.98,764.3775152,0.622484765,-0.48,0.12,0.76,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Cond Hydrocarbon,Other
783.2425561,-0.242659322,Insignificant,783.2425561,50,40,7,0,0,1,0,0,CHOS,NA,784.2498861,0.457642283,NA,C50H40O7S,0.547619048,0.582417582,31,24,23,73.98,782.3679805,0.632019535,-0.48,0.14,0.8,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Lignin,Other
767.2476586,0.441920891,Insignificant,767.2476586,50,40,6,0,0,1,0,0,CHOS,NA,768.2549886,0.437142283,NA,C50H40O6S,0.558139535,0.586956522,31,25,24,75.12,766.390943,0.60905699,-0.52,0.12,0.8,0,0,NA,Unsat Hydrocarbon;Cond Hydrocarbon,Unsat Hydrocarbon,Other
