Member,Value,Direction,Domain,Phylum,Class,Order,Family,Genus,Species
20100900_E1D_10,-0.887608858,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__Bog-209 sp003162255
20100900_E1D_13,-0.494077947,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Fen-549,s__Fen-549 sp003162235
20100900_E1D_4,2.639362406,Sig. High,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__UBA1845,f__Fen-1342,g__Fen-1342,s__Fen-1342 sp003162245
20100900_E1D_8,-0.315708593,Insignificant,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA10030,g__Fen-1254,s__Fen-1254 sp003162695
20100900_E1D_9,0.381845742,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Palsa-1439,f__Palsa-1439,g__,s__
20100900_E2D_7,0.967277652,Insignificant,d__Bacteria,p__Bacteroidota,c__Ignavibacteria,o__SJA-28,f__B-1AR,g__FEN-1257,s__FEN-1257 sp003135995
20100900_E3D_12,1.676466014,High,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Fen-549,s__Fen-549 sp003162055
20100900_E3S_1,1.083057544,High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__FEN-1191,s__FEN-1191 sp003162555
20110600_S1D_11,-0.966478848,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003134375
20110600_S1D_15,-0.288182243,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165005
20110600_S1D_17,-0.155670926,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__Palsa-288 sp003162875
20110600_S1M_11,-0.627534826,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20110600_S3M_2,-0.894320739,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
20110700_E1D_5,-0.32851004,Insignificant,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__,g__,s__
20110700_P1D_2,-0.580854713,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20110700_P2D_11,-0.549756234,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003167305
20110700_P2D_21,-0.659769937,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Solibacter,s__
20110700_P2D_27,-0.948571238,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20110700_P2D_8,-0.435513623,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20110700_P2D_9,-0.553310413,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__PALSA-129,s__PALSA-129 sp003167255
20110700_S2D_6,0.496997758,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Palsa-1439,f__Palsa-1439,g__Palsa-1439,s__Palsa-1439 sp003164675
20110700_S3M_11,-0.612788632,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003139795
20110700_S3M_12,-0.006907903,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
20110700_S3M_15,-0.196859966,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Sulfotelmatobacter,s__Sulfotelmatobacter sp003165855
20110800_E1D_1,-0.827895127,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__Fen-1039 sp003157175
20110800_E1D_2,-0.583028208,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Fen-549,s__Fen-549 sp003170995
20110800_E1D_22,1.441139524,High,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7541,f__UBA7541,g__UBA7541,s__UBA7541 sp003154775
20110800_E1D_3,-0.649443333,Insignificant,d__Bacteria,p__Myxococcota,c__Polyangia,o__Palsa-1104,f__Fen-1088,g__Fen-1137,s__Fen-1137 sp003157775
20110800_E1D_4,2.105213109,Sig. High,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__LD1-PB3,f__GWF2-57-35,g__,s__
20110800_E1D_5,-0.777764816,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__Fen-1039 sp003142755
20110800_E1D_6,-0.58725548,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__Fen-1039,s__Fen-1039 sp003165675
20110800_E1S_2,1.644791776,High,d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__UBA4085,g__UBA4085,s__
20110800_E2D_15,0.615119001,Insignificant,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003170875
20110800_E2D_18,0.060420573,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Palsa-1439,f__Palsa-1439,g__,s__
20110800_E2D_20,1.401146766,High,d__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__UBA5066,f__UBA5066,g__Fen-183,s__Fen-183 sp003152095
20110800_E2D_22,0.489483334,Insignificant,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Fen-181,g__Fen-181,s__Fen-181 sp003170135
20110800_E2D_26,2.077970809,Sig. High,d__Bacteria,p__Planctomycetota,c__FEN-1346,o__FEN-1346,f__FEN-1346,g__FEN-1346,s__
20110800_E2D_3,1.829836548,High,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SM23-33,f__FEN-1343,g__FEN-1343,s__FEN-1343 sp003171335
20110800_E2D_31,-0.68118218,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__UBA2241,f__UBA2241,g__Bog-752,s__Bog-752 sp003132645
20110800_E2D_32,0.31855361,Insignificant,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Fen-1364,g__Fen-1364,s__
20110800_E2D_35,-0.927518699,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20110800_E2D_5,0.065630409,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
20110800_E2D_6,-0.56780256,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__UBA2241,f__UBA2241,g__UBA2241,s__
20110800_E2D_9,-0.846405079,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Solibacter,s__
20110800_E2S_1,-0.737764031,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20110800_E2S_12,-0.149963651,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__,s__
20110800_E2S_4,-0.813515463,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20110800_E3D_1,2.162474329,Sig. High,d__Bacteria,p__Krumholzibacteriota,c__Krumholzibacteria,o__SSS58A,f__SSS58A,g__,s__
20110800_E3D_11,3.468043407,Sig. High,d__Bacteria,p__Verrucomicrobiota_A,c__Chlamydiia,o__FEN-1388,f__FEN-1388,g__FEN-1388,s__FEN-1388 sp003170575
20110800_E3D_13,-0.395599254,Insignificant,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Fen-1364,g__Fen-1364,s__Fen-1364 sp003170115
20110800_E3D_15,-0.422230164,Insignificant,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__,g__,s__
20110800_E3D_16,-0.937486886,Insignificant,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
20110800_E3D_17,-0.391487657,Insignificant,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__EnvOPS12,g__UBA877,s__
20110800_E3D_18,-0.541205264,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__PALSA-129,s__
20110800_E3D_19,0.566410689,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7540,f__UBA7540,g__,s__
20110800_E3D_20,-0.379835235,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003171315
