Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No. module	Zi	Pi	Node_type	Type_data	Phylum_Elcomposition	Class_Mol_formula	Order_bs2class	Family_NOSC	Genus_GFE	Species_DBE
mass13807	1	0	0	9.77E-87	0	65	0	0	Peripheral nodes	metabolite	CHOS	C48H32O4S	Cond Hydrocarbon	-0.458333333	73.3625	33
mass13704	2	0	0	4.55E-52	1	7	-0.39223227	0	Peripheral nodes	metabolite	CHOS	C47H34O4S	Cond Hydrocarbon	-0.510638298	74.85319149	31
mass13510	1	0	0	9.77E-87	0	36	0	0	Peripheral nodes	metabolite	CHOS	C48H34O2S	Cond Hydrocarbon	-0.583333333	76.925	32
mass13507	5	56.30692312	866	9.68E-06	0.5	2	0.636605402	0	Peripheral nodes	metabolite	CHNOP	C28H37O16NP	Lignin	-0.25	67.425	11.5
mass13455	1	0	0	9.77E-87	0	53	0	0	Peripheral nodes	metabolite	CHNOP	C26H55O16NP	Amino Sugar	-0.961538462	87.70384615	0.5
mass13301	1	0	0	9.77E-87	0	35	0	0	Peripheral nodes	metabolite	CHO	C25H38O20	Carbohydrate	0.08	58.02	7
mass13299	1	0	0	5.98E-08	0	1	-1.148575792	0	Peripheral nodes	metabolite	CHO	C32H34O15	Lignin	-0.125	63.8625	16
mass13137	1	0	0	6.62E-08	0	1	-1.148575792	0	Peripheral nodes	metabolite	CHO	C24H40O20	Carbohydrate	0	60.3	5
mass13135	7	1286.764957	4785	0.004878634	0.095238095	3	1.953651434	0.244897959	Peripheral nodes	metabolite	CHNOP	C27H39O15NP	Lignin	-0.407407407	71.91111111	9.5
mass13069	14	8116.993644	50574	8.60E-05	0.087912088	1	2.504725522	0.5	Module hubs	metabolite	CHNOP	C27H35O15NP	Lignin	-0.259259259	67.68888889	11.5
mass13027	7	2667.974601	11847	8.19E-07	0.095238095	1	1.134737529	0.244897959	Peripheral nodes	metabolite	CHO	C31H30O15	Lignin	0	60.3	17
mass12917	1	0	0	1.41E-70	0	16	-1	0	Peripheral nodes	metabolite	CHO	C23H38O20	Carbohydrate	0.086956522	57.82173913	5
mass12433	1	0	0	5.00E-52	0	7	-1.372812946	0	Peripheral nodes	metabolite	CHNO	C22H36O17N2	Carbohydrate	0.181818182	55.11818182	6
mass12427	3	1.333333333	4	7.57E-08	0.666666667	1	-0.235250463	0	Peripheral nodes	metabolite	CHO	C29H28O14	Lignin	0	60.3	16
mass12423	3	2511.274601	11941	7.72E-06	0.333333333	1	-0.235250463	0	Peripheral nodes	metabolite	CHO	C28H24O15	Lignin	0.214285714	54.19285714	17
mass12256	2	0.5	1	7.07E-52	0	7	-0.39223227	0	Peripheral nodes	metabolite	CHOP	C39H28O4P	Cond Hydrocarbon	-0.641025641	78.56923077	26.5
mass12240	2	1	2	7.43E-52	0	7	-0.39223227	0	Peripheral nodes	metabolite	CHO	C21H34O19	Carbohydrate	0.19047619	54.87142857	5
mass12113	1	0	0	9.77E-87	0	53	0	0	Peripheral nodes	metabolite	CHO	C26H46O14	Protein	-0.692307692	80.03076923	4
mass12012	1	0	0	1.41E-70	0	16	-1	0	Peripheral nodes	metabolite	CHO	C21H36O18	Carbohydrate	0	60.3	4
