New_ID,Mass
mass14432,899.289893
mass14431,898.581526
mass14430,898.51437
mass14429,898.15647
mass14428,897.2766185
mass14427,897.2755733
mass14426,896.03698
mass14425,895.894534
mass14424,895.889859
mass14423,895.488701
mass14422,895.296766
mass14421,895.2364653
mass14420,893.276073
mass14419,892.995989
mass14418,892.989619
mass14417,892.979804
mass14416,892.976993
mass14415,892.675948
mass14414,890.116124
mass14413,889.222879
mass14412,888.595372
mass14411,887.296622
mass14410,887.29115
mass14409,887.252988
mass14408,887.2511317
mass14407,887.2477955
mass14406,885.357814
mass14405,885.279599
mass14404,885.275688
mass14403,884.691204
mass14402,884.6394
mass14401,884.429544
mass14400,884.328674
mass14399,883.236184
mass14398,881.624124
mass14397,881.281172
mass14396,880.909659
mass14395,880.873514
mass14394,879.17838
mass14393,879.149682
mass14392,878.696673
mass14391,877.513804
mass14390,876.259735
mass14389,876.029396
mass14388,875.815523
mass14387,875.291853
mass14386,875.289792
mass14385,874.2779865
mass14384,873.2765515
mass14383,873.2754901
mass14382,872.849995
mass14381,868.2677994
mass14380,867.2657493
mass14379,867.2646516
mass14378,866.365845
mass14377,865.261765
mass14376,865.2433884
mass14375,865.225567
mass14374,864.434223
mass14373,864.2499243
mass14372,863.430258
mass14371,863.2463252
mass14370,862.293999
mass14369,861.363232
mass14368,861.291339
mass14367,861.2903487
mass14366,861.254584
mass14365,861.233133
mass14364,860.2632495
mass14363,859.435185
mass14362,859.2591533
mass14361,858.391274
mass14360,857.943076
mass14359,857.797595
mass14358,857.33545
mass14357,857.280426
mass14356,855.806367
mass14355,855.491204
mass14354,855.265512
mass14353,855.2643324
mass14352,855.171165
mass14351,854.2526126
mass14350,853.322368
mass14349,853.253849
mass14348,853.249653
mass14347,853.2486781
mass14346,853.225909
mass14345,853.2248963
mass14344,853.011389
mass14343,851.270788
mass14342,851.267552
mass14341,850.556312
mass14340,849.450837
mass14339,849.402813
mass14338,848.439056
mass14337,847.755887
mass14336,847.435137
mass14335,847.196572
mass14334,846.656393
mass14333,846.342561
mass14332,846.2835747
mass14331,845.858359
mass14330,845.2801852
mass14329,845.235705
mass14328,845.09588
mass14327,844.2676553
mass14326,843.352388
mass14325,843.2656067
mass14324,843.2646305
mass14323,842.262184
mass14322,842.2516529
mass14321,841.4098763
mass14320,841.249949
mass14319,841.2490068
mass14318,841.213025
mass14317,840.201162
mass14316,839.2707075
mass14315,839.2695521
mass14314,839.2330759
mass14313,839.207057
mass14312,839.197254
mass14311,838.220929
mass14310,837.289894
mass14309,837.2546503
mass14308,837.2533985
mass14307,837.2173113
mass14306,837.1937185
mass14305,837.160383
mass14304,837.105909
mass14303,836.344068
mass14302,836.218267
mass14301,836.183469
mass14300,836.174025
mass14299,836.1706563
mass14298,836.167692
mass14297,835.273878
mass14296,835.2377191
mass14295,835.218647
mass14294,835.2143173
mass14293,835.20584
mass14292,832.725258
mass14291,832.495987
mass14290,831.831563
mass14289,831.2427
mass14288,830.440423
mass14287,830.377299
mass14286,830.336778
mass14285,830.2886503
mass14284,830.252306
mass14283,829.3736025
mass14282,829.2853536
mass14281,829.273342
mass14280,829.249592
mass14279,829.248568
mass14278,828.2735947
mass14277,828.2724943
mass14276,827.2705563
mass14275,827.2696023
mass14274,827.234344
mass14273,827.23271
mass14272,826.257988
mass14271,826.2569807
mass14270,825.2545983
mass14269,825.2536823
mass14268,824.277687
mass14267,824.2414703
mass14266,824.236215
mass14265,823.486412
mass14264,823.27383
mass14263,823.238886
mass14262,823.2378033
mass14261,823.214617
mass14260,822.471269
mass14259,822.467476
mass14258,822.397939
mass14257,822.224298
mass14256,822.18966
mass14255,821.683686
mass14254,821.225566
mass14253,821.2225375
mass14252,821.220848
mass14251,821.2196495
mass14250,821.19621
mass14249,821.186847
mass14248,820.469091
mass14247,820.2828101
mass14246,820.246702
mass14245,820.223055
mass14244,819.427287
mass14243,819.280602
mass14242,819.2796652
mass14241,819.2434163
