OTU,New_ID
20111000_P3M_37,micro1685
PLND01,micro1684
20140700_E15_11,micro1683
20120600_E1D_38,micro1682
20170700_E15_8,micro1681
20110800_E3D_30,micro1680
20110800_E3D_17,micro1679
20130700_C2M_17,micro1678
20120600_E3D_18,micro1677
3300037076_10,micro1676
20130700_C1D_18,micro1675
Fen.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.17_87.24_2.27,micro1674
PMCF01,micro1673
3300036884_16,micro1672
20130700_E2M_4,micro1671
20120700_E2D_6,micro1670
PMBW01,micro1669
20130700_C1D_6,micro1668
20160700_E33_2,micro1667
20111000_E3D_3,micro1666
PMCB01,micro1665
3300037104_22,micro1664
3300037225_15,micro1663
20130700_E3X_9,micro1662
20120800_E3S_18,micro1661
3300031726_9,micro1660
20120800_E2D_18,micro1659
20130700_C1M_6,micro1658
20120700_P3D_100,micro1657
20110800_E3S_2,micro1656
20110800_E2D_35,micro1655
20110800_E2S_1,micro1654
20120800_E3D_7,micro1653
20120500_P19_7,micro1652
20110800_E2S_4,micro1651
20110800_E3D_16,micro1650
20120800_E3X_22,micro1649
20120600_E1D_32,micro1648
PMKN01,micro1647
PLLE01,micro1646
20110800_E3D_28,micro1645
20110800_E3D_40,micro1644
20110800_E1D_1,micro1643
PMXQ01,micro1642
20120800_E1D_19,micro1641
PMBR01,micro1640
Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38,micro1639
20120600_E3D_45,micro1638
20130700_E2M_2,micro1637
20130700_E1Y_3,micro1636
PLMA01,micro1635
20130700_E3Z_8,micro1634
20110800_E1D_5,micro1633
20110800_E1D_6,micro1632
20120700_P3D_108,micro1631
20130700_C2M_3,micro1630
PMJT01,micro1629
20120600_E2D_41,micro1628
20130700_C1D_19,micro1627
20130700_C2M_16,micro1626
20120600_E1D_30,micro1625
20120600_E2D_36,micro1624
20130700_C2X_12,micro1623
20140700_E15_14,micro1622
20120600_E2D_57,micro1621
20130700_C2Y_6,micro1620
20120600_E3D_48,micro1619
20120600_E1D_48,micro1618
