EMERGE_sampleID,SampleID_old__,SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,Repetition,DepthMin,DepthMax,DepthAvg,T_soil,C_percent,N_percent,d13C_peat,d15N_peat,CH4.percent,CO2.percent
MainAutochamber.201206_P_1_1to4,201206_P1_01-04,June_P_1_S_12_so_R1,June,Palsa,1,S,2012,solid,1,1,4,2.5,4.6,44.775,0.843,-27.61778,-2.4517975,0,0.043325693
NA,NA,June_P_1_D_12_so_R2,June,Palsa,1,D,2012,solid,2,14,17,15.5,1.5,47.425,1.368,-27.00862,-0.6649275,NA,NA
MainAutochamber.201206_P_1_14to17,201206_P1_14-17,June_P_1_D_12_so_R1,June,Palsa,1,D,2012,solid,1,14,17,15.5,1.5,47.425,1.368,-27.00862,-0.6649275,0,0.060190254
MainAutochamber.201206_P_2_1to4,201206_P2_01-04,June_P_2_S_12_so_R1,June,Palsa,2,S,2012,solid,1,1,4,2.5,9,46.436,0.848,-26.44100833,-0.35115,0,0.039374164
MainAutochamber.201206_P_2_7to10,201206_P2_07-10,June_P_2_M_12_so_R1,June,Palsa,2,M,2012,solid,1,7,10,8.5,3.4,44.125,0.944,-25.99012,-0.94286285,0,0.047982852
NA,NA,June_P_2_M_12_so_R2,June,Palsa,2,M,2012,solid,1,7,10,8.5,3.4,44.125,0.944,-25.99012,-0.94286285,NA,NA
NA,NA,June_P_2_D_12_so_R2,June,Palsa,2,D,2012,solid,2,15,18,16.5,1.4,43.619,1.37,-25.60697,2.75029205,NA,NA
MainAutochamber.201206_P_2_15to18,201206_P2_15-18,June_P_2_D_12_so_R1,June,Palsa,2,D,2012,solid,1,15,18,16.5,1.4,43.619,1.37,-25.60697,2.75029205,NA,NA
MainAutochamber.201206_P_3_17to20,201206_P3_17-20,June_P_3_D_12_so_R1,June,Palsa,3,D,2012,solid,1,17,20,18.5,1.5,41.726,1.343,-26.16278,3.9742875,0,0.081076908
MainAutochamber.201207_P_1_1to4,201207_P1_01-04,July_P_1_S_12_so_R1,July,Palsa,1,S,2012,solid,1,1,4,2.5,8.3,47.58,0.752,-26.60801,-1.1732275,0,0.100017361
MainAutochamber.201207_P_1_16to19,201207_P1_16-19,July_P_1_M_12_so_R1,July,Palsa,1,M,2012,solid,1,16,19,17.5,5.8,45.039,1.069,-26.32962,3.052505,0,0.264903125
MainAutochamber.201207_P_1_32to35,201207_P1_32-35,July_P_1_D_12_so_R1,July,Palsa,1,D,2012,solid,1,32,35,33.5,1.1,26.72,1.725,-28.08241,0.4277342,NA,NA
NA,NA,July_P_2_S_12_so_R2,July,Palsa,2,S,2012,solid,2,1,4,2.5,10.9,42.658,0.668,-27.32775,-0.4766063,NA,NA
MainAutochamber.201207_P_2_1to4,201207_P2_01-04,July_P_2_S_12_so_R1,July,Palsa,2,S,2012,solid,1,1,4,2.5,10.9,42.658,0.668,-27.32775,-0.4766063,0,0.10873316
MainAutochamber.201207_P_2_18to21,201207_P2_18-21,July_P_2_M_12_so_R1,July,Palsa,2,M,2012,solid,1,18,21,19.5,6.4,45.57,1.039,-26.53138,0.22974495,0,0.261759722
MainAutochamber.201207_P_2_35to38,201207_P2_35-38,July_P_2_D_12_so_R1,July,Palsa,2,D,2012,solid,1,35,38,36.5,1.2,40.972,1.683,-26.45863,1.80414675,0,1.098190625
