Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No. module	Zi	Pi	Node_type	Type_data	Phylum_Elcomposition	Class_Mol_formula	Order_bs2class	Family_NOSC	Genus_GFE	Species_DBE
mass14213	1	0	0	1.47E-24	0	12	-0.935414347	0	Peripheral nodes	metabolite	CHOS	C52H42O7S	Lignin	-0.5	74.55	32
mass14175	5	36.16666667	82	1.49E-12	0	1	1.565247584	0	Peripheral nodes	metabolite	CHOS	C51H42O7S	Lignin	-0.509803922	74.82941176	31
mass13804	3	651	2407	3.35E-13	0	1	0.223606798	0	Peripheral nodes	metabolite	CHNOSP	C29H39O15NSP	Lignin	-0.310344828	69.14482759	11.5
mass13701	4	492	2184	5.99E-16	0	2	1.848946903	0	Peripheral nodes	metabolite	CHNOP	C20H41O23NP	Carbohydrate	0.15	56.025	1.5
mass13589	1	0	0	2.60E-44	0	40	0	0	Peripheral nodes	metabolite	CHOS	C46H34O4S	Cond Hydrocarbon	-0.52173913	75.16956522	30
mass13236	2	1512	7434	7.99E-09	0	6	-0.40824829	0	Peripheral nodes	metabolite	CHO	C32H46O14	Lignin	-0.5625	76.33125	10
mass13230	4	11	11	4.32E-24	0.166666667	12	1.870828693	0	Peripheral nodes	metabolite	CHO	C23H42O21	Carbohydrate	0	60.3	3
mass13067	3	1859	8627	2.48E-14	0	2	0.968495997	0	Peripheral nodes	metabolite	CHOS	C31H32O13S	Lignin	-0.129032258	63.97741935	16
mass13065	1	0	0	0.02476994	0	0	-0.895790055	0	Peripheral nodes	metabolite	CHO	C41H24O8	Cond Hydrocarbon	-0.195121951	65.86097561	30
mass12735	2	7	8	5.56E-22	0	9	-0.196116135	0	Peripheral nodes	metabolite	CHNOP	C24H29O16NP	Tannin	0.041666667	59.1125	11.5
mass12619	2	0	0	5.85E-29	1	20	0	0	Peripheral nodes	metabolite	CHOP	C39H30O5P	Cond Hydrocarbon	-0.641025641	78.56923077	25.5
mass12606	6	2569.166667	12820	1.22E-11	0	1	1.565247584	0.277777778	Peripheral nodes	metabolite	CHO	C22H40O19	Carbohydrate	-0.090909091	62.89090909	3
mass12534	2	0	0	4.20E-13	1	1	-0.447213595	0	Peripheral nodes	metabolite	CHO	C31H40O12	Lignin	-0.516129032	75.00967742	12
mass12510	3	3168	15498	3.29E-09	0.333333333	6	0.544331054	0	Peripheral nodes	metabolite	CHO	C27H24O16	Lignin	0.296296296	51.85555556	16
mass12501	3	3983.729622	18368	0.134046052	0.333333333	0	-0.579096601	0.444444444	Peripheral nodes	metabolite	CHNO	C22H37O18N	Carbohydrate	0.090909091	57.70909091	5
mass12492	2	1512	7434	7.99E-09	0	6	-0.40824829	0	Peripheral nodes	metabolite	CHO	C29H46O13	Protein	-0.689655172	79.95517241	7
mass12470	3	1596.354762	5846	4.79E-08	0	6	-0.40824829	0.444444444	Peripheral nodes	metabolite	CHO	C28H26O15	Lignin	0.142857143	56.22857143	16
mass12385	2	0	0	5.85E-29	1	20	0	0	Peripheral nodes	metabolite	CHO	C26H30O16	Lignin	0.076923077	58.10769231	12
mass12338	2	2793	13509	3.45E-10	0	2	-0.792405816	0.5	Peripheral nodes	metabolite	CHO	C27H32O15	Lignin	-0.074074074	62.41111111	12
mass12313	2	0	0	4.65E-06	1	3	-0.374634325	0	Peripheral nodes	metabolite	CHO	C31H46O11	Lignin	-0.774193548	82.36451613	9
mass12256	1	0	0	2.60E-44	0	37	0	0	Peripheral nodes	metabolite	CHOP	C39H28O4P	Cond Hydrocarbon	-0.641025641	78.56923077	26.5
mass12194	1	0	0	5.79E-06	0	7	-0.963086825	0	Peripheral nodes	metabolite	CHO	C27H24O15	Lignin	0.222222222	53.96666667	16
