SampleID,Month,Habitat,Samplenumber,Depth,Year,Sampletype,DepthMin__,DepthMax__,DepthAvg__,"T, soil (C)",ALD.cm,CtoN_wt,C.percent__,N.percent__,d13C_peat__,d15N_peat__,Precipitation_3day_accumulation_mm,,Notes__.DepthInfo,Notes__.Biogeochemistry
June_P_1_S_12_so_R1,June,Palsa,1,S,2012,solid,1,4,2.5,4.6,17.5,53.11873595,44.775,0.843,-27.61778,-2.4517975,3,,Notes: one of the middle pore gas samples may have some ,NA
June_P_1_D_12_so_R2,June,Palsa,1,D,2012,solid,14,17,15.5,1.5,17.5,34.6703,47.425,1.368,-27.00862,-0.6649275,3,,NA,NA
June_P_1_D_12_so_R1,June,Palsa,1,D,2012,solid,14,17,15.5,1.5,17.5,34.6703,47.425,1.368,-27.00862,-0.6649275,3,,NA,NA
June_P_2_S_12_so_R1,June,Palsa,2,S,2012,solid,1,4,2.5,9,14,54.78691,46.436,0.848,-26.44100833,-0.35115,3,,Notes: core went slightly into frozen layer (18 cm depth),"notes_Suzanne: There were 2 bags labeled ""P2-S,"" and no ""P3-S."" One of the P2-S bags is probably P3-S."
June_P_2_M_12_so_R1,June,Palsa,2,M,2012,solid,7,10,8.5,3.4,14,46.72284,44.125,0.944,-25.99012,-0.94286285,3,,NA,"notes_Suzanne: There were 2 bags labeled ""P2-M,"" and no ""P3-M."" One of the P2-M bags is probably P3-M."
June_P_2_M_12_so_R2,June,Palsa,2,M,2012,solid,7,10,8.5,3.4,14,46.72284,44.125,0.944,-25.99012,-0.94286285,3,,NA,"notes_Suzanne: There were 2 bags labeled ""P2-M,"" and no ""P3-M."" One of the P2-M bags is probably P3-M."
June_P_2_D_12_so_R2,June,Palsa,2,D,2012,solid,15,18,16.5,1.4,14,31.8469,43.619,1.37,-25.60697,2.75029205,3,,NA,NA
June_P_2_D_12_so_R1,June,Palsa,2,D,2012,solid,15,18,16.5,1.4,14,31.8469,43.619,1.37,-25.60697,2.75029205,3,,NA,NA
June_P_3_D_12_so_R1,June,Palsa,3,D,2012,solid,17,20,18.5,1.5,20,31.06354,41.726,1.343,-26.16278,3.9742875,3,,NA,NA
June_S_1_S_12_so_R1,June,Bog,1,S,2012,solid,1,4,2.5,9.5,17,81.57186,43.428,0.532,-25.53228,-0.083315,3,,NA,NA
June_S_1_M_12_so_R1,June,Bog,1,M,2012,solid,4,7,5.5,4.4,17,68.0589,44.336,0.651,-24.63115,0.4337825,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_1_D_12_so_R1,June,Bog,1,D,2012,solid,14,17,15.5,0.9,17,86.49644,43.328,0.501,-24.89596,-0.07819985,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_2_S_12_so_R2,June,Bog,2,S,2012,solid,1,4,2.5,9.6,20,94.46718,45.28,0.479,-24.84358,-0.75141145,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_2_S_12_so_R1,June,Bog,2,S,2012,solid,1,4,2.5,9.6,20,94.46718,45.28,0.479,-24.84358,-0.75141145,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_2_M_12_so_R1,June,Bog,2,M,2012,solid,10,13,11.5,4.3,20,46.08156,40.301,0.875,-23.70383,-0.33990875,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_2_D_12_so_R1,June,Bog,2,D,2012,solid,17,20,18.5,1.5,20,41.47219,51.142,1.233,-23.7491452,0.74756,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_3_S_12_so_R1,June,Bog,3,S,2012,solid,1,4,2.5,7,19,45.58804,41.053,0.901,-27.49265,-0.4068675,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_3_M_12_so_R1,June,Bog,3,M,2012,solid,9,12,10.5,3.5,19,55.02769,43.96,0.799,-26.03959,-0.4440125,3,,NA,notes_Suzanne: Acidified for DOC. 
June_S_3_D_12_so_R1,June,Bog,3,D,2012,solid,16,19,17.5,0.9,19,58.70567,44.697,0.761,-26.40043,0.2676075,3,,NA,notes_Suzanne: Acidified for DOC. 
June_E_1_S_12_so_R1,June,Fen,1,S,2012,solid,1,4,2.5,7.8,14,31.6081,48.843,1.545,-27.38498,2.5227,3,,NA,NA
June_E_1_D_12_so_R1,June,Fen,1,D,2012,solid,11,14,12.5,1.4,14,38.0321,41.556,1.093,-25.8679,1.5989625,3,,NA,notes_Suzanne: Acidified for DOC. 
June_E_2_S_12_so_R2,June,Fen,2,S,2012,solid,1,4,2.5,7.6,15,20.43351,41.553,2.034,-28.06786,3.357485,3,,NA,NA
June_E_2_S_12_so_R1,June,Fen,2,S,2012,solid,1,4,2.5,7.6,15,20.43351,41.553,2.034,-28.06786,3.357485,3,,NA,NA
June_E_2_M_12_so_R2,June,Fen,2,M,2012,solid,5,8,6.5,7,15,18.31473,38.179,2.085,-27.72545,3.6299967,3,,NA,notes_Suzanne: Acidified for DOC. 
June_E_2_M_12_so_R1,June,Fen,2,M,2012,solid,5,8,6.5,7,15,18.31473,38.179,2.085,-27.72545,3.6299967,3,,NA,notes_Suzanne: Acidified for DOC. 
June_E_2_D_12_so_R1,June,Fen,2,D,2012,solid,12,15,13.5,1.6,15,25.26029,40.808,1.616,-26.6245,2.1341282,3,,NA,notes_Suzanne: Acidified for DOC. 
June_E_3_S_12_so_R1,June,Fen,3,S,2012,solid,1,4,2.5,6.9,14,21.37618,42.417,1.984,-26.762725,3.748370633,3,,NA,NA
June_E_3_M_12_so_R1,June,Fen,3,M,2012,solid,5,8,6.5,3.6,14,32.97904,51.499,1.562,-26.20158,1.253905,3,,NA,notes_Suzanne: Acidified for DOC. 
June_E_3_D_12_so_R2,June,Fen,3,D,2012,solid,11,14,12.5,1,14,38.48273,38.662,1.005,-25.04534,0.82576,3,,NA,notes_Suzanne: Acidified for DOC. 
June_E_3_D_12_so_R1,June,Fen,3,D,2012,solid,11,14,12.5,1,14,38.48273,38.662,1.005,-25.04534,0.82576,3,,NA,
July_P_1_S_12_so_R1,July,Palsa,1,S,2012,solid,1,4,2.5,8.3,37,63.31235,47.58,0.752,-26.60801,-1.1732275,3.4,,NA,NA
July_P_1_M_12_so_R1,July,Palsa,1,M,2012,solid,16,19,17.5,5.8,37,42.14837,45.039,1.069,-26.32962,3.052505,3.4,,NA,NA
July_P_1_D_12_so_R1,July,Palsa,1,D,2012,solid,32,35,33.5,1.1,37,15.49052,26.72,1.725,-28.08241,0.4277342,3.4,,Notes: could not pull pore gas from deep,NA
July_P_2_S_12_so_R2,July,Palsa,2,S,2012,solid,1,4,2.5,10.9,40,63.83373,42.658,0.668,-27.32775,-0.4766063,3.4,,NA,NA
July_P_2_S_12_so_R1,July,Palsa,2,S,2012,solid,1,4,2.5,10.9,40,63.83373,42.658,0.668,-27.32775,-0.4766063,3.4,,NA,NA
July_P_2_M_12_so_R1,July,Palsa,2,M,2012,solid,18,21,19.5,6.4,40,43.8675,45.57,1.039,-26.53138,0.22974495,3.4,,NA,NA
July_P_2_D_12_so_R1,July,Palsa,2,D,2012,solid,35,38,36.5,1.2,40,24.34737,40.972,1.683,-26.45863,1.80414675,3.4,,NA,NA
July_P_3_S_12_so_R1,July,Palsa,3,S,2012,solid,1,4,2.5,8.9,33,44.45454,45.169,1.016,-26.3917,-0.2717511,3.4,,NA,NA
July_P_3_M_12_so_R2,July,Palsa,3,M,2012,solid,15,18,16.5,6.1,33,44.26588,44.227,0.999,-26.28888,1.7067238,3.4,,NA,NA
July_P_3_M_12_so_R1,July,Palsa,3,M,2012,solid,15,18,16.5,6.1,33,44.26588,44.227,0.999,-26.28888,1.7067238,3.4,,NA,
July_S_1_S_12_so_R1,July,Bog,1,S,2012,solid,1,4,2.5,10.7,135,97.82915,44.424,0.454,-25.21315,-0.4878281,3.4,,NA,"notes_Suzanne: (note 1) If no water could be pulled below 33cm, then I don't understand why there are still pH values throughout this profile and vials labelled S1? (note 2) Acidified for DOC. If no water could be pulled below 33cm, then I don't understand why there are still pH values throughout this profile and vials labelled S1?  QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_1_M_12_so_R1,July,Bog,1,M,2012,solid,5,8,6.5,9.5,135,76.32312,41.864,0.549,-25.06086,-1.04708175,3.4,,NA,"notes_Suzanne: (note 1) If no water could be pulled below 33cm, then I don't understand why there are still pH values throughout this profile and vials labelled S1? (note 2) Acidified for DOC. If no water could be pulled below 33cm, then I don't understand why there are still pH values throughout this profile and vials labelled S1?  QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_1_D_12_so_R1,July,Bog,1,D,2012,solid,11,14,12.5,9.3,135,47.61923,42.116,0.884,-24.37313,-0.09634005,3.4,,NA,"notes_Suzanne: (note 1) Acidified for DOC. If no water could be pulled below 33cm, then I don't understand why there are still pH values throughout this profile and vials labelled S1? (note 2) If no water could be pulled below 33cm, then I don't understand why there are still pH values throughout this profile and vials labelled S1?  QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_2_S_12_so_R1,July,Bog,2,S,2012,solid,1,4,2.5,11.1,45,95.83426,42.067,0.439,-25.81649,-1.5740041,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_2_M_12_so_R2,July,Bog,2,M,2012,solid,5,8,6.5,9.8,45,53.15271,43.941,0.827,-25.04049,-0.617792,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_2_M_12_so_R1,July,Bog,2,M,2012,solid,5,8,6.5,9.8,45,53.15271,43.941,0.827,-25.04049,-0.617792,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_2_D_12_so_R1,July,Bog,2,D,2012,solid,11,14,12.5,8.1,45,44.43226,41.795,0.941,-24.27516,-0.3191965,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_3_S_12_so_R1,July,Bog,3,S,2012,solid,1,4,2.5,11.8,160,75.27118,42.586,0.566,-25.95714,-1.1785866,3.4,,"Notes: ALD probe hits firm substrate at about 1m, dont want to probe deeper for fear of breaking probe","QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_S_3_M_12_so_R1,July,Bog,3,M,2012,solid,5,8,6.5,10.2,160,80.3281,44.128,0.549,-25.78492653,-0.57418996,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_1_S_12_so_R1,July,Fen,1,S,2012,solid,1,4,2.5,12.4,265,NA,NA,NA,NA,NA,3.4,,NA,"notes_Suzanne: Acidified for DOC.   QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_1_M_12_so_R2,July,Fen,1,M,2012,solid,5,8,6.5,12,265,51.35698,42.424,0.826,-25.3593575,1.84665115,3.4,,NA,"notes_Suzanne: Acidified for DOC.   QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_1_D_12_so_R2,July,Fen,1,D,2012,solid,24,27,25.5,12.3,265,33.54132,44.862,1.338,-25.9387111,1.928954433,3.4,,NA,"notes_Suzanne: Acidified for DOC.   QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_1_D_12_so_R1,July,Fen,1,D,2012,solid,24,27,25.5,12.3,165,33.54132,44.862,1.338,-25.9387111,1.928954433,3.4,,NA,"notes_Suzanne: Acidified for DOC.   QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_2_S_12_so_R1,July,Fen,2,S,2012,solid,1,4,2.5,12,235,NA,49.841,NA,-26.5682056,NA,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_2_D_12_so_R1,July,Fen,2,D,2012,solid,24,27,25.5,9.3,235,41.47248,43.9,1.059,-24.74383025,-0.2257034,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
July_E_3_S_12_so_R1,July,Fen,3,S,2012,solid,1,4,2.5,12.7,235,30.28843,39.321,1.298,-26.66981745,2.325159967,3.4,,NA,"QualityFlag__.Biogeochemistry: Some 2011-2012 geochem was copied from Suzanne's geochem sheets, and there are known to be some copying errors. If there is a conflict between this sheet and those ones, Suzanne's sheet is more likely to be correct."
